instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 10;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.30868661  Result=0.30868661  Best=0.30868661  Seed=C0A94974  ResultHash=B9C8  ProgramHash=16E1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.26688224  Result=0.26688224  Best=0.26688224  Seed=C0A9497E  ResultHash=7702  ProgramHash=B149
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A94988  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A94992  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A9499C  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949A6  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949B0  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949BA  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949C4  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949CE  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949D8  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949E2  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949EC  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A949F6  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A94A00  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A94A0A  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A94A14  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.22950757  Result=0.22950757  Best=0.22950757  Seed=C0A94A1E  ResultHash=2531  ProgramHash=FE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.22573328  Result=0.22573328  Best=0.22573328  Seed=C0A94A28  ResultHash=41D0  ProgramHash=9DE9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.22573328  Result=0.22573328  Best=0.22573328  Seed=C0A94A32  ResultHash=41D0  ProgramHash=9DE9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A3C  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A46  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A50  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A5A  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A64  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A6E  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A78  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A82  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A8C  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94A96  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94AA0  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94AAA  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94AB4  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94ABE  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94AC8  ResultHash=BD82  ProgramHash=0CAA
