instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.01618469  Result=0.01618469  Best=0.01618469  Seed=C0A949CE  ResultHash=181D  ProgramHash=2E97
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00354707  Result=0.00354707  Best=0.00354707  Seed=C0A94A32  ResultHash=E2B3  ProgramHash=9B6E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00354707  Result=0.00499332  Best=0.00354707  Seed=C0A94A96  ResultHash=62FF  ProgramHash=1B57
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00354707  Result=0.00392929  Best=0.00354707  Seed=C0A94AFA  ResultHash=E32F  ProgramHash=6723
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00247824  Result=0.00247824  Best=0.00247824  Seed=C0A94B5E  ResultHash=A5C9  ProgramHash=6723
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00156659  Result=0.00156659  Best=0.00156659  Seed=C0A94BC2  ResultHash=DE0C  ProgramHash=4EB4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00156659  Result=0.00687510  Best=0.00156659  Seed=C0A94C26  ResultHash=6154  ProgramHash=F829
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00149402  Result=0.00149402  Best=0.00149402  Seed=C0A94C8A  ResultHash=5D5B  ProgramHash=F829
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00149402  Result=0.00213659  Best=0.00149402  Seed=C0A94CEE  ResultHash=80E9  ProgramHash=F060
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00149402  Result=0.00166059  Best=0.00149402  Seed=C0A94D52  ResultHash=17D9  ProgramHash=F060
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00149402  Result=0.00284723  Best=0.00149402  Seed=C0A94DB6  ResultHash=ACEE  ProgramHash=F060
