instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.22197634  Result=0.22197634  Best=0.22197634  Seed=C0A94974  ResultHash=798A  ProgramHash=41FC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.09709412  Result=0.09709412  Best=0.09709412  Seed=C0A9497E  ResultHash=FE9C  ProgramHash=CE45
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.04321950  Result=0.04321950  Best=0.04321950  Seed=C0A94988  ResultHash=F1D8  ProgramHash=9074
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.02382225  Result=0.02382225  Best=0.02382225  Seed=C0A94992  ResultHash=EC26  ProgramHash=DBC1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.02382225  Result=0.03584605  Best=0.02382225  Seed=C0A9499C  ResultHash=E45E  ProgramHash=6257
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.02382225  Result=0.03358680  Best=0.02382225  Seed=C0A949A6  ResultHash=04A7  ProgramHash=4F89
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.02382225  Result=0.03575081  Best=0.02382225  Seed=C0A949B0  ResultHash=FEF4  ProgramHash=4F89
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.02382225  Result=0.04347485  Best=0.02382225  Seed=C0A949BA  ResultHash=565C  ProgramHash=4F89
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.01497699  Result=0.01497699  Best=0.01497699  Seed=C0A949C4  ResultHash=7C51  ProgramHash=78DA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.01497699  Result=0.02815626  Best=0.01497699  Seed=C0A949CE  ResultHash=CE1E  ProgramHash=78DA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.01497699  Result=0.02218788  Best=0.01497699  Seed=C0A949D8  ResultHash=E35B  ProgramHash=06FE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  11  Best=0.01444042  Result=0.01444042  Best=0.01444042  Seed=C0A949E2  ResultHash=C3B5  ProgramHash=DE5E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  12  Best=0.01444042  Result=0.02567470  Best=0.01444042  Seed=C0A949EC  ResultHash=71A4  ProgramHash=018F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  13  Best=0.01444042  Result=0.02811807  Best=0.01444042  Seed=C0A949F6  ResultHash=7D79  ProgramHash=31A2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  14  Best=0.01444042  Result=0.03085214  Best=0.01444042  Seed=C0A94A00  ResultHash=6F26  ProgramHash=7789
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  15  Best=0.01444042  Result=0.02404499  Best=0.01444042  Seed=C0A94A0A  ResultHash=CDB2  ProgramHash=7C6F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  16  Best=0.01444042  Result=0.02800574  Best=0.01444042  Seed=C0A94A14  ResultHash=3B32  ProgramHash=C9D8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  17  Best=0.01444042  Result=0.02764003  Best=0.01444042  Seed=C0A94A1E  ResultHash=65A3  ProgramHash=335E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  18  Best=0.01444042  Result=0.02823162  Best=0.01444042  Seed=C0A94A28  ResultHash=9B4A  ProgramHash=CC4F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  19  Best=0.01444042  Result=0.02952504  Best=0.01444042  Seed=C0A94A32  ResultHash=FAEE  ProgramHash=D428
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  20  Best=0.01444042  Result=0.02037811  Best=0.01444042  Seed=C0A94A3C  ResultHash=1941  ProgramHash=31E0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  21  Best=0.01444042  Result=0.03018296  Best=0.01444042  Seed=C0A94A46  ResultHash=0D2C  ProgramHash=BB5A
