instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.27686608  Result=0.27686608  Best=0.27686608  Seed=C0A94974  ResultHash=3607  ProgramHash=0411
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.14599341  Result=0.14599341  Best=0.14599341  Seed=C0A9497E  ResultHash=05C6  ProgramHash=AA59
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.10930923  Result=0.10930923  Best=0.10930923  Seed=C0A94988  ResultHash=892B  ProgramHash=E1CD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.07252079  Result=0.07252079  Best=0.07252079  Seed=C0A94992  ResultHash=D07F  ProgramHash=AE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.07252079  Result=0.07387459  Best=0.07252079  Seed=C0A9499C  ResultHash=C948  ProgramHash=AD7D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.07010943  Result=0.07010943  Best=0.07010943  Seed=C0A949A6  ResultHash=E503  ProgramHash=B8C3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.07010943  Result=0.07167774  Best=0.07010943  Seed=C0A949B0  ResultHash=EFB2  ProgramHash=EDEF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.07010943  Result=0.07049191  Best=0.07010943  Seed=C0A949BA  ResultHash=2132  ProgramHash=0863
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.06942362  Result=0.06942362  Best=0.06942362  Seed=C0A949C4  ResultHash=A8C2  ProgramHash=2DAE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.06904984  Result=0.06904984  Best=0.06904984  Seed=C0A949CE  ResultHash=7B86  ProgramHash=44CD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.05471969  Result=0.05471969  Best=0.05471969  Seed=C0A949D8  ResultHash=0616  ProgramHash=F3B8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  11  Best=0.05471969  Result=0.06761550  Best=0.05471969  Seed=C0A949E2  ResultHash=CE4B  ProgramHash=E35D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  12  Best=0.05471969  Result=0.06580663  Best=0.05471969  Seed=C0A949EC  ResultHash=50F6  ProgramHash=EFD2
