instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.66006076  Result=0.66006076  Best=0.66006076  Seed=C0A94974  ResultHash=86C9  ProgramHash=2304
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.48547554  Result=0.48547554  Best=0.48547554  Seed=C0A9497E  ResultHash=BA11  ProgramHash=D941
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.31276479  Result=0.31276479  Best=0.31276479  Seed=C0A94988  ResultHash=0757  ProgramHash=85E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.31276479  Result=0.37445986  Best=0.31276479  Seed=C0A94992  ResultHash=561D  ProgramHash=DBAF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.31276479  Result=0.35781670  Best=0.31276479  Seed=C0A9499C  ResultHash=2A34  ProgramHash=DA63
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.31276479  Result=0.39450425  Best=0.31276479  Seed=C0A949A6  ResultHash=41AE  ProgramHash=C04A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.31276479  Result=0.38697952  Best=0.31276479  Seed=C0A949B0  ResultHash=54D0  ProgramHash=B258
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.31276479  Result=0.34346527  Best=0.31276479  Seed=C0A949BA  ResultHash=A729  ProgramHash=4FF3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.31276479  Result=0.34366447  Best=0.31276479  Seed=C0A949C4  ResultHash=C9F1  ProgramHash=E240
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.31276479  Result=0.35729754  Best=0.31276479  Seed=C0A949CE  ResultHash=54A4  ProgramHash=191A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.31276479  Result=0.34687045  Best=0.31276479  Seed=C0A949D8  ResultHash=9492  ProgramHash=1CD8
