instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 64;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.29305792  Result=0.29305792  Best=0.29305792  Seed=C0A9496E  ResultHash=E5F2  ProgramHash=71D9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.24692059  Result=0.24692059  Best=0.24692059  Seed=C0A94972  ResultHash=8E8C  ProgramHash=115F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.21746616  Result=0.21746616  Best=0.21746616  Seed=C0A94976  ResultHash=BFA3  ProgramHash=2079
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.21746616  Result=0.23659432  Best=0.21746616  Seed=C0A9497A  ResultHash=9D93  ProgramHash=7A2C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.21557833  Result=0.21557833  Best=0.21557833  Seed=C0A9497E  ResultHash=367D  ProgramHash=7469
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.19681823  Result=0.19681823  Best=0.19681823  Seed=C0A94982  ResultHash=4563  ProgramHash=FB40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.18995041  Result=0.18995041  Best=0.18995041  Seed=C0A94986  ResultHash=15B5  ProgramHash=D26B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.14761734  Result=0.14761734  Best=0.14761734  Seed=C0A9498A  ResultHash=BC9D  ProgramHash=A5A8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.14761734  Result=0.16452444  Best=0.14761734  Seed=C0A9498E  ResultHash=CF6B  ProgramHash=CE3B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.13682997  Result=0.13682997  Best=0.13682997  Seed=C0A94992  ResultHash=1FA7  ProgramHash=0B2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.13682997  Result=0.18319586  Best=0.13682997  Seed=C0A94996  ResultHash=8AD5  ProgramHash=546B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  11  Best=0.13682997  Result=0.16080901  Best=0.13682997  Seed=C0A9499A  ResultHash=A7D1  ProgramHash=4772
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  12  Best=0.13682997  Result=0.18184423  Best=0.13682997  Seed=C0A9499E  ResultHash=3531  ProgramHash=0752
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  13  Best=0.13682997  Result=0.21469539  Best=0.13682997  Seed=C0A949A2  ResultHash=7A02  ProgramHash=E25B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  14  Best=0.13682997  Result=0.16982770  Best=0.13682997  Seed=C0A949A6  ResultHash=CC14  ProgramHash=CEDB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  15  Best=0.13682997  Result=0.18073568  Best=0.13682997  Seed=C0A949AA  ResultHash=9737  ProgramHash=3A48
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  16  Best=0.13682997  Result=0.18479717  Best=0.13682997  Seed=C0A949AE  ResultHash=B869  ProgramHash=10DA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  17  Best=0.13578409  Result=0.13578409  Best=0.13578409  Seed=C0A949B2  ResultHash=CA59  ProgramHash=EF3B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  18  Best=0.13578409  Result=0.14715207  Best=0.13578409  Seed=C0A949B6  ResultHash=739F  ProgramHash=3A3B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  19  Best=0.13578409  Result=0.14907089  Best=0.13578409  Seed=C0A949BA  ResultHash=A05F  ProgramHash=EBAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  20  Best=0.11236978  Result=0.11236978  Best=0.11236978  Seed=C0A949BE  ResultHash=C012  ProgramHash=BEAE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  21  Best=0.11236978  Result=0.11606729  Best=0.11236978  Seed=C0A949C2  ResultHash=3F7B  ProgramHash=9571
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  22  Best=0.10439986  Result=0.10439986  Best=0.10439986  Seed=C0A949C6  ResultHash=ECFC  ProgramHash=AE85
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  23  Best=0.10439986  Result=0.11084270  Best=0.10439986  Seed=C0A949CA  ResultHash=0C57  ProgramHash=5CE0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  24  Best=0.09964934  Result=0.09964934  Best=0.09964934  Seed=C0A949CE  ResultHash=A5B6  ProgramHash=52B4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  25  Best=0.09964934  Result=0.13052991  Best=0.09964934  Seed=C0A949D2  ResultHash=A810  ProgramHash=AB02
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  26  Best=0.09964934  Result=0.11261213  Best=0.09964934  Seed=C0A949D6  ResultHash=3A8F  ProgramHash=118B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  27  Best=0.09964934  Result=0.12124091  Best=0.09964934  Seed=C0A949DA  ResultHash=D46A  ProgramHash=20C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.09840822  Result=0.09840822  Best=0.09840822  Seed=C0A949DE  ResultHash=F320  ProgramHash=DA18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.09840822  Result=0.10841811  Best=0.09840822  Seed=C0A949E2  ResultHash=F634  ProgramHash=BB0B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.09840822  Result=0.10226214  Best=0.09840822  Seed=C0A949E6  ResultHash=2A8D  ProgramHash=2D0E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.07588559  Result=0.07588559  Best=0.07588559  Seed=C0A949EA  ResultHash=7B8A  ProgramHash=C47F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.07588559  Result=0.09879500  Best=0.07588559  Seed=C0A949EE  ResultHash=9558  ProgramHash=A928
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.07588559  Result=0.09562415  Best=0.07588559  Seed=C0A949F2  ResultHash=183A  ProgramHash=A928
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.07588559  Result=0.10795575  Best=0.07588559  Seed=C0A949F6  ResultHash=D357  ProgramHash=3F13
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.07588559  Result=0.10402286  Best=0.07588559  Seed=C0A949FA  ResultHash=3B35  ProgramHash=3C87
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.07588559  Result=0.11576545  Best=0.07588559  Seed=C0A949FE  ResultHash=84A5  ProgramHash=6DA5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.07588559  Result=0.10735291  Best=0.07588559  Seed=C0A94A02  ResultHash=95F2  ProgramHash=C9EC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.07588559  Result=0.10169101  Best=0.07588559  Seed=C0A94A06  ResultHash=7D7E  ProgramHash=6AE2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.07588559  Result=0.11211067  Best=0.07588559  Seed=C0A94A0A  ResultHash=7A06  ProgramHash=8566
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.07588559  Result=0.09160984  Best=0.07588559  Seed=C0A94A0E  ResultHash=A715  ProgramHash=680B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.07588559  Result=0.11073363  Best=0.07588559  Seed=C0A94A12  ResultHash=EE89  ProgramHash=373E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.07588559  Result=0.10159796  Best=0.07588559  Seed=C0A94A16  ResultHash=0AD2  ProgramHash=9896
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  43  Best=0.07588559  Result=0.10213606  Best=0.07588559  Seed=C0A94A1A  ResultHash=2E81  ProgramHash=C44E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  44  Best=0.07588559  Result=0.08826840  Best=0.07588559  Seed=C0A94A1E  ResultHash=B9D3  ProgramHash=FE75
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  45  Best=0.07588559  Result=0.10333967  Best=0.07588559  Seed=C0A94A22  ResultHash=3B7A  ProgramHash=1552
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  46  Best=0.07588559  Result=0.10845584  Best=0.07588559  Seed=C0A94A26  ResultHash=6CC5  ProgramHash=CFC8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  47  Best=0.07588559  Result=0.10128975  Best=0.07588559  Seed=C0A94A2A  ResultHash=021A  ProgramHash=F71F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  48  Best=0.07588559  Result=0.11343840  Best=0.07588559  Seed=C0A94A2E  ResultHash=5D0A  ProgramHash=627C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  49  Best=0.07588559  Result=0.11285663  Best=0.07588559  Seed=C0A94A32  ResultHash=0457  ProgramHash=B5DC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  50  Best=0.07588559  Result=0.08215070  Best=0.07588559  Seed=C0A94A36  ResultHash=0951  ProgramHash=3E2E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  51  Best=0.07588559  Result=0.09840643  Best=0.07588559  Seed=C0A94A3A  ResultHash=E4FA  ProgramHash=CA43
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  52  Best=0.07588559  Result=0.10379988  Best=0.07588559  Seed=C0A94A3E  ResultHash=1419  ProgramHash=2795
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  53  Best=0.07588559  Result=0.09177327  Best=0.07588559  Seed=C0A94A42  ResultHash=096B  ProgramHash=854A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  54  Best=0.07588559  Result=0.11190261  Best=0.07588559  Seed=C0A94A46  ResultHash=D5CD  ProgramHash=81EA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  55  Best=0.07588559  Result=0.10447127  Best=0.07588559  Seed=C0A94A4A  ResultHash=2C25  ProgramHash=1F83
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  56  Best=0.07588559  Result=0.09000835  Best=0.07588559  Seed=C0A94A4E  ResultHash=F972  ProgramHash=57B7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  57  Best=0.07588559  Result=0.10517538  Best=0.07588559  Seed=C0A94A52  ResultHash=0CC0  ProgramHash=0A7B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  58  Best=0.07588559  Result=0.10227120  Best=0.07588559  Seed=C0A94A56  ResultHash=A005  ProgramHash=E66B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  59  Best=0.07588559  Result=0.11013579  Best=0.07588559  Seed=C0A94A5A  ResultHash=8EBB  ProgramHash=7DC4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  60  Best=0.07588559  Result=0.08844769  Best=0.07588559  Seed=C0A94A5E  ResultHash=0D10  ProgramHash=7696
