instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.22311842  Result=0.22311842  Best=0.22311842  Seed=C0A9496E  ResultHash=D87D  ProgramHash=41FC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.15964651  Result=0.15964651  Best=0.15964651  Seed=C0A94972  ResultHash=37E1  ProgramHash=F3FF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.05051768  Result=0.05051768  Best=0.05051768  Seed=C0A94976  ResultHash=26C1  ProgramHash=B24D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.04375875  Result=0.04375875  Best=0.04375875  Seed=C0A9497A  ResultHash=1B18  ProgramHash=B24D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.04230821  Result=0.04230821  Best=0.04230821  Seed=C0A9497E  ResultHash=1E98  ProgramHash=B24D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.03920754  Result=0.03920754  Best=0.03920754  Seed=C0A94982  ResultHash=8342  ProgramHash=7F16
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.03592634  Result=0.03592634  Best=0.03592634  Seed=C0A94986  ResultHash=EE2F  ProgramHash=1187
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.03592634  Result=0.03984517  Best=0.03592634  Seed=C0A9498A  ResultHash=6B67  ProgramHash=E8EA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.03592634  Result=0.03992367  Best=0.03592634  Seed=C0A9498E  ResultHash=D1B5  ProgramHash=7075
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.03592634  Result=0.03995925  Best=0.03592634  Seed=C0A94992  ResultHash=5C46  ProgramHash=9742
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.03592634  Result=0.04022104  Best=0.03592634  Seed=C0A94996  ResultHash=11F7  ProgramHash=9742
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  11  Best=0.03592634  Result=0.04033875  Best=0.03592634  Seed=C0A9499A  ResultHash=EE50  ProgramHash=9742
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  12  Best=0.03592634  Result=0.04072472  Best=0.03592634  Seed=C0A9499E  ResultHash=9A87  ProgramHash=B519
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  13  Best=0.03592634  Result=0.04085290  Best=0.03592634  Seed=C0A949A2  ResultHash=05DE  ProgramHash=BC4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  14  Best=0.03592634  Result=0.04088682  Best=0.03592634  Seed=C0A949A6  ResultHash=60AE  ProgramHash=BC4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  15  Best=0.03592634  Result=0.04091567  Best=0.03592634  Seed=C0A949AA  ResultHash=27FB  ProgramHash=ACFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  16  Best=0.03592634  Result=0.04110408  Best=0.03592634  Seed=C0A949AE  ResultHash=6587  ProgramHash=BC4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  17  Best=0.03592634  Result=0.04133576  Best=0.03592634  Seed=C0A949B2  ResultHash=752F  ProgramHash=317C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  18  Best=0.03592634  Result=0.04157275  Best=0.03592634  Seed=C0A949B6  ResultHash=DAFB  ProgramHash=4FE3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  19  Best=0.03592634  Result=0.04169601  Best=0.03592634  Seed=C0A949BA  ResultHash=55A3  ProgramHash=676A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  20  Best=0.03592634  Result=0.04169768  Best=0.03592634  Seed=C0A949BE  ResultHash=4802  ProgramHash=676A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  21  Best=0.03592634  Result=0.04177666  Best=0.03592634  Seed=C0A949C2  ResultHash=498A  ProgramHash=DFC9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  22  Best=0.03592634  Result=0.04187214  Best=0.03592634  Seed=C0A949C6  ResultHash=DE7D  ProgramHash=788B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  23  Best=0.03592634  Result=0.04207018  Best=0.03592634  Seed=C0A949CA  ResultHash=ABBC  ProgramHash=2F4C
