instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.62831038  Result=0.62831038  Best=0.62831038  Seed=C0A9496E  ResultHash=ADDF  ProgramHash=4FCA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.57255197  Result=0.57255197  Best=0.57255197  Seed=C0A94972  ResultHash=1654  ProgramHash=1EB7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.43900549  Result=0.43900549  Best=0.43900549  Seed=C0A94976  ResultHash=D27C  ProgramHash=64AE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.43900549  Result=0.58982617  Best=0.43900549  Seed=C0A9497A  ResultHash=8312  ProgramHash=803C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.43900549  Result=0.64021009  Best=0.43900549  Seed=C0A9497E  ResultHash=BAE9  ProgramHash=54EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.43900549  Result=0.64125240  Best=0.43900549  Seed=C0A94982  ResultHash=231E  ProgramHash=8C6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.43900549  Result=0.66609544  Best=0.43900549  Seed=C0A94986  ResultHash=8023  ProgramHash=5F92
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.43900549  Result=0.67356032  Best=0.43900549  Seed=C0A9498A  ResultHash=2413  ProgramHash=F183
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.43900549  Result=0.67490721  Best=0.43900549  Seed=C0A9498E  ResultHash=EC87  ProgramHash=3E8E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.43900549  Result=0.67945665  Best=0.43900549  Seed=C0A94992  ResultHash=6F5D  ProgramHash=5123
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.43900549  Result=0.67983484  Best=0.43900549  Seed=C0A94996  ResultHash=9772  ProgramHash=7352
