instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 128;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.16391611  Result=0.16391611  Best=0.16391611  Seed=C0A9496D  ResultHash=C9A4  ProgramHash=1058
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.15084219  Result=0.15084219  Best=0.15084219  Seed=C0A94970  ResultHash=6304  ProgramHash=AC32
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.08895898  Result=0.08895898  Best=0.08895898  Seed=C0A94973  ResultHash=B391  ProgramHash=E8A0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.08895898  Result=0.09468877  Best=0.08895898  Seed=C0A94976  ResultHash=3A21  ProgramHash=B620
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.05407763  Result=0.05407763  Best=0.05407763  Seed=C0A94979  ResultHash=AF30  ProgramHash=E8A0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.05407763  Result=0.06335360  Best=0.05407763  Seed=C0A9497C  ResultHash=F14B  ProgramHash=1148
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.04761839  Result=0.04761839  Best=0.04761839  Seed=C0A9497F  ResultHash=55DE  ProgramHash=4C88
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.04124641  Result=0.04124641  Best=0.04124641  Seed=C0A94982  ResultHash=1C36  ProgramHash=1148
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.03613836  Result=0.03613836  Best=0.03613836  Seed=C0A94985  ResultHash=BEF3  ProgramHash=4C88
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.02924502  Result=0.02924502  Best=0.02924502  Seed=C0A94988  ResultHash=9BF7  ProgramHash=4C88
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.02924502  Result=0.03121948  Best=0.02924502  Seed=C0A9498B  ResultHash=44EB  ProgramHash=3534
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.02832854  Result=0.02832854  Best=0.02832854  Seed=C0A9498E  ResultHash=2360  ProgramHash=E915
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.02558935  Result=0.02558935  Best=0.02558935  Seed=C0A94991  ResultHash=4C57  ProgramHash=EF11
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.02558935  Result=0.02627587  Best=0.02558935  Seed=C0A94994  ResultHash=C7C9  ProgramHash=92E4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.02558935  Result=0.02756244  Best=0.02558935  Seed=C0A94997  ResultHash=4866  ProgramHash=92E4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.02558935  Result=0.02637374  Best=0.02558935  Seed=C0A9499A  ResultHash=2B3D  ProgramHash=92E4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.02558935  Result=0.02800089  Best=0.02558935  Seed=C0A9499D  ResultHash=BAC8  ProgramHash=92E4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.02558935  Result=0.02800775  Best=0.02558935  Seed=C0A949A0  ResultHash=F040  ProgramHash=F807
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.02552891  Result=0.02552891  Best=0.02552891  Seed=C0A949A3  ResultHash=22AC  ProgramHash=C388
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.02537310  Result=0.02537310  Best=0.02537310  Seed=C0A949A6  ResultHash=A669  ProgramHash=C388
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.02537310  Result=0.02557562  Best=0.02537310  Seed=C0A949A9  ResultHash=6674  ProgramHash=C7AD
