instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE: Generation=0  Age=0  Best=0.08713059  Time=2.0083 Seconds  Run Time=4.5498 Seconds  TestError=0.00000003
FIRESTARTER_CODE: Generation=1  Age=0  Best=0.07458533  Time=1.7858 Seconds  Run Time=6.4382 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=2  Age=0  Best=0.06900668  Time=1.8727 Seconds  Run Time=8.4041 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=3  Age=0  Best=0.04386276  Time=2.0128 Seconds  Run Time=10.4253 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=4  Age=0  Best=0.03887171  Time=2.0761 Seconds  Run Time=12.5964 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=5  Age=0  Best=0.03762925  Time=2.2004 Seconds  Run Time=14.8249 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=6  Age=0  Best=0.02836537  Time=2.3570 Seconds  Run Time=17.1916 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=7  Age=1  Best=0.02836537  Time=2.3406 Seconds  Run Time=19.6052 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=8  Age=2  Best=0.02836537  Time=2.4530 Seconds  Run Time=22.1428 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=9  Age=3  Best=0.02836537  Time=2.5066 Seconds  Run Time=24.7428 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=10  Age=0  Best=0.02424562  Time=2.5908 Seconds  Run Time=27.3768 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=11  Age=1  Best=0.02424562  Time=2.5858 Seconds  Run Time=30.0404 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=12  Age=2  Best=0.02424562  Time=2.6328 Seconds  Run Time=32.7417 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=13  Age=3  Best=0.02424562  Time=2.6457 Seconds  Run Time=35.4069 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=14  Age=4  Best=0.02424562  Time=2.7105 Seconds  Run Time=38.1352 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=15  Age=5  Best=0.02424562  Time=2.7843 Seconds  Run Time=40.9821 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=16  Age=6  Best=0.02424562  Time=2.7995 Seconds  Run Time=43.8788 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=17  Age=7  Best=0.02424562  Time=2.8150 Seconds  Run Time=46.7809 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=18  Age=0  Best=0.02248254  Time=2.7679 Seconds  Run Time=49.5990 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=19  Age=0  Best=0.02187514  Time=2.7511 Seconds  Run Time=52.4485 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=20  Age=0  Best=0.01921367  Time=2.7948 Seconds  Run Time=55.2666 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=21  Age=0  Best=0.01834631  Time=2.7568 Seconds  Run Time=58.1080 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=22  Age=0  Best=0.01536363  Time=2.7253 Seconds  Run Time=60.8491 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=23  Age=1  Best=0.01536363  Time=2.7672 Seconds  Run Time=63.6670 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=24  Age=2  Best=0.01536363  Time=2.8297 Seconds  Run Time=66.5032 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=25  Age=3  Best=0.01536363  Time=2.7860 Seconds  Run Time=69.3426 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=26  Age=0  Best=0.01501696  Time=2.8444 Seconds  Run Time=72.2742 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=27  Age=1  Best=0.01501696  Time=2.8763 Seconds  Run Time=75.1824 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=28  Age=2  Best=0.01501696  Time=2.8646 Seconds  Run Time=78.1584 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=29  Age=0  Best=0.01474261  Time=2.8852 Seconds  Run Time=81.0483 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=30  Age=0  Best=0.01372576  Time=2.9209 Seconds  Run Time=84.0622 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=31  Age=0  Best=0.01166910  Time=2.9496 Seconds  Run Time=87.0714 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=32  Age=1  Best=0.01166910  Time=2.9019 Seconds  Run Time=90.0159 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=33  Age=2  Best=0.01166910  Time=2.9195 Seconds  Run Time=93.0279 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=34  Age=3  Best=0.01166910  Time=2.8596 Seconds  Run Time=95.9596 Seconds  TestError=0.00000000
