instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.13080156  Result=0.13080156  Best=0.13080156  Seed=C0A9496F  ResultHash=6EEF  ProgramHash=484C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.13050795  Result=0.13050795  Best=0.13050795  Seed=C0A94974  ResultHash=8960  ProgramHash=A14E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.06086481  Result=0.06086481  Best=0.06086481  Seed=C0A94979  ResultHash=D129  ProgramHash=7AA8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.05293381  Result=0.05293381  Best=0.05293381  Seed=C0A9497E  ResultHash=BA9C  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.05293381  Result=0.05293548  Best=0.05293381  Seed=C0A94983  ResultHash=18D5  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.05293381  Result=0.05293536  Best=0.05293381  Seed=C0A94988  ResultHash=C18E  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.05185270  Result=0.05185270  Best=0.05185270  Seed=C0A9498D  ResultHash=5284  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.05183637  Result=0.05183637  Best=0.05183637  Seed=C0A94992  ResultHash=7DA0  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.05183470  Result=0.05183470  Best=0.05183470  Seed=C0A94997  ResultHash=4BBC  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.05183458  Result=0.05183458  Best=0.05183458  Seed=C0A9499C  ResultHash=B3BA  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949A1  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949A6  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949AB  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949B0  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949B5  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949BA  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949BF  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949C4  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949C9  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949CE  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949D3  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949D8  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949DD  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949E2  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949E7  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949EC  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949F1  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949F6  ResultHash=6803  ProgramHash=1CCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.05183446  Result=0.05183446  Best=0.05183446  Seed=C0A949FB  ResultHash=6803  ProgramHash=1CCE
