variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE: Generation=0  Age=0  Best=0.08713059  Time=2.1954 Seconds  Run Time=4.8150 Seconds  TestError=0.00000003
FIRESTARTER_CODE: Generation=1  Age=0  Best=0.07458533  Time=1.6496 Seconds  Run Time=6.5707 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=2  Age=1  Best=0.07458533  Time=1.7824 Seconds  Run Time=8.3660 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=3  Age=0  Best=0.05619112  Time=1.7730 Seconds  Run Time=10.2482 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=4  Age=0  Best=0.04117107  Time=1.8429 Seconds  Run Time=12.1999 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=5  Age=1  Best=0.04117107  Time=1.8791 Seconds  Run Time=14.1189 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=6  Age=0  Best=0.03611016  Time=1.9711 Seconds  Run Time=16.0981 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=7  Age=1  Best=0.03611016  Time=2.0279 Seconds  Run Time=18.1519 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=8  Age=2  Best=0.03611016  Time=2.1032 Seconds  Run Time=20.3405 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=9  Age=3  Best=0.03611016  Time=2.1582 Seconds  Run Time=22.6044 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=10  Age=4  Best=0.03611016  Time=2.1919 Seconds  Run Time=24.8596 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=11  Age=5  Best=0.03611016  Time=2.3024 Seconds  Run Time=27.1795 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=12  Age=6  Best=0.03611016  Time=2.3891 Seconds  Run Time=29.5961 Seconds  TestError=0.00000000
FIRESTARTER_CODE: Generation=13  Age=0  Best=0.02712313  Time=2.5455 Seconds  Run Time=32.1967 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=14  Age=1  Best=0.02712313  Time=2.6284 Seconds  Run Time=34.8369 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=15  Age=2  Best=0.02712313  Time=2.5661 Seconds  Run Time=37.4380 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=16  Age=3  Best=0.02712313  Time=2.7045 Seconds  Run Time=40.2280 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=17  Age=4  Best=0.02712313  Time=2.5395 Seconds  Run Time=42.8411 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=18  Age=5  Best=0.02712313  Time=2.5826 Seconds  Run Time=45.4382 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=19  Age=6  Best=0.02712313  Time=2.7055 Seconds  Run Time=48.2329 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=20  Age=7  Best=0.02712313  Time=2.8751 Seconds  Run Time=51.1771 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=21  Age=8  Best=0.02712313  Time=2.7839 Seconds  Run Time=53.9781 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=22  Age=9  Best=0.02712313  Time=2.9143 Seconds  Run Time=56.9924 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=23  Age=10  Best=0.02712313  Time=2.8715 Seconds  Run Time=59.9393 Seconds  TestError=0.00000002
FIRESTARTER_CODE: Generation=24  Age=0  Best=0.01940209  Time=2.9339 Seconds  Run Time=62.8866 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=25  Age=1  Best=0.01940209  Time=2.8952 Seconds  Run Time=65.8430 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=26  Age=2  Best=0.01940209  Time=2.9023 Seconds  Run Time=68.8458 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=27  Age=3  Best=0.01940209  Time=2.9689 Seconds  Run Time=71.9082 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=28  Age=4  Best=0.01940209  Time=3.0272 Seconds  Run Time=74.9551 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=29  Age=5  Best=0.01940209  Time=3.0565 Seconds  Run Time=78.0887 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=30  Age=6  Best=0.01940209  Time=3.0107 Seconds  Run Time=81.1531 Seconds  TestError=0.00000001
FIRESTARTER_CODE: Generation=31  Age=7  Best=0.01940209  Time=3.0929 Seconds  Run Time=84.3277 Seconds  TestError=0.00000001
