variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00005007  Result=0.00005007  Best=0.00005007  Seed=C0A949CE  ResultHash=2DE3  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00000960  Result=0.00000960  Best=0.00000960  Seed=C0A94A32  ResultHash=6A9D  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94A96  ResultHash=EAA6  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94AFA  ResultHash=ACEF  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94B5E  ResultHash=616A  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94BC2  ResultHash=EBFA  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94C26  ResultHash=DEA4  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94C8A  ResultHash=CFEB  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00000924  Result=0.00000924  Best=0.00000924  Seed=C0A94CEE  ResultHash=7102  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00000775  Result=0.00000775  Best=0.00000775  Seed=C0A94D52  ResultHash=332B  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A94DB6  ResultHash=028C  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A94E1A  ResultHash=F14E  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A94E7E  ResultHash=6599  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A94EE2  ResultHash=F216  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A94F46  ResultHash=2313  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A94FAA  ResultHash=BF80  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A9500E  ResultHash=8BB2  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A95072  ResultHash=5564  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A950D6  ResultHash=2F5B  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A9513A  ResultHash=03FE  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A9519E  ResultHash=8A7E  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A95202  ResultHash=45E1  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A95266  ResultHash=20CA  ProgramHash=1AEA
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00000751  Result=0.00000751  Best=0.00000751  Seed=C0A952CA  ResultHash=B3A6  ProgramHash=1AEA
