variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.13166666  Result=0.13166666  Best=0.13166666  Seed=C0A9496D  ResultHash=86FF  ProgramHash=71D9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.12204921  Result=0.12204921  Best=0.12204921  Seed=C0A94970  ResultHash=F1E5  ProgramHash=43E1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.09016466  Result=0.09016466  Best=0.09016466  Seed=C0A94973  ResultHash=CB2E  ProgramHash=D93D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.07547390  Result=0.07547390  Best=0.07547390  Seed=C0A94976  ResultHash=8106  ProgramHash=0BE3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.05665140  Result=0.05665140  Best=0.05665140  Seed=C0A94979  ResultHash=01BD  ProgramHash=66A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.05665140  Result=0.05877951  Best=0.05665140  Seed=C0A9497C  ResultHash=E5DE  ProgramHash=7FDE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.05665140  Result=0.05896032  Best=0.05665140  Seed=C0A9497F  ResultHash=6285  ProgramHash=F0AD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.05648987  Result=0.05648987  Best=0.05648987  Seed=C0A94982  ResultHash=E48A  ProgramHash=37DB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.05600429  Result=0.05600429  Best=0.05600429  Seed=C0A94985  ResultHash=B496  ProgramHash=5C20
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.05600429  Result=0.06668807  Best=0.05600429  Seed=C0A94988  ResultHash=EB8F  ProgramHash=CD6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.05600429  Result=0.05989350  Best=0.05600429  Seed=C0A9498B  ResultHash=4DEE  ProgramHash=83A6
