variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 512;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.09082007  Result=0.09082007  Best=0.09082007  Seed=C0A9496F  ResultHash=19BD  ProgramHash=0435
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.05943930  Result=0.05943930  Best=0.05943930  Seed=C0A94974  ResultHash=1A8F  ProgramHash=5D3C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.02954823  Result=0.02954823  Best=0.02954823  Seed=C0A94979  ResultHash=56AF  ProgramHash=CC58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.02954823  Result=0.03361893  Best=0.02954823  Seed=C0A9497E  ResultHash=BDEA  ProgramHash=9D3C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.02954823  Result=0.02977787  Best=0.02954823  Seed=C0A94983  ResultHash=2CAF  ProgramHash=3169
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.02954823  Result=0.04374135  Best=0.02954823  Seed=C0A94988  ResultHash=A5E8  ProgramHash=4312
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.02954823  Result=0.03577817  Best=0.02954823  Seed=C0A9498D  ResultHash=184A  ProgramHash=8261
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.02954823  Result=0.03859706  Best=0.02954823  Seed=C0A94992  ResultHash=B49F  ProgramHash=94C8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.02787775  Result=0.02787775  Best=0.02787775  Seed=C0A94997  ResultHash=EBA6  ProgramHash=3603
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.02787775  Result=0.03687227  Best=0.02787775  Seed=C0A9499C  ResultHash=1E90  ProgramHash=EB3A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.02787775  Result=0.03503752  Best=0.02787775  Seed=C0A949A1  ResultHash=9BB0  ProgramHash=53EB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.02787775  Result=0.03080887  Best=0.02787775  Seed=C0A949A6  ResultHash=15A9  ProgramHash=B0EE
