variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1234;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.11159456  Result=0.11159456  Best=0.11159456  Seed=4F296323  ResultHash=D50C  ProgramHash=5198
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.06016058  Result=0.06016058  Best=0.06016058  Seed=4F296328  ResultHash=D7BD  ProgramHash=8D4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.06016058  Result=0.07620460  Best=0.06016058  Seed=4F29632D  ResultHash=A657  ProgramHash=D517
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.04743052  Result=0.04743052  Best=0.04743052  Seed=4F296332  ResultHash=BF0D  ProgramHash=AE30
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.04743052  Result=0.06013292  Best=0.04743052  Seed=4F296337  ResultHash=227C  ProgramHash=1C73
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.04743052  Result=0.05176842  Best=0.04743052  Seed=4F29633C  ResultHash=ECF4  ProgramHash=1CE1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.04743052  Result=0.04936194  Best=0.04743052  Seed=4F296341  ResultHash=D41A  ProgramHash=D6D8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.04187289  Result=0.04187289  Best=0.04187289  Seed=4F296346  ResultHash=A227  ProgramHash=653B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.04187289  Result=0.04222810  Best=0.04187289  Seed=4F29634B  ResultHash=7E18  ProgramHash=41C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.03532231  Result=0.03532231  Best=0.03532231  Seed=4F296350  ResultHash=3903  ProgramHash=41C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.03532231  Result=0.05834668  Best=0.03532231  Seed=4F296355  ResultHash=D681  ProgramHash=D414
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.03532231  Result=0.03692019  Best=0.03532231  Seed=4F29635A  ResultHash=E529  ProgramHash=0321
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.03532231  Result=0.04942989  Best=0.03532231  Seed=4F29635F  ResultHash=11F7  ProgramHash=9F38
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.03532231  Result=0.04623586  Best=0.03532231  Seed=4F296364  ResultHash=B200  ProgramHash=D3CB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.03532231  Result=0.03944257  Best=0.03532231  Seed=4F296369  ResultHash=44BA  ProgramHash=7767
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.03532231  Result=0.04439950  Best=0.03532231  Seed=4F29636E  ResultHash=78C8  ProgramHash=F0CF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.03532231  Result=0.03568810  Best=0.03532231  Seed=4F296373  ResultHash=7905  ProgramHash=8071
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.03364706  Result=0.03364706  Best=0.03364706  Seed=4F296378  ResultHash=3DBC  ProgramHash=569A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.02984273  Result=0.02984273  Best=0.02984273  Seed=4F29637D  ResultHash=2F04  ProgramHash=F83D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.02429610  Result=0.02429610  Best=0.02429610  Seed=4F296382  ResultHash=6720  ProgramHash=F83D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.02429610  Result=0.02434635  Best=0.02429610  Seed=4F296387  ResultHash=F9D6  ProgramHash=F83D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.02429610  Result=0.04752374  Best=0.02429610  Seed=4F29638C  ResultHash=F360  ProgramHash=24E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.02429610  Result=0.04962754  Best=0.02429610  Seed=4F296391  ResultHash=80D5  ProgramHash=EA3E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.02429610  Result=0.03295249  Best=0.02429610  Seed=4F296396  ResultHash=08F6  ProgramHash=9A44
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.02429610  Result=0.04259205  Best=0.02429610  Seed=4F29639B  ResultHash=8F51  ProgramHash=26EB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.02429610  Result=0.04169005  Best=0.02429610  Seed=4F2963A0  ResultHash=9FE4  ProgramHash=4CF3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.02429610  Result=0.03046596  Best=0.02429610  Seed=4F2963A5  ResultHash=3B61  ProgramHash=A906
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.02429610  Result=0.03686696  Best=0.02429610  Seed=4F2963AA  ResultHash=128B  ProgramHash=9D61
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.02429610  Result=0.04016787  Best=0.02429610  Seed=4F2963AF  ResultHash=AA73  ProgramHash=9D61
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.02429610  Result=0.04823136  Best=0.02429610  Seed=4F2963B4  ResultHash=7079  ProgramHash=9D61
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.02429610  Result=0.02914727  Best=0.02429610  Seed=4F2963B9  ResultHash=D77E  ProgramHash=6F03
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.02429610  Result=0.04399652  Best=0.02429610  Seed=4F2963BE  ResultHash=A500  ProgramHash=0305
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.02429610  Result=0.04449725  Best=0.02429610  Seed=4F2963C3  ResultHash=2409  ProgramHash=C028
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.02429610  Result=0.05453971  Best=0.02429610  Seed=4F2963C8  ResultHash=654A  ProgramHash=B1E8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.02429610  Result=0.04243680  Best=0.02429610  Seed=4F2963CD  ResultHash=2930  ProgramHash=9E4D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.02429610  Result=0.03965557  Best=0.02429610  Seed=4F2963D2  ResultHash=55B9  ProgramHash=2912
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.02429610  Result=0.03758472  Best=0.02429610  Seed=4F2963D7  ResultHash=2C9C  ProgramHash=A18D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.02429610  Result=0.02839333  Best=0.02429610  Seed=4F2963DC  ResultHash=F513  ProgramHash=CFDB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.02429610  Result=0.03405058  Best=0.02429610  Seed=4F2963E1  ResultHash=22A7  ProgramHash=22BB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.02429610  Result=0.02780688  Best=0.02429610  Seed=4F2963E6  ResultHash=B8D4  ProgramHash=5010
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.02429610  Result=0.02858818  Best=0.02429610  Seed=4F2963EB  ResultHash=8DD6  ProgramHash=B494
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.02429610  Result=0.03011894  Best=0.02429610  Seed=4F2963F0  ResultHash=A5A2  ProgramHash=0793
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.02429610  Result=0.02881697  Best=0.02429610  Seed=4F2963F5  ResultHash=FBDE  ProgramHash=CF18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.02429610  Result=0.02628255  Best=0.02429610  Seed=4F2963FA  ResultHash=A75F  ProgramHash=9399
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.02429610  Result=0.02997592  Best=0.02429610  Seed=4F2963FF  ResultHash=B35C  ProgramHash=9AC7
