variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.10966852  Result=0.10966852  Best=0.10966852  Seed=5FA82AAF  ResultHash=7ACE  ProgramHash=CC55
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.09630013  Result=0.09630013  Best=0.09630013  Seed=5FA82AB4  ResultHash=D3B2  ProgramHash=1854
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.08256942  Result=0.08256942  Best=0.08256942  Seed=5FA82AB9  ResultHash=6CFC  ProgramHash=1E22
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.06146488  Result=0.06146488  Best=0.06146488  Seed=5FA82ABE  ResultHash=59E5  ProgramHash=E4E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.06146488  Result=0.06346107  Best=0.06146488  Seed=5FA82AC3  ResultHash=3DCB  ProgramHash=25DB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.02098000  Result=0.02098000  Best=0.02098000  Seed=5FA82AC8  ResultHash=4EBE  ProgramHash=224A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.02098000  Result=0.04980648  Best=0.02098000  Seed=5FA82ACD  ResultHash=3053  ProgramHash=E853
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.02098000  Result=0.05520493  Best=0.02098000  Seed=5FA82AD2  ResultHash=876D  ProgramHash=A440
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.02098000  Result=0.04919136  Best=0.02098000  Seed=5FA82AD7  ResultHash=14E0  ProgramHash=8D7A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.02098000  Result=0.04520217  Best=0.02098000  Seed=5FA82ADC  ResultHash=3A22  ProgramHash=8820
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.02098000  Result=0.03772152  Best=0.02098000  Seed=5FA82AE1  ResultHash=A72D  ProgramHash=F814
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.02098000  Result=0.05885136  Best=0.02098000  Seed=5FA82AE6  ResultHash=7CCE  ProgramHash=D15D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.02098000  Result=0.04366493  Best=0.02098000  Seed=5FA82AEB  ResultHash=8AF6  ProgramHash=51FF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.02098000  Result=0.05015016  Best=0.02098000  Seed=5FA82AF0  ResultHash=0C19  ProgramHash=A74C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.02098000  Result=0.04820222  Best=0.02098000  Seed=5FA82AF5  ResultHash=60EB  ProgramHash=D275
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.02098000  Result=0.03261757  Best=0.02098000  Seed=5FA82AFA  ResultHash=8521  ProgramHash=561C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.02098000  Result=0.04150069  Best=0.02098000  Seed=5FA82AFF  ResultHash=E074  ProgramHash=9C81
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.02098000  Result=0.04167783  Best=0.02098000  Seed=5FA82B04  ResultHash=7290  ProgramHash=9A64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.02098000  Result=0.03639350  Best=0.02098000  Seed=5FA82B09  ResultHash=86E1  ProgramHash=368A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.02098000  Result=0.04067135  Best=0.02098000  Seed=5FA82B0E  ResultHash=621F  ProgramHash=BF8F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.02098000  Result=0.02378847  Best=0.02098000  Seed=5FA82B13  ResultHash=48A8  ProgramHash=464F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.02098000  Result=0.02151728  Best=0.02098000  Seed=5FA82B18  ResultHash=C75D  ProgramHash=0FD3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.02098000  Result=0.02149725  Best=0.02098000  Seed=5FA82B1D  ResultHash=4E4B  ProgramHash=0FD3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.02098000  Result=0.02920198  Best=0.02098000  Seed=5FA82B22  ResultHash=1558  ProgramHash=4655
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.02060923  Result=0.02060923  Best=0.02060923  Seed=5FA82B27  ResultHash=ACF9  ProgramHash=0338
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.02060923  Result=0.02806562  Best=0.02060923  Seed=5FA82B2C  ResultHash=74A3  ProgramHash=4655
