variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.17653777  Result=0.17653777  Best=0.17653777  Seed=5FA82AAF  ResultHash=5646  ProgramHash=48BB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.17209840  Result=0.17209840  Best=0.17209840  Seed=5FA82AB4  ResultHash=3F9D  ProgramHash=D4AF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.16724141  Result=0.16724141  Best=0.16724141  Seed=5FA82AB9  ResultHash=5639  ProgramHash=6DE0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.11590081  Result=0.11590081  Best=0.11590081  Seed=5FA82ABE  ResultHash=274C  ProgramHash=7E18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.11279860  Result=0.11279860  Best=0.11279860  Seed=5FA82AC3  ResultHash=8A8E  ProgramHash=7E18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.11279860  Result=0.11899567  Best=0.11279860  Seed=5FA82AC8  ResultHash=F02F  ProgramHash=7E18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.11279860  Result=0.14614916  Best=0.11279860  Seed=5FA82ACD  ResultHash=568F  ProgramHash=00B9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.11279860  Result=0.11492181  Best=0.11279860  Seed=5FA82AD2  ResultHash=0EAA  ProgramHash=BF6F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.08270631  Result=0.08270631  Best=0.08270631  Seed=5FA82AD7  ResultHash=ED51  ProgramHash=F3CD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.08270631  Result=0.10761423  Best=0.08270631  Seed=5FA82ADC  ResultHash=F041  ProgramHash=6188
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.08270631  Result=0.10346182  Best=0.08270631  Seed=5FA82AE1  ResultHash=5A4B  ProgramHash=B72C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.08270631  Result=0.11393452  Best=0.08270631  Seed=5FA82AE6  ResultHash=2E67  ProgramHash=85ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.08270631  Result=0.10476750  Best=0.08270631  Seed=5FA82AEB  ResultHash=D648  ProgramHash=954E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.08270631  Result=0.09466010  Best=0.08270631  Seed=5FA82AF0  ResultHash=5416  ProgramHash=7122
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.08270631  Result=0.09957653  Best=0.08270631  Seed=5FA82AF5  ResultHash=4137  ProgramHash=FE9C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.08270631  Result=0.10739845  Best=0.08270631  Seed=5FA82AFA  ResultHash=ED6D  ProgramHash=3458
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.08270631  Result=0.09965747  Best=0.08270631  Seed=5FA82AFF  ResultHash=990B  ProgramHash=FA08
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.08270631  Result=0.12595564  Best=0.08270631  Seed=5FA82B04  ResultHash=AAC6  ProgramHash=1185
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.08270631  Result=0.11565173  Best=0.08270631  Seed=5FA82B09  ResultHash=972D  ProgramHash=C9CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.08270631  Result=0.13358998  Best=0.08270631  Seed=5FA82B0E  ResultHash=F384  ProgramHash=FE9E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.08270631  Result=0.12145016  Best=0.08270631  Seed=5FA82B13  ResultHash=B470  ProgramHash=5549
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.07410121  Result=0.07410121  Best=0.07410121  Seed=5FA82B18  ResultHash=28B0  ProgramHash=F5E2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.07410121  Result=0.12649345  Best=0.07410121  Seed=5FA82B1D  ResultHash=F5D9  ProgramHash=AB7E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.07410121  Result=0.08228184  Best=0.07410121  Seed=5FA82B22  ResultHash=158E  ProgramHash=59D9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.07410121  Result=0.17092168  Best=0.07410121  Seed=5FA82B27  ResultHash=6061  ProgramHash=1F2C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.07410121  Result=0.09362626  Best=0.07410121  Seed=5FA82B2C  ResultHash=0567  ProgramHash=CDB3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.07410121  Result=0.11548829  Best=0.07410121  Seed=5FA82B31  ResultHash=F9D8  ProgramHash=7EA0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.07410121  Result=0.08305311  Best=0.07410121  Seed=5FA82B36  ResultHash=17CE  ProgramHash=A201
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.07410121  Result=0.13733327  Best=0.07410121  Seed=5FA82B3B  ResultHash=3DF9  ProgramHash=0EC3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.07410121  Result=0.13556094  Best=0.07410121  Seed=5FA82B40  ResultHash=BBE5  ProgramHash=95C6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.07410121  Result=0.15513909  Best=0.07410121  Seed=5FA82B45  ResultHash=DF72  ProgramHash=BEB5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.07410121  Result=0.14420867  Best=0.07410121  Seed=5FA82B4A  ResultHash=6D84  ProgramHash=F4C6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.07410121  Result=0.11018741  Best=0.07410121  Seed=5FA82B4F  ResultHash=FB21  ProgramHash=8FF2
