variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.13486993  Result=0.13486993  Best=0.13486993  Seed=27922CA2  ResultHash=7AFC  ProgramHash=D2D0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.12325335  Result=0.12325335  Best=0.12325335  Seed=27922CA7  ResultHash=9B86  ProgramHash=B78E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.08390546  Result=0.08390546  Best=0.08390546  Seed=27922CAC  ResultHash=FA34  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.06340200  Result=0.06340200  Best=0.06340200  Seed=27922CB1  ResultHash=58A0  ProgramHash=8FCC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.03547227  Result=0.03547227  Best=0.03547227  Seed=27922CB6  ResultHash=0CA4  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.03467667  Result=0.03467667  Best=0.03467667  Seed=27922CBB  ResultHash=32ED  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.03133249  Result=0.03133249  Best=0.03133249  Seed=27922CC0  ResultHash=8EFC  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.02754998  Result=0.02754998  Best=0.02754998  Seed=27922CC5  ResultHash=8A9F  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CCA  ResultHash=7F1E  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CCF  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CD4  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CD9  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CDE  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CE3  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CE8  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CED  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CF2  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CF7  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922CFC  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D01  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D06  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D0B  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D10  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D15  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D1A  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D1F  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D24  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D29  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D2E  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D33  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D38  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D3D  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D42  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D47  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D4C  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D51  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D56  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D5B  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D60  ResultHash=8727  ProgramHash=D0EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.02645254  Result=0.02645254  Best=0.02645254  Seed=27922D65  ResultHash=8727  ProgramHash=D0EF
