variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.10165101  Result=0.10165101  Best=0.10165101  Seed=27922CA2  ResultHash=DA63  ProgramHash=7889
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.10038513  Result=0.10038513  Best=0.10038513  Seed=27922CA7  ResultHash=7FCE  ProgramHash=58C4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.05241895  Result=0.05241895  Best=0.05241895  Seed=27922CAC  ResultHash=3F3C  ProgramHash=0B12
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.04804182  Result=0.04804182  Best=0.04804182  Seed=27922CB1  ResultHash=38C1  ProgramHash=0B12
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.04804182  Result=0.05859613  Best=0.04804182  Seed=27922CB6  ResultHash=9BDB  ProgramHash=58C4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.02832687  Result=0.02832687  Best=0.02832687  Seed=27922CBB  ResultHash=AF6B  ProgramHash=2F37
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.02832687  Result=0.03967041  Best=0.02832687  Seed=27922CC0  ResultHash=0271  ProgramHash=7168
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.02832687  Result=0.03035498  Best=0.02832687  Seed=27922CC5  ResultHash=1F9D  ProgramHash=7168
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.02832687  Result=0.03125703  Best=0.02832687  Seed=27922CCA  ResultHash=9887  ProgramHash=2B57
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.02832687  Result=0.02912688  Best=0.02832687  Seed=27922CCF  ResultHash=6CB1  ProgramHash=2B57
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.02832687  Result=0.03293329  Best=0.02832687  Seed=27922CD4  ResultHash=6D4B  ProgramHash=CBA4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.02832687  Result=0.03722334  Best=0.02832687  Seed=27922CD9  ResultHash=AE20  ProgramHash=DB87
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.02832687  Result=0.02837670  Best=0.02832687  Seed=27922CDE  ResultHash=520C  ProgramHash=6C73
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.02832687  Result=0.03312123  Best=0.02832687  Seed=27922CE3  ResultHash=A91E  ProgramHash=DB87
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.02627045  Result=0.02627045  Best=0.02627045  Seed=27922CE8  ResultHash=3204  ProgramHash=8688
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.02490687  Result=0.02490687  Best=0.02490687  Seed=27922CED  ResultHash=328A  ProgramHash=CDAE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.02405810  Result=0.02405810  Best=0.02405810  Seed=27922CF2  ResultHash=7413  ProgramHash=CDAE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.02111530  Result=0.02111530  Best=0.02111530  Seed=27922CF7  ResultHash=82A8  ProgramHash=8688
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.01693052  Result=0.01693052  Best=0.01693052  Seed=27922CFC  ResultHash=075D  ProgramHash=BE9E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.01693052  Result=0.01796231  Best=0.01693052  Seed=27922D01  ResultHash=601D  ProgramHash=74AC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.01693052  Result=0.01796058  Best=0.01693052  Seed=27922D06  ResultHash=939D  ProgramHash=74AC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.01693052  Result=0.01919031  Best=0.01693052  Seed=27922D0B  ResultHash=DE3C  ProgramHash=2352
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.01693052  Result=0.02095139  Best=0.01693052  Seed=27922D10  ResultHash=56C8  ProgramHash=2810
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.01693052  Result=0.02328952  Best=0.01693052  Seed=27922D15  ResultHash=0645  ProgramHash=221C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.01693052  Result=0.01964486  Best=0.01693052  Seed=27922D1A  ResultHash=1DB7  ProgramHash=6AC8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.01693052  Result=0.02140315  Best=0.01693052  Seed=27922D1F  ResultHash=E6D9  ProgramHash=6AC8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.01693052  Result=0.02612734  Best=0.01693052  Seed=27922D24  ResultHash=8BE4  ProgramHash=6AC8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.01693052  Result=0.02220009  Best=0.01693052  Seed=27922D29  ResultHash=EC40  ProgramHash=6AC8
