variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
process = 0;
population = 139264;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00085276  Result=0.00085276  Best=0.00085276  Seed=C0A949CE  ResultHash=55C0  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00039220  Result=0.00039220  Best=0.00039220  Seed=C0A94A32  ResultHash=59C0  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00025237  Result=0.00025237  Best=0.00025237  Seed=C0A94A96  ResultHash=6308  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00023955  Result=0.00023955  Best=0.00023955  Seed=C0A94AFA  ResultHash=A7E1  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00022645  Result=0.00022645  Best=0.00022645  Seed=C0A94B5E  ResultHash=71C3  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00022645  Result=0.00023389  Best=0.00022645  Seed=C0A94BC2  ResultHash=9680  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00022645  Result=0.00023282  Best=0.00022645  Seed=C0A94C26  ResultHash=B8E6  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00022645  Result=0.00023222  Best=0.00022645  Seed=C0A94C8A  ResultHash=0A27  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00022645  Result=0.00023139  Best=0.00022645  Seed=C0A94CEE  ResultHash=F5DC  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00022645  Result=0.00022697  Best=0.00022645  Seed=C0A94D52  ResultHash=B852  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00022496  Result=0.00022496  Best=0.00022496  Seed=C0A94DB6  ResultHash=893E  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00022496  Result=0.00022507  Best=0.00022496  Seed=C0A94E1A  ResultHash=3519  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00022496  Result=0.00022507  Best=0.00022496  Seed=C0A94E7E  ResultHash=D4CA  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00022489  Result=0.00022489  Best=0.00022489  Seed=C0A94EE2  ResultHash=B4E9  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00022489  Result=0.00022513  Best=0.00022489  Seed=C0A94F46  ResultHash=BA89  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00022286  Result=0.00022286  Best=0.00022286  Seed=C0A94FAA  ResultHash=56C8  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00022286  Result=0.00022519  Best=0.00022286  Seed=C0A9500E  ResultHash=0832  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00022286  Result=0.00022501  Best=0.00022286  Seed=C0A95072  ResultHash=9B43  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00022286  Result=0.00022477  Best=0.00022286  Seed=C0A950D6  ResultHash=2A59  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00022286  Result=0.00022523  Best=0.00022286  Seed=C0A9513A  ResultHash=09DB  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00022286  Result=0.00022502  Best=0.00022286  Seed=C0A9519E  ResultHash=7F3A  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00022286  Result=0.00022513  Best=0.00022286  Seed=C0A95202  ResultHash=1528  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00022286  Result=0.00022489  Best=0.00022286  Seed=C0A95266  ResultHash=4EBB  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00022286  Result=0.00022441  Best=0.00022286  Seed=C0A952CA  ResultHash=A228  ProgramHash=A49A
