variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_UNIT;
units = 4;
process = 0;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 8337;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_UNIT: Generation=0  Age=0  Best=0.00001387  Time=9.5871 Seconds  Run Time=12.0859 Seconds  TestError=0.00000015
FIRESTARTER_UNIT: Generation=1  Age=0  Best=0.00000966  Time=1.5967 Seconds  Run Time=13.7112 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=2  Age=1  Best=0.00000966  Time=1.3068 Seconds  Run Time=15.0655 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=3  Age=2  Best=0.00000966  Time=1.3385 Seconds  Run Time=16.4183 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=4  Age=0  Best=0.00000787  Time=1.7107 Seconds  Run Time=18.2250 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=5  Age=1  Best=0.00000787  Time=1.5185 Seconds  Run Time=19.7821 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=6  Age=0  Best=0.00000513  Time=1.6043 Seconds  Run Time=21.4182 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=7  Age=1  Best=0.00000513  Time=1.9250 Seconds  Run Time=23.3831 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=8  Age=2  Best=0.00000513  Time=1.9467 Seconds  Run Time=25.3819 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=9  Age=3  Best=0.00000513  Time=2.1009 Seconds  Run Time=27.5158 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=10  Age=4  Best=0.00000513  Time=1.8320 Seconds  Run Time=29.4395 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=11  Age=5  Best=0.00000513  Time=2.0193 Seconds  Run Time=31.4948 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=12  Age=6  Best=0.00000513  Time=2.3157 Seconds  Run Time=33.8807 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=13  Age=7  Best=0.00000513  Time=2.2725 Seconds  Run Time=36.2518 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=14  Age=8  Best=0.00000513  Time=2.2073 Seconds  Run Time=38.4910 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=15  Age=9  Best=0.00000513  Time=2.4657 Seconds  Run Time=41.0615 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=16  Age=10  Best=0.00000513  Time=2.0743 Seconds  Run Time=43.2038 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=17  Age=11  Best=0.00000513  Time=2.4372 Seconds  Run Time=45.6535 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=18  Age=12  Best=0.00000513  Time=2.2806 Seconds  Run Time=48.0202 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=19  Age=13  Best=0.00000513  Time=2.4141 Seconds  Run Time=50.4572 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=20  Age=14  Best=0.00000513  Time=2.5401 Seconds  Run Time=53.0038 Seconds  TestError=0.00000006
FIRESTARTER_UNIT: Generation=21  Age=0  Best=0.00000334  Time=2.5457 Seconds  Run Time=55.6530 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=22  Age=1  Best=0.00000334  Time=2.6371 Seconds  Run Time=58.3819 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=23  Age=2  Best=0.00000334  Time=2.5168 Seconds  Run Time=60.9038 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=24  Age=3  Best=0.00000334  Time=2.7273 Seconds  Run Time=63.6442 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=25  Age=4  Best=0.00000334  Time=2.4992 Seconds  Run Time=66.1612 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=26  Age=5  Best=0.00000334  Time=2.6120 Seconds  Run Time=68.8003 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=27  Age=6  Best=0.00000334  Time=2.5082 Seconds  Run Time=71.3392 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=28  Age=7  Best=0.00000334  Time=2.7873 Seconds  Run Time=74.1516 Seconds  TestError=0.00000036
FIRESTARTER_UNIT: Generation=29  Age=0  Best=0.00000322  Time=2.6569 Seconds  Run Time=76.8892 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=30  Age=1  Best=0.00000322  Time=2.8690 Seconds  Run Time=79.8457 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=31  Age=2  Best=0.00000322  Time=2.7639 Seconds  Run Time=82.7127 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=32  Age=3  Best=0.00000322  Time=2.9870 Seconds  Run Time=85.7972 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=33  Age=4  Best=0.00000322  Time=2.6228 Seconds  Run Time=88.5141 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=34  Age=5  Best=0.00000322  Time=2.6277 Seconds  Run Time=91.1634 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=35  Age=6  Best=0.00000322  Time=2.6504 Seconds  Run Time=93.8263 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=36  Age=7  Best=0.00000322  Time=2.5587 Seconds  Run Time=96.4793 Seconds  TestError=0.00000012
