variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.32645446  Result=0.32645446  Best=0.32645446  Seed=C0A9496B  ResultHash=3253  ProgramHash=7DC3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.29700992  Result=0.29700992  Best=0.29700992  Seed=C0A9496C  ResultHash=D60C  ProgramHash=5A75
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.29700992  Result=1.36181712  Best=0.29700992  Seed=C0A9496D  ResultHash=C7CD  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.29700992  Result=1.36181748  Best=0.29700992  Seed=C0A9496E  ResultHash=CD67  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.29700992  Result=1.36181653  Best=0.29700992  Seed=C0A9496F  ResultHash=98B1  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.29700992  Result=1.36181891  Best=0.29700992  Seed=C0A94970  ResultHash=A220  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.29700992  Result=1.36181557  Best=0.29700992  Seed=C0A94971  ResultHash=26A4  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.29700992  Result=1.36181700  Best=0.29700992  Seed=C0A94972  ResultHash=9ED2  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.29700992  Result=1.36181784  Best=0.29700992  Seed=C0A94973  ResultHash=BFAD  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.29700992  Result=1.36181617  Best=0.29700992  Seed=C0A94974  ResultHash=B443  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.29700992  Result=1.36181867  Best=0.29700992  Seed=C0A94975  ResultHash=0AFC  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.29700992  Result=1.36181629  Best=0.29700992  Seed=C0A94976  ResultHash=3684  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.29700992  Result=1.36181641  Best=0.29700992  Seed=C0A94977  ResultHash=39C2  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.29700992  Result=1.36182284  Best=0.29700992  Seed=C0A94978  ResultHash=901C  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.29700992  Result=1.36181986  Best=0.29700992  Seed=C0A94979  ResultHash=0AA9  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.29700992  Result=1.36181664  Best=0.29700992  Seed=C0A9497A  ResultHash=FE6D  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.29700992  Result=1.36181879  Best=0.29700992  Seed=C0A9497B  ResultHash=66DF  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.29700992  Result=1.36182904  Best=0.29700992  Seed=C0A9497C  ResultHash=1C59  ProgramHash=14A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.29700992  Result=1.36181653  Best=0.29700992  Seed=C0A9497D  ResultHash=1B58  ProgramHash=14A3
