variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.32356846  Result=0.32356846  Seed=C0A9496B  ResultHash=0311  ProgramHash=BD43
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.20093799  Result=0.20093799  Seed=C0A9496C  ResultHash=FE46  ProgramHash=97D2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.13426326  Result=0.13426326  Seed=C0A9496D  ResultHash=047F  ProgramHash=D3B2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.13281834  Result=0.13281834  Seed=C0A9496E  ResultHash=2EF8  ProgramHash=539A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.07919765  Result=0.07919765  Seed=C0A9496F  ResultHash=5E6C  ProgramHash=BB8C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.07919765  Result=0.07919765  Seed=C0A94970  ResultHash=5E6C  ProgramHash=BB8C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.07919765  Result=0.07919765  Seed=C0A94971  ResultHash=5E6C  ProgramHash=BB8C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.07919765  Result=0.07919765  Seed=C0A94972  ResultHash=5E6C  ProgramHash=BB8C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.07919765  Result=0.07919765  Seed=C0A94973  ResultHash=5E6C  ProgramHash=BB8C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.07773911  Result=0.07773911  Seed=C0A94974  ResultHash=89AF  ProgramHash=4164
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.07773911  Result=0.07773911  Seed=C0A94975  ResultHash=89AF  ProgramHash=4164
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  11  Best=0.07773911  Result=0.07773911  Seed=C0A94976  ResultHash=89AF  ProgramHash=4164
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  12  Best=0.07773911  Result=0.07773911  Seed=C0A94977  ResultHash=89AF  ProgramHash=4164
