variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.32356846  Result=0.32356846  Seed=C0A9496B  ResultHash=0311  ProgramHash=BD43
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.29786211  Result=0.29786211  Seed=C0A9496C  ResultHash=BA50  ProgramHash=B4E8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.26384985  Result=0.26384985  Seed=C0A9496D  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.26384985  Result=0.26384985  Seed=C0A9496E  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.26384985  Result=0.26384985  Seed=C0A9496F  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.26384985  Result=0.26384985  Seed=C0A94970  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.26384985  Result=0.26384985  Seed=C0A94971  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.26384985  Result=0.26384985  Seed=C0A94972  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.26384985  Result=0.26384985  Seed=C0A94973  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.26384985  Result=0.26384985  Seed=C0A94974  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.26384985  Result=0.26384985  Seed=C0A94975  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.26384985  Result=0.26384985  Seed=C0A94976  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.26384985  Result=0.26384985  Seed=C0A94977  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.26384985  Result=0.26384985  Seed=C0A94978  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.26384985  Result=0.26384985  Seed=C0A94979  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.26384985  Result=0.26384985  Seed=C0A9497A  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.26384985  Result=0.26384985  Seed=C0A9497B  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.26384985  Result=0.26384985  Seed=C0A9497C  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.26384985  Result=0.26384985  Seed=C0A9497D  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.26384985  Result=0.26384985  Seed=C0A9497E  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.26384985  Result=0.26384985  Seed=C0A9497F  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.26384985  Result=0.26384985  Seed=C0A94980  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.26384985  Result=0.26384985  Seed=C0A94981  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.26384985  Result=0.26384985  Seed=C0A94982  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.26384985  Result=0.26384985  Seed=C0A94983  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.26384985  Result=0.26384985  Seed=C0A94984  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.26384985  Result=0.26384985  Seed=C0A94985  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.26384985  Result=0.26384985  Seed=C0A94986  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.26384985  Result=0.26384985  Seed=C0A94987  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.26384985  Result=0.26384985  Seed=C0A94988  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.26384985  Result=0.26384985  Seed=C0A94989  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.26384985  Result=0.26384985  Seed=C0A9498A  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.26384985  Result=0.26384985  Seed=C0A9498B  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.26384985  Result=0.26384985  Seed=C0A9498C  ResultHash=13F8  ProgramHash=9E58
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00167465  Result=0.00167465  Seed=C0A949CE  ResultHash=E196  ProgramHash=9E58
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00160159  Result=0.00160159  Seed=C0A94A32  ResultHash=DF76  ProgramHash=9E58
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00160159  Result=0.00165868  Seed=C0A94A96  ResultHash=237E  ProgramHash=9E58
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00160159  Result=0.00167114  Seed=C0A94AFA  ResultHash=8F2A  ProgramHash=9E58
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00160159  Result=0.00163992  Seed=C0A94B5E  ResultHash=7B87  ProgramHash=9E58
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00160159  Result=0.00161329  Seed=C0A94BC2  ResultHash=44E2  ProgramHash=9E58
