variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
process = 0;
population = 69632;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Generation=0  Age=0  Best=0.03382272  Time=3.7672 Seconds  Run Time=6.5877 Seconds  TestError=0.00000003
FIRESTARTER_OPTIMIZE: Generation=1  Age=0  Best=0.00803423  Time=1.0348 Seconds  Run Time=7.6969 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=2  Age=0  Best=0.00342551  Time=1.0474 Seconds  Run Time=8.8131 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Generation=3  Age=0  Best=0.00316465  Time=1.0210 Seconds  Run Time=9.8911 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Generation=4  Age=0  Best=0.00141469  Time=1.0245 Seconds  Run Time=11.0037 Seconds  TestError=0.00000107
FIRESTARTER_OPTIMIZE: Generation=5  Age=0  Best=0.00141251  Time=1.0618 Seconds  Run Time=12.1372 Seconds  TestError=0.00000030
FIRESTARTER_OPTIMIZE: Generation=6  Age=0  Best=0.00139296  Time=1.0973 Seconds  Run Time=13.2638 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Generation=7  Age=0  Best=0.00132239  Time=1.1741 Seconds  Run Time=14.5415 Seconds  TestError=0.00000027
FIRESTARTER_OPTIMIZE: Generation=8  Age=1  Best=0.00132239  Time=1.1300 Seconds  Run Time=15.6990 Seconds  TestError=0.00000027
FIRESTARTER_OPTIMIZE: Generation=9  Age=2  Best=0.00132239  Time=1.1944 Seconds  Run Time=16.9695 Seconds  TestError=0.00000027
FIRESTARTER_OPTIMIZE: Generation=10  Age=0  Best=0.00128068  Time=1.2389 Seconds  Run Time=18.2417 Seconds  TestError=0.00000006
FIRESTARTER_OPTIMIZE: Generation=11  Age=1  Best=0.00128068  Time=1.3342 Seconds  Run Time=19.6463 Seconds  TestError=0.00000006
FIRESTARTER_OPTIMIZE: Generation=12  Age=0  Best=0.00126570  Time=1.3248 Seconds  Run Time=21.0861 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Generation=13  Age=1  Best=0.00126570  Time=1.3564 Seconds  Run Time=22.5494 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Generation=14  Age=0  Best=0.00126147  Time=1.4013 Seconds  Run Time=24.0317 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=15  Age=1  Best=0.00126147  Time=1.4554 Seconds  Run Time=25.5223 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=16  Age=2  Best=0.00126147  Time=1.4712 Seconds  Run Time=27.0758 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=17  Age=3  Best=0.00126147  Time=1.5194 Seconds  Run Time=28.6641 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=18  Age=4  Best=0.00126147  Time=1.5543 Seconds  Run Time=30.2504 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=19  Age=5  Best=0.00126147  Time=1.5435 Seconds  Run Time=31.8974 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=20  Age=6  Best=0.00126147  Time=1.6544 Seconds  Run Time=33.6536 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=21  Age=7  Best=0.00126147  Time=1.6364 Seconds  Run Time=35.4002 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=22  Age=8  Best=0.00126147  Time=1.6494 Seconds  Run Time=37.0799 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Generation=23  Age=9  Best=0.00126147  Time=1.6370 Seconds  Run Time=38.8318 Seconds  TestError=0.00000048
