variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 6;
process = 1;
population = 17408;
iterations = 128;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=1  Seed=1  Result=0.01924014  Average=0.01924014  Best=0.01924014  BestSeed=1  Time=2.9792 Seconds  Run Time=5.5364 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=2  Seed=2  Result=0.00112092  Average=0.01018053  Best=0.00112092  BestSeed=2  Time=3.0275 Seconds  Run Time=5.5840 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=9  Seed=9  Result=0.00109509  Average=0.00238402  Best=0.00109509  BestSeed=9  Time=3.5449 Seconds  Run Time=6.1014 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=12  Seed=12  Result=0.00131273  Average=0.00189741  Best=0.00109509  BestSeed=9  Time=3.7121 Seconds  Run Time=6.2686 Seconds  TestError=0.00000054
FIRESTARTER_RANDOM: Generation=17  Seed=17  Result=0.00061893  Average=0.00137575  Best=0.00061893  BestSeed=17  Time=4.1063 Seconds  Run Time=6.6628 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=20  Seed=20  Result=0.00284082  Average=0.00131143  Best=0.00061893  BestSeed=17  Time=4.3784 Seconds  Run Time=6.9350 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=21  Seed=21  Result=0.00140405  Average=0.00131584  Best=0.00061893  BestSeed=17  Time=4.5281 Seconds  Run Time=7.0847 Seconds  TestError=0.00000238
FIRESTARTER_RANDOM: Generation=25  Seed=25  Result=0.00112092  Average=0.00115014  Best=0.00061893  BestSeed=17  Time=4.8605 Seconds  Run Time=7.4171 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=28  Seed=28  Result=0.00109509  Average=0.00106602  Best=0.00061893  BestSeed=17  Time=5.0658 Seconds  Run Time=7.6224 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=30  Seed=30  Result=0.00131273  Average=0.00103871  Best=0.00061893  BestSeed=17  Time=5.2327 Seconds  Run Time=7.7893 Seconds  TestError=0.00000054
FIRESTARTER_RANDOM: Generation=35  Seed=35  Result=0.00061893  Average=0.00090801  Best=0.00061893  BestSeed=17  Time=5.5993 Seconds  Run Time=8.1559 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=38  Seed=38  Result=0.00120258  Average=0.00086797  Best=0.00061893  BestSeed=17  Time=5.8771 Seconds  Run Time=8.4337 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=39  Seed=39  Result=0.00140405  Average=0.00088172  Best=0.00061893  BestSeed=17  Time=5.9064 Seconds  Run Time=8.4630 Seconds  TestError=0.00000238
FIRESTARTER_RANDOM: Generation=44  Seed=44  Result=0.00112092  Average=0.00080700  Best=0.00061893  BestSeed=17  Time=6.3515 Seconds  Run Time=8.9081 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=46  Seed=46  Result=0.00109509  Average=0.00079572  Best=0.00061893  BestSeed=17  Time=6.5284 Seconds  Run Time=9.0849 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=48  Seed=48  Result=0.00098479  Average=0.00078308  Best=0.00061893  BestSeed=17  Time=6.6673 Seconds  Run Time=9.2239 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=53  Seed=53  Result=0.00061893  Average=0.00072088  Best=0.00061893  BestSeed=17  Time=7.0890 Seconds  Run Time=9.6456 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=56  Seed=56  Result=0.00120258  Average=0.00070374  Best=0.00061893  BestSeed=17  Time=7.2695 Seconds  Run Time=9.8260 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=57  Seed=57  Result=0.00140405  Average=0.00071602  Best=0.00061893  BestSeed=17  Time=7.3753 Seconds  Run Time=9.9319 Seconds  TestError=0.00000238
FIRESTARTER_RANDOM: Generation=61  Seed=61  Result=0.00112092  Average=0.00068745  Best=0.00061893  BestSeed=17  Time=7.8132 Seconds  Run Time=10.3697 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=64  Seed=64  Result=0.00109509  Average=0.00067233  Best=0.00061893  BestSeed=17  Time=7.9143 Seconds  Run Time=10.4709 Seconds  TestError=0.00000000
