variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 17408;
iterations = 128;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=1  Seed=1  Result=0.01924014  Average=inf  Best=0.01924014  BestSeed=1  Time=8.9497 Seconds  Run Time=11.9293 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=2  Seed=3  Result=0.00439689  Average=0.02363703  Best=0.00439689  BestSeed=3  Time=4.5032 Seconds  Run Time=11.9852 Seconds  TestError=0.00000021
FIRESTARTER_RANDOM: Generation=3  Seed=0  Result=0.00109509  Average=0.01236606  Best=0.00109509  BestSeed=0  Time=3.0397 Seconds  Run Time=12.0979 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=4  Seed=2  Result=0.00112092  Average=0.00861768  Best=0.00109509  BestSeed=0  Time=2.2799 Seconds  Run Time=12.0985 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=5  Seed=4  Result=0.00131273  Average=0.00679144  Best=0.00109509  BestSeed=0  Time=1.8240 Seconds  Run Time=12.0989 Seconds  TestError=0.00000054
FIRESTARTER_RANDOM: Generation=6  Seed=5  Result=0.00270474  Average=0.00597410  Best=0.00109509  BestSeed=0  Time=1.5266 Seconds  Run Time=12.1384 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=7  Seed=6  Result=0.00414872  Average=0.00566987  Best=0.00109509  BestSeed=0  Time=1.3424 Seconds  Run Time=12.3755 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=8  Seed=7  Result=0.00140405  Average=0.00506047  Best=0.00109509  BestSeed=0  Time=1.1813 Seconds  Run Time=12.4294 Seconds  TestError=0.00000238
FIRESTARTER_RANDOM: Generation=9  Seed=8  Result=0.00061893  Average=0.00450528  Best=0.00061893  BestSeed=8  Time=1.0626 Seconds  Run Time=12.5421 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=10  Seed=10  Result=0.00207661  Average=0.00423543  Best=0.00061893  BestSeed=8  Time=0.9564 Seconds  Run Time=12.5428 Seconds  TestError=0.00000011
FIRESTARTER_RANDOM: Generation=11  Seed=9  Result=0.00448418  Average=0.00426030  Best=0.00061893  BestSeed=8  Time=0.8717 Seconds  Run Time=12.5674 Seconds  TestError=0.00000095
FIRESTARTER_RANDOM: Generation=12  Seed=11  Result=0.00290298  Average=0.00413691  Best=0.00061893  BestSeed=8  Time=0.8006 Seconds  Run Time=12.5864 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=13  Seed=16  Result=0.00176942  Average=0.00393962  Best=0.00061893  BestSeed=8  Time=0.7610 Seconds  Run Time=12.8717 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=14  Seed=12  Result=0.00157635  Average=0.00375783  Best=0.00061893  BestSeed=8  Time=0.7113 Seconds  Run Time=12.9370 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=15  Seed=13  Result=0.00473803  Average=0.00382784  Best=0.00061893  BestSeed=8  Time=0.6639 Seconds  Run Time=12.9377 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=16  Seed=14  Result=0.00284082  Average=0.00376204  Best=0.00061893  BestSeed=8  Time=0.6266 Seconds  Run Time=13.0044 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=17  Seed=15  Result=0.00424657  Average=0.00379232  Best=0.00061893  BestSeed=8  Time=0.5939 Seconds  Run Time=13.0746 Seconds  TestError=0.00000057
FIRESTARTER_RANDOM: Generation=18  Seed=17  Result=0.00866640  Average=0.00407903  Best=0.00061893  BestSeed=8  Time=0.5610 Seconds  Run Time=13.0760 Seconds  TestError=0.00000113
FIRESTARTER_RANDOM: Generation=19  Seed=22  Result=0.00228772  Average=0.00397952  Best=0.00061893  BestSeed=8  Time=0.5476 Seconds  Run Time=13.3836 Seconds  TestError=0.00000083
FIRESTARTER_RANDOM: Generation=20  Seed=18  Result=0.00243938  Average=0.00389846  Best=0.00061893  BestSeed=8  Time=0.5227 Seconds  Run Time=13.4327 Seconds  TestError=0.00000083
FIRESTARTER_RANDOM: Generation=21  Seed=19  Result=0.00992031  Average=0.00419955  Best=0.00061893  BestSeed=8  Time=0.4989 Seconds  Run Time=13.4567 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=22  Seed=20  Result=0.01107335  Average=0.00452687  Best=0.00061893  BestSeed=8  Time=0.4792 Seconds  Run Time=13.5223 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=23  Seed=21  Result=0.04606602  Average=0.00641502  Best=0.00061893  BestSeed=8  Time=0.4602 Seconds  Run Time=13.5628 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=24  Seed=23  Result=0.06315222  Average=0.00888185  Best=0.00061893  BestSeed=8  Time=0.4422 Seconds  Run Time=13.5927 Seconds  TestError=0.00000001
FIRESTARTER_RANDOM: Generation=25  Seed=28  Result=0.00450400  Average=0.00869944  Best=0.00061893  BestSeed=8  Time=0.4361 Seconds  Run Time=13.8818 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=26  Seed=24  Result=0.00480890  Average=0.00854382  Best=0.00061893  BestSeed=8  Time=0.4202 Seconds  Run Time=13.9043 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=27  Seed=27  Result=0.02132285  Average=0.00903532  Best=0.00061893  BestSeed=8  Time=0.4064 Seconds  Run Time=13.9523 Seconds  TestError=0.00000022
FIRESTARTER_RANDOM: Generation=28  Seed=26  Result=0.00128203  Average=0.00874816  Best=0.00061893  BestSeed=8  Time=0.3944 Seconds  Run Time=14.0226 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=29  Seed=25  Result=0.12424195  Average=0.01287294  Best=0.00061893  BestSeed=8  Time=0.3813 Seconds  Run Time=14.0362 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=30  Seed=29  Result=1.48324537  Average=0.06357544  Best=0.00061893  BestSeed=8  Time=0.3705 Seconds  Run Time=14.0932 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=31  Seed=35  Result=1.01648593  Average=0.09533913  Best=0.00061893  BestSeed=8  Time=0.3666 Seconds  Run Time=14.3445 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=32  Seed=30  Result=0.00752532  Average=0.09250642  Best=0.00061893  BestSeed=8  Time=0.3572 Seconds  Run Time=14.4083 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=33  Seed=33  Result=0.20144954  Average=0.09591090  Best=0.00061893  BestSeed=8  Time=0.3467 Seconds  Run Time=14.4187 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=34  Seed=34  Result=0.00161563  Average=0.09305346  Best=0.00061893  BestSeed=8  Time=0.3384 Seconds  Run Time=14.4835 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=35  Seed=32  Result=0.00340462  Average=0.09041673  Best=0.00061893  BestSeed=8  Time=0.3304 Seconds  Run Time=14.5422 Seconds  TestError=0.00000179
FIRESTARTER_RANDOM: Generation=36  Seed=31  Result=0.01755086  Average=0.08833485  Best=0.00061893  BestSeed=8  Time=0.3215 Seconds  Run Time=14.5536 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=37  Seed=36  Result=0.00098479  Average=0.08590847  Best=0.00061893  BestSeed=8  Time=0.3199 Seconds  Run Time=14.8169 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=38  Seed=38  Result=0.00120258  Average=0.08361912  Best=0.00061893  BestSeed=8  Time=0.3129 Seconds  Run Time=14.8697 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=39  Seed=37  Result=1.08047843  Average=0.10985226  Best=0.00061893  BestSeed=8  Time=0.3054 Seconds  Run Time=14.8912 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=40  Seed=41  Result=0.85227418  Average=0.12888871  Best=0.00061893  BestSeed=8  Time=0.2996 Seconds  Run Time=14.9623 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=41  Seed=39  Result=0.85227418  Average=0.14697334  Best=0.00061893  BestSeed=8  Time=0.2933 Seconds  Run Time=15.0046 Seconds  TestError=0.00000004
FIRESTARTER_RANDOM: Generation=42  Seed=40  Result=0.06104100  Average=0.14487743  Best=0.00061893  BestSeed=8  Time=0.2869 Seconds  Run Time=15.0299 Seconds  TestError=0.00000146
FIRESTARTER_RANDOM: Generation=43  Seed=42  Result=0.01383889  Average=0.14175746  Best=0.00061893  BestSeed=8  Time=0.2865 Seconds  Run Time=15.3000 Seconds  TestError=0.00000009
FIRESTARTER_RANDOM: Generation=44  Seed=43  Result=0.85227418  Average=0.15828110  Best=0.00061893  BestSeed=8  Time=0.2812 Seconds  Run Time=15.3509 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=45  Seed=45  Result=0.01149911  Average=0.15494515  Best=0.00061893  BestSeed=8  Time=0.2754 Seconds  Run Time=15.3716 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=46  Seed=46  Result=0.00413764  Average=0.15159386  Best=0.00061893  BestSeed=8  Time=0.2709 Seconds  Run Time=15.4406 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=47  Seed=44  Result=0.00185966  Average=0.14833878  Best=0.00061893  BestSeed=8  Time=0.2660 Seconds  Run Time=15.4822 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=48  Seed=47  Result=0.00409210  Average=0.14526969  Best=0.00061893  BestSeed=8  Time=0.2612 Seconds  Run Time=15.5146 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=49  Seed=50  Result=0.00789392  Average=0.14240770  Best=0.00061893  BestSeed=8  Time=0.2611 Seconds  Run Time=15.7742 Seconds  TestError=0.00006366
FIRESTARTER_RANDOM: Generation=50  Seed=48  Result=0.00267099  Average=0.13955593  Best=0.00061893  BestSeed=8  Time=0.2569 Seconds  Run Time=15.8222 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=51  Seed=49  Result=0.85227418  Average=0.15381029  Best=0.00061893  BestSeed=8  Time=0.2523 Seconds  Run Time=15.8476 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=52  Seed=53  Result=0.03144193  Average=0.15141091  Best=0.00061893  BestSeed=8  Time=0.2490 Seconds  Run Time=15.9243 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=53  Seed=51  Result=0.85227418  Average=0.16488904  Best=0.00061893  BestSeed=8  Time=0.2449 Seconds  Run Time=15.9586 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=54  Seed=52  Result=0.02551216  Average=0.16225928  Best=0.00061893  BestSeed=8  Time=0.2410 Seconds  Run Time=15.9914 Seconds  TestError=0.00004619
FIRESTARTER_RANDOM: Generation=55  Seed=55  Result=0.03069997  Average=0.15982300  Best=0.00061893  BestSeed=8  Time=0.2417 Seconds  Run Time=16.2698 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=56  Seed=54  Result=0.06260908  Average=0.15805545  Best=0.00061893  BestSeed=8  Time=0.2384 Seconds  Run Time=16.3299 Seconds  TestError=0.00003481
FIRESTARTER_RANDOM: Generation=57  Seed=56  Result=0.05932636  Average=0.15629244  Best=0.00061893  BestSeed=8  Time=0.2344 Seconds  Run Time=16.3385 Seconds  TestError=0.00182521
FIRESTARTER_RANDOM: Generation=58  Seed=58  Result=0.00559866  Average=0.15364869  Best=0.00061893  BestSeed=8  Time=0.2315 Seconds  Run Time=16.4054 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=59  Seed=57  Result=0.85227418  Average=0.16569395  Best=0.00061893  BestSeed=8  Time=0.2286 Seconds  Run Time=16.4668 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=60  Seed=59  Result=0.85227418  Average=0.17733091  Best=0.00061893  BestSeed=8  Time=0.2250 Seconds  Run Time=16.4772 Seconds  TestError=0.00000093
FIRESTARTER_RANDOM: Generation=61  Seed=61  Result=0.00309635  Average=0.17442700  Best=0.00061893  BestSeed=8  Time=0.2259 Seconds  Run Time=16.7563 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=62  Seed=62  Result=0.00836098  Average=0.17170461  Best=0.00061893  BestSeed=8  Time=0.2229 Seconds  Run Time=16.7957 Seconds  TestError=0.00000054
FIRESTARTER_RANDOM: Generation=63  Seed=60  Result=0.00616223  Average=0.16903457  Best=0.00061893  BestSeed=8  Time=0.2197 Seconds  Run Time=16.8222 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=64  Seed=63  Result=0.01112342  Average=0.16652805  Best=0.00061893  BestSeed=8  Time=0.2174 Seconds  Run Time=16.8933 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=65  Seed=64  Result=0.00606759  Average=0.16402085  Best=0.00061893  BestSeed=8  Time=0.2146 Seconds  Run Time=16.9295 Seconds  TestError=0.00000010
FIRESTARTER_RANDOM: Generation=66  Seed=65  Result=0.01419672  Average=0.16171587  Best=0.00061893  BestSeed=8  Time=0.2119 Seconds  Run Time=16.9660 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=67  Seed=68  Result=0.00372608  Average=0.15932207  Best=0.00061893  BestSeed=8  Time=0.2125 Seconds  Run Time=17.2188 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=68  Seed=66  Result=0.00677496  Average=0.15704525  Best=0.00061893  BestSeed=8  Time=0.2099 Seconds  Run Time=17.2508 Seconds  TestError=0.00000021
FIRESTARTER_RANDOM: Generation=69  Seed=70  Result=0.01677647  Average=0.15498246  Best=0.00061893  BestSeed=8  Time=0.2074 Seconds  Run Time=17.2870 Seconds  TestError=0.03020072
FIRESTARTER_RANDOM: Generation=70  Seed=69  Result=0.01818514  Average=0.15299991  Best=0.00061893  BestSeed=8  Time=0.2055 Seconds  Run Time=17.3610 Seconds  TestError=0.00000006
