variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=1  Seed=4  Result=0.00048232  Average=0.00048232  Best=0.00048232  BestSeed=4  Time=6.3309 Seconds  Run Time=13.3313 Seconds  TestError=0.00000021
FIRESTARTER_RANDOM: Generation=2  Seed=0  Result=0.00047970  Average=0.00048101  Best=0.00047970  BestSeed=0  Time=3.1766 Seconds  Run Time=13.3674 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=3  Seed=3  Result=0.00159353  Average=0.00085185  Best=0.00047970  BestSeed=0  Time=2.2943 Seconds  Run Time=13.8634 Seconds  TestError=0.00000125
FIRESTARTER_RANDOM: Generation=4  Seed=1  Result=0.00287569  Average=0.00135781  Best=0.00047970  BestSeed=0  Time=1.7562 Seconds  Run Time=14.0055 Seconds  TestError=0.00000089
FIRESTARTER_RANDOM: Generation=5  Seed=5  Result=0.00058776  Average=0.00120380  Best=0.00047970  BestSeed=0  Time=1.4834 Seconds  Run Time=14.3976 Seconds  TestError=0.00000986
FIRESTARTER_RANDOM: Generation=6  Seed=2  Result=0.00090071  Average=0.00115328  Best=0.00047970  BestSeed=0  Time=1.2739 Seconds  Run Time=14.6242 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=7  Seed=7  Result=0.00054836  Average=0.00106687  Best=0.00047970  BestSeed=0  Time=1.1295 Seconds  Run Time=14.8871 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=8  Seed=6  Result=0.00054240  Average=0.00100131  Best=0.00047970  BestSeed=0  Time=1.0334 Seconds  Run Time=15.2479 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=9  Seed=8  Result=0.00053251  Average=0.00094922  Best=0.00047970  BestSeed=0  Time=0.9316 Seconds  Run Time=15.3648 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=10  Seed=10  Result=0.00109422  Average=0.00096372  Best=0.00047970  BestSeed=0  Time=0.8901 Seconds  Run Time=15.8820 Seconds  TestError=0.00000119
FIRESTARTER_RANDOM: Generation=11  Seed=9  Result=0.00313330  Average=0.00116095  Best=0.00047970  BestSeed=0  Time=0.8130 Seconds  Run Time=15.9230 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=12  Seed=11  Result=0.00165275  Average=0.00120194  Best=0.00047970  BestSeed=0  Time=0.7825 Seconds  Run Time=16.3705 Seconds  TestError=0.00000033
FIRESTARTER_RANDOM: Generation=13  Seed=12  Result=0.00053510  Average=0.00115064  Best=0.00047970  BestSeed=0  Time=0.7361 Seconds  Run Time=16.5495 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=14  Seed=14  Result=0.00043118  Average=0.00109925  Best=0.00043118  BestSeed=14  Time=0.7092 Seconds  Run Time=16.9392 Seconds  TestError=0.00000092
FIRESTARTER_RANDOM: Generation=15  Seed=13  Result=0.00137621  Average=0.00111772  Best=0.00043118  BestSeed=14  Time=0.6860 Seconds  Run Time=17.2703 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=16  Seed=15  Result=0.00187945  Average=0.00116532  Best=0.00043118  BestSeed=14  Time=0.6546 Seconds  Run Time=17.4538 Seconds  TestError=0.00000310
FIRESTARTER_RANDOM: Generation=17  Seed=17  Result=0.00554782  Average=0.00142312  Best=0.00043118  BestSeed=14  Time=0.6456 Seconds  Run Time=17.9562 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=18  Seed=16  Result=0.00042081  Average=0.00136743  Best=0.00042081  BestSeed=16  Time=0.6108 Seconds  Run Time=18.0243 Seconds  TestError=0.00000095
FIRESTARTER_RANDOM: Generation=19  Seed=18  Result=0.00140131  Average=0.00136922  Best=0.00042081  BestSeed=16  Time=0.6079 Seconds  Run Time=18.5300 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=20  Seed=19  Result=0.00088188  Average=0.00134485  Best=0.00042081  BestSeed=16  Time=0.5873 Seconds  Run Time=18.7258 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=21  Seed=20  Result=0.00075924  Average=0.00131696  Best=0.00042081  BestSeed=16  Time=0.5791 Seconds  Run Time=19.1413 Seconds  TestError=0.00000095
FIRESTARTER_RANDOM: Generation=22  Seed=21  Result=0.00311528  Average=0.00139871  Best=0.00042081  BestSeed=16  Time=0.5671 Seconds  Run Time=19.4566 Seconds  TestError=0.00000107
FIRESTARTER_RANDOM: Generation=23  Seed=22  Result=0.00133135  Average=0.00139578  Best=0.00042081  BestSeed=16  Time=0.5553 Seconds  Run Time=19.7533 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=24  Seed=23  Result=0.00239747  Average=0.00143751  Best=0.00042081  BestSeed=16  Time=0.5503 Seconds  Run Time=20.1869 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=25  Seed=25  Result=0.10327643  Average=0.00551107  Best=0.00042081  BestSeed=16  Time=0.5299 Seconds  Run Time=20.2288 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=26  Seed=26  Result=0.00036323  Average=0.00531308  Best=0.00036323  BestSeed=26  Time=0.5328 Seconds  Run Time=20.8598 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=27  Seed=24  Result=0.00035234  Average=0.00512935  Best=0.00035234  BestSeed=24  Time=0.5187 Seconds  Run Time=21.0161 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=28  Seed=27  Result=0.00450611  Average=0.00510709  Best=0.00035234  BestSeed=24  Time=0.5129 Seconds  Run Time=21.3418 Seconds  TestError=0.00000028
FIRESTARTER_RANDOM: Generation=29  Seed=28  Result=0.00341734  Average=0.00504882  Best=0.00035234  BestSeed=24  Time=0.5101 Seconds  Run Time=21.7741 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=30  Seed=29  Result=1.48324537  Average=0.05432204  Best=0.00035234  BestSeed=24  Time=0.4955 Seconds  Run Time=21.8468 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=31  Seed=31  Result=0.01992865  Average=0.05321258  Best=0.00035234  BestSeed=24  Time=0.4950 Seconds  Run Time=22.3255 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=32  Seed=30  Result=0.00172052  Average=0.05160345  Best=0.00035234  BestSeed=24  Time=0.4854 Seconds  Run Time=22.5147 Seconds  TestError=0.00000023
FIRESTARTER_RANDOM: Generation=33  Seed=32  Result=0.00076741  Average=0.05006297  Best=0.00035234  BestSeed=24  Time=0.4815 Seconds  Run Time=22.8694 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=34  Seed=33  Result=0.07691443  Average=0.05085272  Best=0.00035234  BestSeed=24  Time=0.4808 Seconds  Run Time=23.3291 Seconds  TestError=0.00000010
FIRESTARTER_RANDOM: Generation=35  Seed=34  Result=0.00089765  Average=0.04942543  Best=0.00035234  BestSeed=24  Time=0.4695 Seconds  Run Time=23.4143 Seconds  TestError=0.00000104
FIRESTARTER_RANDOM: Generation=36  Seed=36  Result=0.00033138  Average=0.04806171  Best=0.00033138  BestSeed=36  Time=0.4716 Seconds  Run Time=23.9880 Seconds  TestError=0.00000212
FIRESTARTER_RANDOM: Generation=37  Seed=35  Result=1.01137149  Average=0.07409710  Best=0.00033138  BestSeed=36  Time=0.4632 Seconds  Run Time=24.1198 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=38  Seed=37  Result=1.07980418  Average=0.10056308  Best=0.00033138  BestSeed=36  Time=0.4603 Seconds  Run Time=24.4732 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=39  Seed=40  Result=0.01053727  Average=0.09825473  Best=0.00033138  BestSeed=36  Time=0.4590 Seconds  Run Time=24.8798 Seconds  TestError=0.00002456
FIRESTARTER_RANDOM: Generation=40  Seed=39  Result=0.85227418  Average=0.11710522  Best=0.00033138  BestSeed=36  Time=0.4515 Seconds  Run Time=25.0396 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=41  Seed=41  Result=0.85227418  Average=0.13503617  Best=0.00033138  BestSeed=36  Time=0.4545 Seconds  Run Time=25.6165 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=42  Seed=38  Result=0.00066326  Average=0.13183682  Best=0.00033138  BestSeed=36  Time=0.4446 Seconds  Run Time=25.6527 Seconds  TestError=0.00000143
FIRESTARTER_RANDOM: Generation=43  Seed=43  Result=0.85227418  Average=0.14859118  Best=0.00033138  BestSeed=36  Time=0.4469 Seconds  Run Time=26.1973 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=44  Seed=42  Result=0.00408900  Average=0.14530703  Best=0.00033138  BestSeed=36  Time=0.4411 Seconds  Run Time=26.3899 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=45  Seed=45  Result=0.00541484  Average=0.14219832  Best=0.00033138  BestSeed=36  Time=0.4377 Seconds  Run Time=26.6764 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=46  Seed=44  Result=0.00222595  Average=0.13915543  Best=0.00033138  BestSeed=36  Time=0.4398 Seconds  Run Time=27.2108 Seconds  TestError=0.00000030
FIRESTARTER_RANDOM: Generation=47  Seed=46  Result=0.00378454  Average=0.13627522  Best=0.00033138  BestSeed=36  Time=0.4315 Seconds  Run Time=27.2601 Seconds  TestError=0.00000048
