variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_UNIT;
units = 4;
processes = 0;
population = 69632;
iterations = 128;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 8337;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_UNIT;
units = 4;
processes = 0;
population = 69632;
iterations = 128;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 8337;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_UNIT: Generation=0  Age=0  Best=0.00002658  Time=9.4669 Seconds  Run Time=12.2793 Seconds  TestError=0.00000012
FIRESTARTER_UNIT: Generation=1  Age=0  Best=0.00001383  Time=1.3594 Seconds  Run Time=13.7035 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=2  Age=0  Best=0.00000632  Time=1.2638 Seconds  Run Time=15.0491 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=3  Age=1  Best=0.00000632  Time=1.3150 Seconds  Run Time=16.4149 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=4  Age=2  Best=0.00000632  Time=1.2591 Seconds  Run Time=17.6885 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=5  Age=3  Best=0.00000632  Time=1.3561 Seconds  Run Time=19.0989 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=6  Age=4  Best=0.00000632  Time=1.3490 Seconds  Run Time=20.5318 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=7  Age=5  Best=0.00000632  Time=1.3459 Seconds  Run Time=21.9634 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=8  Age=6  Best=0.00000632  Time=1.2954 Seconds  Run Time=23.3429 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=9  Age=7  Best=0.00000632  Time=1.2724 Seconds  Run Time=24.6541 Seconds  TestError=0.00000000
FIRESTARTER_UNIT: Generation=10  Age=8  Best=0.00000632  Time=1.2462 Seconds  Run Time=25.9628 Seconds  TestError=0.00000000
