variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=1  Seed=0  Result=0.00086337  Average=0.00086337  Best=0.00086337  BestSeed=0  Time=1.0991 Seconds  Run Time=6.5636 Seconds  TestError=0.00000018  V:0=0.00026560  V:1=0.00004596  V:2=0.00086337
FIRESTARTER_RANDOM: Generation=2  Seed=2  Result=0.00079036  Average=0.00082687  Best=0.00079036  BestSeed=2  Time=0.5646 Seconds  Run Time=6.6027 Seconds  TestError=0.00000048  V:0=0.00018215  V:1=0.00025606  V:2=0.00079036
FIRESTARTER_RANDOM: Generation=3  Seed=1  Result=0.00102531  Average=0.00089301  Best=0.00079036  BestSeed=2  Time=0.4429 Seconds  Run Time=6.7720 Seconds  TestError=8.51675415  V:0=0.00102531  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=4  Seed=4  Result=0.00127280  Average=0.00098796  Best=0.00079036  BestSeed=2  Time=0.3998 Seconds  Run Time=7.0424 Seconds  TestError=0.00000036  V:0=0.00070708  V:1=0.00061524  V:2=0.00127280
FIRESTARTER_RANDOM: Generation=5  Seed=3  Result=0.00082850  Average=0.00095607  Best=0.00079036  BestSeed=2  Time=0.3521 Seconds  Run Time=7.2039 Seconds  TestError=8.51675415  V:0=0.00082850  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=6  Seed=5  Result=0.00040603  Average=0.00086439  Best=0.00040603  BestSeed=5  Time=0.3538 Seconds  Run Time=7.5873 Seconds  TestError=0.00000495  V:0=0.00021201  V:1=0.00031805  V:2=0.00040603
FIRESTARTER_RANDOM: Generation=7  Seed=8  Result=0.00025827  Average=0.00077781  Best=0.00025827  BestSeed=8  Time=0.3152 Seconds  Run Time=7.6937 Seconds  TestError=0.00000100  V:0=0.00025633  V:1=0.00025827  V:2=0.00023599
FIRESTARTER_RANDOM: Generation=8  Seed=9  Result=0.00047520  Average=0.00073998  Best=0.00025827  BestSeed=8  Time=0.2965 Seconds  Run Time=7.8153 Seconds  TestError=8.51675415  V:0=0.00047520  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=9  Seed=7  Result=0.00061882  Average=0.00072652  Best=0.00025827  BestSeed=8  Time=0.2695 Seconds  Run Time=7.8687 Seconds  TestError=8.51675415  V:0=0.00061882  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=10  Seed=6  Result=0.00059795  Average=0.00071366  Best=0.00025827  BestSeed=8  Time=0.2523 Seconds  Run Time=7.9667 Seconds  TestError=8.51675415  V:0=0.00059795  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=11  Seed=11  Result=0.00139761  Average=0.00077584  Best=0.00025827  BestSeed=8  Time=0.2439 Seconds  Run Time=8.1261 Seconds  TestError=8.51675415  V:0=0.00139761  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=12  Seed=12  Result=0.00051140  Average=0.00075380  Best=0.00025827  BestSeed=8  Time=0.2610 Seconds  Run Time=8.5750 Seconds  TestError=0.00000011  V:0=0.00005150  V:1=0.00016439  V:2=0.00051140
FIRESTARTER_RANDOM: Generation=13  Seed=15  Result=0.00516701  Average=0.00109328  Best=0.00025827  BestSeed=8  Time=0.2532 Seconds  Run Time=8.7355 Seconds  TestError=8.51675415  V:0=0.00516701  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=14  Seed=10  Result=0.00181651  Average=0.00114494  Best=0.00025827  BestSeed=8  Time=0.2421 Seconds  Run Time=8.8329 Seconds  TestError=0.00000000  V:0=0.00022674  V:1=0.00021899  V:2=0.00181651
