variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 69632;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Seed=1  Generation=1  Age=1  Best=0.00000900  BestSeed=0  Time=1.2099 Seconds  Run Time=2.7538 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=2  Generation=2  Age=0  Best=0.00000334  BestSeed=2  Time=0.2955 Seconds  Run Time=4.7424 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=3  Generation=3  Age=0  Best=0.00000286  BestSeed=3  Time=0.2207 Seconds  Run Time=5.6321 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=4  Generation=4  Age=0  Best=0.00000197  BestSeed=4  Time=0.1776 Seconds  Run Time=6.5268 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=5  Generation=5  Age=0  Best=0.00000191  BestSeed=5  Time=0.1478 Seconds  Run Time=7.4207 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=6  Generation=6  Age=1  Best=0.00000191  BestSeed=5  Time=0.1270 Seconds  Run Time=8.3106 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=7  Generation=7  Age=2  Best=0.00000191  BestSeed=5  Time=0.1110 Seconds  Run Time=9.1993 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=8  Generation=8  Age=3  Best=0.00000191  BestSeed=5  Time=0.0985 Seconds  Run Time=10.0866 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=9  Generation=9  Age=0  Best=0.00000158  BestSeed=9  Time=0.0888 Seconds  Run Time=10.9818 Seconds  TestError=0.00000006
FIRESTARTER_OPTIMIZE: Seed=10  Generation=10  Age=0  Best=0.00000143  BestSeed=10  Time=0.0810 Seconds  Run Time=11.8802 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=11  Generation=11  Age=1  Best=0.00000143  BestSeed=10  Time=0.0742 Seconds  Run Time=12.7711 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=12  Generation=12  Age=2  Best=0.00000143  BestSeed=10  Time=0.0684 Seconds  Run Time=13.6616 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=13  Generation=13  Age=3  Best=0.00000143  BestSeed=10  Time=0.0637 Seconds  Run Time=14.5549 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=14  Generation=14  Age=4  Best=0.00000143  BestSeed=10  Time=0.0595 Seconds  Run Time=15.4475 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=15  Generation=15  Age=5  Best=0.00000143  BestSeed=10  Time=0.0556 Seconds  Run Time=16.3386 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=16  Generation=16  Age=6  Best=0.00000143  BestSeed=10  Time=0.0525 Seconds  Run Time=17.2314 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=17  Generation=17  Age=7  Best=0.00000143  BestSeed=10  Time=0.0496 Seconds  Run Time=18.1255 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=18  Generation=18  Age=8  Best=0.00000143  BestSeed=10  Time=0.0470 Seconds  Run Time=19.0195 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=19  Generation=19  Age=9  Best=0.00000143  BestSeed=10  Time=0.0446 Seconds  Run Time=19.9126 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=20  Generation=20  Age=0  Best=0.00000131  BestSeed=20  Time=0.0424 Seconds  Run Time=20.8113 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=21  Generation=21  Age=1  Best=0.00000131  BestSeed=20  Time=0.0407 Seconds  Run Time=21.7077 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=22  Generation=22  Age=2  Best=0.00000131  BestSeed=20  Time=0.0389 Seconds  Run Time=22.6035 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=23  Generation=23  Age=3  Best=0.00000131  BestSeed=20  Time=0.0372 Seconds  Run Time=23.4980 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=24  Generation=24  Age=4  Best=0.00000131  BestSeed=20  Time=0.0357 Seconds  Run Time=24.3921 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=25  Generation=25  Age=5  Best=0.00000131  BestSeed=20  Time=0.0344 Seconds  Run Time=25.2875 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=26  Generation=26  Age=6  Best=0.00000131  BestSeed=20  Time=0.0331 Seconds  Run Time=26.1825 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=27  Generation=27  Age=7  Best=0.00000131  BestSeed=20  Time=0.0319 Seconds  Run Time=27.0776 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=28  Generation=28  Age=8  Best=0.00000131  BestSeed=20  Time=0.0308 Seconds  Run Time=27.9708 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=29  Generation=29  Age=9  Best=0.00000131  BestSeed=20  Time=0.0299 Seconds  Run Time=28.8678 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=30  Generation=30  Age=10  Best=0.00000131  BestSeed=20  Time=0.0289 Seconds  Run Time=29.7638 Seconds  TestError=0.00000013
FIRESTARTER_OPTIMIZE: Seed=31  Generation=31  Age=0  Best=0.00000125  BestSeed=31  Time=0.0281 Seconds  Run Time=30.6685 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=32  Generation=32  Age=1  Best=0.00000125  BestSeed=31  Time=0.0272 Seconds  Run Time=31.5673 Seconds  TestError=0.00000012
