variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 12;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Seed=1  Generation=1  Result=0.00097457  Average=0.00097457  Best=0.00097457  BestSeed=1  Time=2.1278 Seconds  Run Time=3.9061 Seconds  TestError=0.00000012  V:0=0.00046849  V:1=0.00040257  V:2=0.00097457
FIRESTARTER_RANDOM: Seed=3  Generation=3  Result=0.00161380  Average=0.00129418  Best=0.00097457  BestSeed=1  Time=1.7479 Seconds  Run Time=3.9068 Seconds  TestError=0.00000012  V:0=0.00092405  V:1=0.00027823  V:2=0.00161380
FIRESTARTER_RANDOM: Seed=0  Generation=0  Result=0.00125349  Average=0.00128062  Best=0.00097457  BestSeed=1  Time=1.1654 Seconds  Run Time=3.9072 Seconds  TestError=10.00000000  V:0=0.00011647  V:1=0.00125349  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=2  Generation=2  Result=0.00086308  Average=0.00117623  Best=0.00086308  BestSeed=2  Time=0.8741 Seconds  Run Time=4.0297 Seconds  TestError=0.00000083  V:0=0.00041395  V:1=0.00008070  V:2=0.00086308
FIRESTARTER_RANDOM: Seed=11  Generation=11  Result=0.02856696  Average=0.00665438  Best=0.00086308  BestSeed=2  Time=0.7238 Seconds  Run Time=4.0301 Seconds  TestError=10.00000000  V:0=0.02856696  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=10  Generation=10  Result=0.00069271  Average=0.00566076  Best=0.00069271  BestSeed=10  Time=0.6033 Seconds  Run Time=4.1406 Seconds  TestError=0.00000063  V:0=0.00034102  V:1=0.00022888  V:2=0.00069271
FIRESTARTER_RANDOM: Seed=8  Generation=8  Result=0.00071478  Average=0.00495420  Best=0.00069271  BestSeed=10  Time=0.5329 Seconds  Run Time=4.1411 Seconds  TestError=10.00000000  V:0=0.00071478  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=4  Generation=4  Result=0.00616675  Average=0.00510576  Best=0.00069271  BestSeed=10  Time=0.4663 Seconds  Run Time=4.1416 Seconds  TestError=10.00000000  V:0=0.00616675  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=9  Generation=9  Result=0.09841970  Average=0.01547398  Best=0.00069271  BestSeed=10  Time=0.4146 Seconds  Run Time=4.1419 Seconds  TestError=10.00000000  V:0=0.09841970  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=5  Generation=5  Result=0.00039327  Average=0.01396591  Best=0.00039327  BestSeed=5  Time=0.3731 Seconds  Run Time=4.2495 Seconds  TestError=0.00000006  V:0=0.00031114  V:1=0.00014979  V:2=0.00039327
FIRESTARTER_RANDOM: Seed=7  Generation=7  Result=0.00266081  Average=0.01293817  Best=0.00039327  BestSeed=5  Time=0.3490 Seconds  Run Time=4.2500 Seconds  TestError=10.00000000  V:0=0.00266081  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=6  Generation=6  Result=0.00138590  Average=0.01197548  Best=0.00039327  BestSeed=5  Time=0.3199 Seconds  Run Time=4.2505 Seconds  TestError=10.00000000  V:0=0.00138590  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=13  Generation=13  Result=0.00116464  Average=0.01114388  Best=0.00039327  BestSeed=5  Time=0.2961 Seconds  Run Time=4.2601 Seconds  TestError=10.00000000  V:0=0.00116464  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=14  Generation=14  Result=0.01125300  Average=0.01115167  Best=0.00039327  BestSeed=5  Time=0.2889 Seconds  Run Time=4.4556 Seconds  TestError=10.00000000  V:0=0.01125300  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=12  Generation=12  Result=0.00089157  Average=0.01046767  Best=0.00039327  BestSeed=5  Time=0.2877 Seconds  Run Time=4.7271 Seconds  TestError=0.00000018  V:0=0.00022113  V:1=0.00024348  V:2=0.00089157
FIRESTARTER_RANDOM: Seed=18  Generation=18  Result=0.00077599  Average=0.00986194  Best=0.00039327  BestSeed=5  Time=0.2860 Seconds  Run Time=4.9869 Seconds  TestError=10.00000000  V:0=0.00077599  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=15  Generation=15  Result=0.00260520  Average=0.00943507  Best=0.00039327  BestSeed=5  Time=0.2724 Seconds  Run Time=5.0424 Seconds  TestError=0.00000060  V:0=0.00022904  V:1=0.00037968  V:2=0.00260520
FIRESTARTER_RANDOM: Seed=17  Generation=17  Result=0.00068623  Average=0.00894902  Best=0.00039327  BestSeed=5  Time=0.2681 Seconds  Run Time=5.2368 Seconds  TestError=10.00000000  V:0=0.00068623  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=23  Generation=23  Result=0.97492790  Average=0.05979002  Best=0.00039327  BestSeed=5  Time=0.2540 Seconds  Run Time=5.2378 Seconds  TestError=10.00000000  V:0=0.97492790  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=19  Generation=19  Result=0.00756872  Average=0.05717895  Best=0.00039327  BestSeed=5  Time=0.2539 Seconds  Run Time=5.4890 Seconds  TestError=10.00000000  V:0=0.00756872  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=20  Generation=20  Result=0.09841883  Average=0.05914276  Best=0.00039327  BestSeed=5  Time=0.2498 Seconds  Run Time=5.6560 Seconds  TestError=10.00000000  V:0=0.09841883  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=16  Generation=16  Result=0.00040662  Average=0.05647293  Best=0.00039327  BestSeed=5  Time=0.2406 Seconds  Run Time=5.7038 Seconds  TestError=0.00000010  V:0=0.00033402  V:1=0.00008942  V:2=0.00040662
FIRESTARTER_RANDOM: Seed=21  Generation=21  Result=0.00061786  Average=0.05404445  Best=0.00039327  BestSeed=5  Time=0.2416 Seconds  Run Time=5.9675 Seconds  TestError=10.00000000  V:0=0.00009030  V:1=0.00061786  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=24  Generation=24  Result=0.00050104  Average=0.05181347  Best=0.00039327  BestSeed=5  Time=0.2445 Seconds  Run Time=6.2798 Seconds  TestError=10.00000000  V:0=0.00036966  V:1=0.00050104  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=22  Generation=22  Result=0.00042954  Average=0.04975812  Best=0.00039327  BestSeed=5  Time=0.2400 Seconds  Run Time=6.4112 Seconds  TestError=0.00000048  V:0=0.00019872  V:1=0.00007939  V:2=0.00042954
FIRESTARTER_RANDOM: Seed=26  Generation=26  Result=0.09841896  Average=0.05162969  Best=0.00039327  BestSeed=5  Time=0.2332 Seconds  Run Time=6.4747 Seconds  TestError=10.00000000  V:0=0.09841896  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=25  Generation=25  Result=0.00572723  Average=0.04992960  Best=0.00039327  BestSeed=5  Time=0.2280 Seconds  Run Time=6.5662 Seconds  TestError=10.00000000  V:0=0.00572723  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=29  Generation=29  Result=0.00320879  Average=0.04826100  Best=0.00039327  BestSeed=5  Time=0.2219 Seconds  Run Time=6.6250 Seconds  TestError=10.00000000  V:0=0.00320879  V:1=10.00000000  V:2=10.00000000
