variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_EVOLVE;
units = 10;
processes = 16;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00555515  BestSeed=0  Time=0.0000 Seconds  Run Time=16.0651 Seconds  TestError=0.00000250
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00097457  BestSeed=1  Time=0.0000 Seconds  Run Time=16.2490 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00086308  BestSeed=2  Time=0.0000 Seconds  Run Time=16.3673 Seconds  TestError=0.00000083
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00086308  BestSeed=2  Time=0.0000 Seconds  Run Time=16.3677 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00086308  BestSeed=2  Time=0.0000 Seconds  Run Time=16.3681 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=0.0000 Seconds  Run Time=16.4769 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=0.0000 Seconds  Run Time=16.4773 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=0.0000 Seconds  Run Time=16.4777 Seconds  TestError=0.00000089
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=0.0000 Seconds  Run Time=16.4781 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=0.0000 Seconds  Run Time=16.4784 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=1.7969 Seconds  Run Time=20.3769 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=1.7969 Seconds  Run Time=20.3772 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4862 Seconds  TestError=0.00000083
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4865 Seconds  TestError=0.00000042
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4868 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4870 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4873 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4876 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4879 Seconds  TestError=0.00000030
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=0  Best=0.00024478  BestSeed=3  Time=1.7969 Seconds  Run Time=20.4881 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=1  Best=0.00024478  BestSeed=3  Time=0.2783 Seconds  Run Time=23.1599 Seconds  TestError=0.00000048
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=1  Best=0.00024478  BestSeed=3  Time=0.2783 Seconds  Run Time=23.1602 Seconds  TestError=0.00000030
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=1  Best=0.00024478  BestSeed=3  Time=0.2783 Seconds  Run Time=23.1605 Seconds  TestError=0.00000024
