variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 139264;
iterations = 256;
candidates = 16;
generations = 50;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 2.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Test=0  Generation=0  Age=0  Best=0.00001323  BestSeed=0  Time=0.0000 Seconds  Run Time=1.9378 Seconds  TestError=0.00000066
FIRESTARTER_OPTIMIZE: Test=0  Generation=1  Age=0  Best=0.00000471  BestSeed=1  Time=3.0376 Seconds  Run Time=3.0376 Seconds  TestError=0.00000030
FIRESTARTER_OPTIMIZE: Test=0  Generation=2  Age=0  Best=0.00000417  BestSeed=2  Time=0.4456 Seconds  Run Time=3.4832 Seconds  TestError=0.00000089
FIRESTARTER_OPTIMIZE: Test=0  Generation=3  Age=0  Best=0.00000310  BestSeed=3  Time=0.4465 Seconds  Run Time=3.9297 Seconds  TestError=0.00000054
FIRESTARTER_OPTIMIZE: Test=0  Generation=4  Age=0  Best=0.00000238  BestSeed=4  Time=0.4492 Seconds  Run Time=4.3788 Seconds  TestError=0.00000101
FIRESTARTER_OPTIMIZE: Test=0  Generation=5  Age=0  Best=0.00000203  BestSeed=5  Time=0.4477 Seconds  Run Time=4.8265 Seconds  TestError=0.00000077
FIRESTARTER_OPTIMIZE: Test=0  Generation=6  Age=0  Best=0.00000173  BestSeed=6  Time=0.4478 Seconds  Run Time=5.2743 Seconds  TestError=0.00000030
FIRESTARTER_OPTIMIZE: Test=0  Generation=7  Age=0  Best=0.00000161  BestSeed=7  Time=0.4488 Seconds  Run Time=5.7231 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Test=0  Generation=8  Age=0  Best=0.00000158  BestSeed=8  Time=0.4482 Seconds  Run Time=6.1713 Seconds  TestError=0.00000092
FIRESTARTER_OPTIMIZE: Test=0  Generation=9  Age=0  Best=0.00000155  BestSeed=9  Time=0.4481 Seconds  Run Time=6.6194 Seconds  TestError=0.00000173
FIRESTARTER_OPTIMIZE: Test=0  Generation=10  Age=1  Best=0.00000155  BestSeed=9  Time=0.4480 Seconds  Run Time=7.0674 Seconds  TestError=0.00000077
FIRESTARTER_OPTIMIZE: Test=0  Generation=11  Age=0  Best=0.00000149  BestSeed=11  Time=0.4408 Seconds  Run Time=7.5082 Seconds  TestError=0.00000155
FIRESTARTER_OPTIMIZE: Test=0  Generation=12  Age=0  Best=0.00000146  BestSeed=12  Time=0.4474 Seconds  Run Time=7.9557 Seconds  TestError=0.00000146
FIRESTARTER_OPTIMIZE: Test=0  Generation=13  Age=0  Best=0.00000137  BestSeed=13  Time=0.4486 Seconds  Run Time=8.4042 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=14  Age=1  Best=0.00000137  BestSeed=13  Time=0.4489 Seconds  Run Time=8.8532 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=15  Age=2  Best=0.00000137  BestSeed=13  Time=0.4410 Seconds  Run Time=9.2941 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=16  Age=3  Best=0.00000137  BestSeed=13  Time=0.4413 Seconds  Run Time=9.7354 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=17  Age=4  Best=0.00000137  BestSeed=13  Time=0.4417 Seconds  Run Time=10.1771 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=18  Age=5  Best=0.00000137  BestSeed=13  Time=0.4404 Seconds  Run Time=10.6175 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=19  Age=6  Best=0.00000137  BestSeed=13  Time=0.4410 Seconds  Run Time=11.0585 Seconds  TestError=0.00000167
FIRESTARTER_OPTIMIZE: Test=0  Generation=20  Age=7  Best=0.00000137  BestSeed=13  Time=0.4409 Seconds  Run Time=11.4994 Seconds  TestError=0.00000149
FIRESTARTER_OPTIMIZE: Test=0  Generation=21  Age=8  Best=0.00000137  BestSeed=13  Time=0.4406 Seconds  Run Time=11.9400 Seconds  TestError=0.00000167
FIRESTARTER_OPTIMIZE: Test=0  Generation=22  Age=9  Best=0.00000137  BestSeed=13  Time=0.4415 Seconds  Run Time=12.3816 Seconds  TestError=0.00000155
FIRESTARTER_OPTIMIZE: Test=0  Generation=23  Age=10  Best=0.00000137  BestSeed=13  Time=0.4429 Seconds  Run Time=12.8245 Seconds  TestError=0.00000167
FIRESTARTER_OPTIMIZE: Test=0  Generation=24  Age=11  Best=0.00000137  BestSeed=13  Time=0.4417 Seconds  Run Time=13.2662 Seconds  TestError=0.00000167
FIRESTARTER_OPTIMIZE: Test=0  Generation=25  Age=12  Best=0.00000137  BestSeed=13  Time=0.4424 Seconds  Run Time=13.7087 Seconds  TestError=0.00000155
