CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=0  Age=0 *Result=0.00002384  Best=0.00002384  BestGen=0  Time=0.0000 Seconds  Run Time=1.7313 Seconds  TestError=0.00000095
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=1  Age=0 *Result=0.00000238  Best=0.00000238  BestGen=1  Time=2.8279 Seconds  Run Time=2.8279 Seconds  TestError=0.00000057
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=2  Age=0 *Result=0.00000167  Best=0.00000167  BestGen=2  Time=0.3019 Seconds  Run Time=3.1298 Seconds  TestError=0.00000031
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=3  Age=0 *Result=0.00000131  Best=0.00000131  BestGen=3  Time=0.3010 Seconds  Run Time=3.4308 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=4  Age=0 *Result=0.00000095  Best=0.00000095  BestGen=4  Time=0.3009 Seconds  Run Time=3.7316 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=5  Age=0 *Result=0.00000075  Best=0.00000075  BestGen=5  Time=0.2997 Seconds  Run Time=4.0313 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=6  Age=0 *Result=0.00000072  Best=0.00000072  BestGen=6  Time=0.3003 Seconds  Run Time=4.3316 Seconds  TestError=0.00000066
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=7  Age=1  Result=0.00000072  Best=0.00000072  BestGen=6  Time=0.1053 Seconds  Run Time=4.4369 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=8  Age=2  Result=0.00000072  Best=0.00000072  BestGen=6  Time=0.1001 Seconds  Run Time=4.5370 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=9  Age=0 *Result=0.00000066  Best=0.00000066  BestGen=9  Time=0.2948 Seconds  Run Time=4.8319 Seconds  TestError=0.00000089
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=10  Age=1  Result=0.00000066  Best=0.00000066  BestGen=9  Time=0.1030 Seconds  Run Time=4.9349 Seconds  TestError=0.00000054
