CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Generation: 119  Best Generation: 119  Result=0.00000656  Seed=     119  ResultHash=6523  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 120  Best Generation: 120  Result=0.00000453  Seed=     120  ResultHash=1E98  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 121  Best Generation: 121  Result=0.00000411  Seed=     121  ResultHash=E0D0  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 122  Best Generation: 122  Result=0.00000405  Seed=     122  ResultHash=95DD  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 123  Best Generation: 123  Result=0.00000393  Seed=     123  ResultHash=BE3B  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 124  Best Generation: 123  Result=0.00000393  Seed=     124  ResultHash=52E1  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 125  Best Generation: 123  Result=0.00000393  Seed=     125  ResultHash=4C48  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 126  Best Generation: 123  Result=0.00000393  Seed=     126  ResultHash=62AE  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 127  Best Generation: 123  Result=0.00000393  Seed=     127  ResultHash=6F8D  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 128  Best Generation: 128  Result=0.00000381  Seed=     128  ResultHash=A9B9  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 129  Best Generation: 129  Result=0.00000316  Seed=     129  ResultHash=C889  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 130  Best Generation: 129  Result=0.00000316  Seed=     130  ResultHash=AA42  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 131  Best Generation: 129  Result=0.00000316  Seed=     131  ResultHash=98E9  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 132  Best Generation: 132  Result=0.00000298  Seed=     132  ResultHash=101A  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 133  Best Generation: 132  Result=0.00000298  Seed=     133  ResultHash=8FAD  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 134  Best Generation: 132  Result=0.00000298  Seed=     134  ResultHash=62EE  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 135  Best Generation: 132  Result=0.00000298  Seed=     135  ResultHash=3920  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 136  Best Generation: 132  Result=0.00000298  Seed=     136  ResultHash=F507  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 137  Best Generation: 132  Result=0.00000298  Seed=     137  ResultHash=2E4F  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 138  Best Generation: 132  Result=0.00000298  Seed=     138  ResultHash=7FFD  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 139  Best Generation: 132  Result=0.00000298  Seed=     139  ResultHash=8999  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 140  Best Generation: 132  Result=0.00000298  Seed=     140  ResultHash=9BE4  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 141  Best Generation: 132  Result=0.00000298  Seed=     141  ResultHash=8380  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 142  Best Generation: 132  Result=0.00000298  Seed=     142  ResultHash=EB19  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 143  Best Generation: 143  Result=0.00000286  Seed=     143  ResultHash=0C39  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 144  Best Generation: 144  Result=0.00000280  Seed=     144  ResultHash=0E46  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 145  Best Generation: 145  Result=0.00000274  Seed=     145  ResultHash=2DE9  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 146  Best Generation: 145  Result=0.00000274  Seed=     146  ResultHash=DD8A  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 147  Best Generation: 145  Result=0.00000274  Seed=     147  ResultHash=CA71  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 148  Best Generation: 145  Result=0.00000274  Seed=     148  ResultHash=FFF3  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 149  Best Generation: 149  Result=0.00000197  Seed=     149  ResultHash=7E20  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 150  Best Generation: 149  Result=0.00000197  Seed=     150  ResultHash=2B5C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 151  Best Generation: 149  Result=0.00000197  Seed=     151  ResultHash=C917  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 152  Best Generation: 149  Result=0.00000197  Seed=     152  ResultHash=34AD  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 153  Best Generation: 149  Result=0.00000197  Seed=     153  ResultHash=0DBB  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 154  Best Generation: 149  Result=0.00000197  Seed=     154  ResultHash=5799  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 155  Best Generation: 149  Result=0.00000197  Seed=     155  ResultHash=47A8  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 156  Best Generation: 149  Result=0.00000197  Seed=     156  ResultHash=89A2  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 157  Best Generation: 149  Result=0.00000197  Seed=     157  ResultHash=BA1E  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 158  Best Generation: 158  Result=0.00000167  Seed=     158  ResultHash=C371  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 159  Best Generation: 159  Result=0.00000143  Seed=     159  ResultHash=A91C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 160  Best Generation: 160  Result=0.00000140  Seed=     160  ResultHash=9A0D  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 161  Best Generation: 160  Result=0.00000140  Seed=     161  ResultHash=282B  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 162  Best Generation: 162  Result=0.00000119  Seed=     162  ResultHash=0498  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 163  Best Generation: 162  Result=0.00000119  Seed=     163  ResultHash=1532  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 164  Best Generation: 164  Result=0.00000083  Seed=     164  ResultHash=E60C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 165  Best Generation: 165  Result=0.00000072  Seed=     165  ResultHash=7C8F  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 166  Best Generation: 165  Result=0.00000072  Seed=     166  ResultHash=FB96  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 167  Best Generation: 165  Result=0.00000072  Seed=     167  ResultHash=A3EE  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 168  Best Generation: 165  Result=0.00000072  Seed=     168  ResultHash=2103  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 169  Best Generation: 169  Result=0.00000072  Seed=     169  ResultHash=F2FA  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 170  Best Generation: 169  Result=0.00000072  Seed=     170  ResultHash=3C21  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 171  Best Generation: 169  Result=0.00000072  Seed=     171  ResultHash=1FA9  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 172  Best Generation: 169  Result=0.00000072  Seed=     172  ResultHash=2106  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 173  Best Generation: 169  Result=0.00000072  Seed=     173  ResultHash=3F0D  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 174  Best Generation: 169  Result=0.00000072  Seed=     174  ResultHash=CE49  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 175  Best Generation: 169  Result=0.00000072  Seed=     175  ResultHash=869F  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 176  Best Generation: 169  Result=0.00000072  Seed=     176  ResultHash=D26D  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 177  Best Generation: 169  Result=0.00000072  Seed=     177  ResultHash=2106  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 178  Best Generation: 169  Result=0.00000072  Seed=     178  ResultHash=A9D9  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 179  Best Generation: 169  Result=0.00000072  Seed=     179  ResultHash=A731  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 180  Best Generation: 180  Result=0.00000060  Seed=     180  ResultHash=25B8  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 181  Best Generation: 180  Result=0.00000060  Seed=     181  ResultHash=F870  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 182  Best Generation: 180  Result=0.00000060  Seed=     182  ResultHash=9D0C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 183  Best Generation: 180  Result=0.00000060  Seed=     183  ResultHash=F11A  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 184  Best Generation: 180  Result=0.00000060  Seed=     184  ResultHash=34BE  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 185  Best Generation: 180  Result=0.00000060  Seed=     185  ResultHash=090A  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 186  Best Generation: 180  Result=0.00000060  Seed=     186  ResultHash=E415  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 187  Best Generation: 180  Result=0.00000060  Seed=     187  ResultHash=F590  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 188  Best Generation: 180  Result=0.00000060  Seed=     188  ResultHash=ADAB  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 189  Best Generation: 180  Result=0.00000060  Seed=     189  ResultHash=114E  ProgramHash=5F34
