CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Generation=0  Age=0 *Result=0.00130571  Best=0.00130571  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=1.6704 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Generation=1  Age=0 *Result=0.00050795  Best=0.00050795  BestSeed=0  BestGen=1  Time=1.7637 Seconds  Run Time=3.4341 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=2  Age=1  Result=0.00126064  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3690 Seconds  Run Time=3.8031 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=3  Age=2  Result=0.00106573  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3633 Seconds  Run Time=4.1664 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=4  Age=3  Result=0.00099097  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3604 Seconds  Run Time=4.5268 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=5  Age=4  Result=0.00062478  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3704 Seconds  Run Time=4.8972 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=6  Age=5  Result=0.00148991  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3576 Seconds  Run Time=5.2548 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=7  Age=6  Result=0.00139210  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3698 Seconds  Run Time=5.6246 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=8  Age=7  Result=0.00114119  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3621 Seconds  Run Time=5.9867 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=9  Age=8  Result=0.00106615  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3612 Seconds  Run Time=6.3478 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=10  Age=9  Result=0.00101427  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3576 Seconds  Run Time=6.7054 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=11  Age=10  Result=0.00153172  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3563 Seconds  Run Time=7.0617 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=12  Age=11  Result=0.00133443  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3611 Seconds  Run Time=7.4228 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=13  Age=12  Result=0.00074953  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.5486 Seconds  Run Time=7.9713 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=14  Age=13  Result=0.00076944  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.5434 Seconds  Run Time=8.5148 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=15  Age=14  Result=0.00101745  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3584 Seconds  Run Time=8.8731 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=16  Age=15  Result=0.00076407  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3569 Seconds  Run Time=9.2300 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=17  Age=16  Result=0.00065821  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3585 Seconds  Run Time=9.5885 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=18  Age=17  Result=0.00071239  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3532 Seconds  Run Time=9.9417 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=19  Age=18  Result=0.00153470  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3547 Seconds  Run Time=10.2965 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=20  Age=19  Result=0.00081754  Best=0.00050795  BestSeed=0  BestGen=1  Time=0.3567 Seconds  Run Time=10.6532 Seconds  TestError=0.00000012
