CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 32

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_RANDOM
units = 8
processes = 16
iterations = 256
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 2
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_RANDOM: Seed=2  Generation=0  Result=0.02716893  Average=0.02716893  Best=0.02716893  BestSeed=2  Time=11.4186 Seconds  Run Time=11.4186 Seconds  TestError=0.00000173  V:0=0.00006254  V:1=0.01151073  V:2=0.02716893
FIRESTARTER_RANDOM: Seed=13  Generation=0  Result=0.00378484  Average=0.01547688  Best=0.00378484  BestSeed=13  Time=0.2781 Seconds  Run Time=11.6967 Seconds  TestError=0.00000026  V:0=0.00130169  V:1=0.00121629  V:2=0.00378484
FIRESTARTER_RANDOM: Seed=7  Generation=0  Result=0.04545259  Average=0.02546878  Best=0.00378484  BestSeed=13  Time=0.1878 Seconds  Run Time=11.7040 Seconds  TestError=0.00000026  V:0=0.01993057  V:1=0.00080508  V:2=0.04545259
FIRESTARTER_RANDOM: Seed=0  Generation=0  Result=0.01214314  Average=0.02213737  Best=0.00378484  BestSeed=13  Time=0.1410 Seconds  Run Time=11.7046 Seconds  TestError=0.00000026  V:0=0.00496435  V:1=0.00037754  V:2=0.01214314
FIRESTARTER_RANDOM: Seed=1  Generation=0  Result=0.05170757  Average=0.02805141  Best=0.00378484  BestSeed=13  Time=0.1129 Seconds  Run Time=11.7050 Seconds  TestError=0.00000026  V:0=0.00400761  V:1=0.00375873  V:2=0.05170757
FIRESTARTER_RANDOM: Seed=15  Generation=0  Result=0.00135991  Average=0.02360283  Best=0.00135991  BestSeed=15  Time=0.1019 Seconds  Run Time=11.7521 Seconds  TestError=0.00000006  V:0=0.00135991  V:1=0.00043035  V:2=0.00094026
FIRESTARTER_RANDOM: Seed=9  Generation=0  Result=0.00499740  Average=0.02094491  Best=0.00135991  BestSeed=15  Time=0.0892 Seconds  Run Time=11.7650 Seconds  TestError=0.00000006  V:0=0.00097227  V:1=0.00143123  V:2=0.00499740
FIRESTARTER_RANDOM: Seed=4  Generation=0  Result=0.01047134  Average=0.01963571  Best=0.00135991  BestSeed=15  Time=0.0781 Seconds  Run Time=11.7654 Seconds  TestError=0.00000006  V:0=0.00233193  V:1=0.01047134  V:2=0.01000142
FIRESTARTER_RANDOM: Seed=8  Generation=0  Result=0.97492790  Average=0.12577929  Best=0.00135991  BestSeed=15  Time=0.1386 Seconds  Run Time=12.3880 Seconds  TestError=0.00000006  V:0=0.97492790  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=6  Generation=0  Result=0.01402771  Average=0.11460413  Best=0.00135991  BestSeed=15  Time=0.1550 Seconds  Run Time=12.6903 Seconds  TestError=0.00000006  V:0=0.01402771  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=14  Generation=0  Result=0.01470506  Average=0.10552240  Best=0.00135991  BestSeed=15  Time=0.1577 Seconds  Run Time=12.8750 Seconds  TestError=0.00000006  V:0=0.01470506  V:1=10.00000000  V:2=10.00000000
