CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 32

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_RANDOM
tests = 11000
units = 8
processes = 16
iterations = 256
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 2
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_RANDOM: Seed=2  Generation=0  Result=0.02716893  Average=0.02716893  Best=0.02716893  BestSeed=2  Time=9.9230 Seconds  Run Time=9.9230 Seconds  TestError=0.00000173  V:0=0.00006254  V:1=0.01151073  V:2=0.02716893
FIRESTARTER_RANDOM: Seed=13  Generation=0  Result=0.00378484  Average=0.01547688  Best=0.00378484  BestSeed=13  Time=0.1935 Seconds  Run Time=10.1165 Seconds  TestError=0.00000026  V:0=0.00130169  V:1=0.00121629  V:2=0.00378484
FIRESTARTER_RANDOM: Seed=7  Generation=0  Result=0.04545259  Average=0.02546878  Best=0.00378484  BestSeed=13  Time=0.1338 Seconds  Run Time=10.1307 Seconds  TestError=0.00000026  V:0=0.01993057  V:1=0.00080508  V:2=0.04545259
FIRESTARTER_RANDOM: Seed=9  Generation=0  Result=0.00499740  Average=0.02035094  Best=0.00378484  BestSeed=13  Time=0.1004 Seconds  Run Time=10.1311 Seconds  TestError=0.00000026  V:0=0.00097227  V:1=0.00143123  V:2=0.00499740
FIRESTARTER_RANDOM: Seed=14  Generation=0  Result=0.17130744  Average=0.05054224  Best=0.00378484  BestSeed=13  Time=0.0804 Seconds  Run Time=10.1314 Seconds  TestError=0.00000026  V:0=0.01470506  V:1=0.00340909  V:2=0.17130744
FIRESTARTER_RANDOM: Seed=6  Generation=0  Result=0.04614808  Average=0.04980988  Best=0.00378484  BestSeed=13  Time=0.0670 Seconds  Run Time=10.1317 Seconds  TestError=0.00000026  V:0=0.01402771  V:1=0.02525699  V:2=0.04614808
FIRESTARTER_RANDOM: Seed=5  Generation=0  Result=0.00476611  Average=0.04337506  Best=0.00378484  BestSeed=13  Time=0.0575 Seconds  Run Time=10.1320 Seconds  TestError=0.00000026  V:0=0.00029278  V:1=0.00015020  V:2=0.00476611
FIRESTARTER_RANDOM: Seed=15  Generation=0  Result=0.00135991  Average=0.03812316  Best=0.00135991  BestSeed=15  Time=0.0620 Seconds  Run Time=10.2253 Seconds  TestError=0.00000006  V:0=0.00135991  V:1=0.00043035  V:2=0.00094026
FIRESTARTER_RANDOM: Seed=8  Generation=0  Result=0.97492790  Average=0.14221258  Best=0.00135991  BestSeed=15  Time=0.0978 Seconds  Run Time=10.6094 Seconds  TestError=0.00000006  V:0=0.97492790  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=1  Generation=0  Result=0.00400761  Average=0.12839208  Best=0.00135991  BestSeed=15  Time=0.1529 Seconds  Run Time=11.2583 Seconds  TestError=0.00000006  V:0=0.00400761  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=0  Generation=0  Result=0.00496435  Average=0.11717138  Best=0.00135991  BestSeed=15  Time=0.1469 Seconds  Run Time=11.3458 Seconds  TestError=0.00000006  V:0=0.00496435  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=4  Generation=0  Result=0.00233193  Average=0.10760142  Best=0.00135991  BestSeed=15  Time=0.1369 Seconds  Run Time=11.3727 Seconds  TestError=0.00000006  V:0=0.00233193  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=12  Generation=0  Result=0.00164664  Average=0.09945106  Best=0.00135991  BestSeed=15  Time=0.1295 Seconds  Run Time=11.4134 Seconds  TestError=0.00000006  V:0=0.00164664  V:1=10.00000000  V:2=10.00000000
