Seed=6  Random Result=2.20735860
Seed=0  Random Result=1.82481635
Seed=5  Random Result=1.82481635
Seed=4  Random Result=2.20769382
Seed=1  Random Result=1.82481635
Seed=7  Random Result=1.82481635
Seed=3  Random Result=1.82481635
Seed=2  Random Result=0.00033659
Seed=8  Random Result=1.82481635
Seed=9  Random Result=1.82481635
Seed=10  Random Result=1.82481635
Seed=12  Random Result=1.82481635
Seed=11  Random Result=1.82481635
Seed=13  Random Result=1.82481635
Seed=14  Random Result=1.82481635
Seed=15  Random Result=0.50445515
Seed=16  Random Result=1.82481635
Seed=18  Random Result=1.82481635
Seed=17  Random Result=1.82481635
Seed=20  Random Result=1.82481635
Seed=19  Random Result=1.82481635
Seed=21  Random Result=1.82481635
Seed=22  Random Result=1.82481635
Seed=23  Random Result=0.28227282
Seed=24  Random Result=2.20599031
Seed=25  Random Result=1.82481635
Seed=27  Random Result=1.82481635
Seed=28  Random Result=1.82481635
Seed=26  Random Result=1.82481635
Seed=30  Random Result=1.82481635
Seed=29  Random Result=1.82481635
Seed=32  Random Result=2.20769382
Seed=31  Random Result=0.00345868
Seed=33  Random Result=1.82481635
Seed=36  Random Result=1.82481635
Seed=35  Random Result=1.90276933
Seed=34  Random Result=1.82481635
Seed=37  Random Result=1.82481635
Seed=38  Random Result=1.82481635
Seed=39  Random Result=2.20769382
Seed=41  Random Result=2.20769382
Seed=43  Random Result=1.82481635
Seed=42  Random Result=2.20769382
Seed=45  Random Result=2.20769382
Seed=44  Random Result=1.82481635
Seed=46  Random Result=2.20769382
Seed=40  Random Result=0.21209912
Seed=47  Random Result=1.82481635
Seed=48  Random Result=1.82481635
Seed=49  Random Result=1.82481635
Seed=50  Random Result=1.98457491
Seed=51  Random Result=1.82481635
Seed=52  Random Result=2.20769382
Seed=53  Random Result=1.82481635
Seed=54  Random Result=0.85227418
Seed=55  Random Result=1.82481635
Seed=56  Random Result=1.98457491
Seed=57  Random Result=1.82481635
Seed=58  Random Result=1.90276933
Seed=59  Random Result=1.82481635
Seed=60  Random Result=1.82481635
Seed=61  Random Result=1.82481635
Seed=62  Random Result=1.24038529
Seed=63  Random Result=1.82481635
Seed=64  Random Result=1.82481635
Seed=65  Random Result=1.82481635
Seed=67  Random Result=1.82481635
Seed=66  Random Result=1.82481635
Seed=68  Random Result=2.20769382
Seed=69  Random Result=1.82481635
Seed=70  Random Result=0.00601201
Seed=71  Random Result=1.82481635
Seed=72  Random Result=1.82481635
Seed=73  Random Result=1.82481635
Seed=75  Random Result=1.82481635
Seed=74  Random Result=1.82481635
Seed=76  Random Result=1.82481635
Seed=77  Random Result=1.82481635
Seed=79  Random Result=1.82481635
Seed=80  Random Result=1.82481635
Seed=81  Random Result=1.82481635
Seed=78  Random Result=0.00327027
Seed=82  Random Result=2.20769382
Seed=83  Random Result=2.20769382
Seed=84  Random Result=1.82481635
Seed=85  Random Result=1.82481635
Seed=86  Random Result=1.82481635
Seed=87  Random Result=2.20769382
Seed=88  Random Result=2.20769382
Seed=90  Random Result=2.17750573
Seed=91  Random Result=1.82481635
Seed=92  Random Result=1.82481635
Seed=89  Random Result=0.01928145
Seed=93  Random Result=1.90276933
Seed=94  Random Result=10.00000000
Seed=95  Random Result=10.00000000
Seed=96  Random Result=10.00000000
Seed=97  Random Result=10.00000000
Seed=98  Random Result=10.00000000
Seed=99  Random Result=10.00000000
Seed=101  Random Result=10.00000000
Seed=100  Random Result=10.00000000
