Test: 0  Generation=60  Evolve Result=0.00870979  Optimize Result=0.00000029  Duration: 24.4  Total: 24.4  Average: 24.4 *******
Test: 1  Generation=2  Evolve Result=0.00128365  Optimize Result=0.00000019  Duration: 0.7  Total: 25.1  Average: 12.5 *******
Test: 2  Generation=3  Evolve Result=0.00388369  Optimize Result=0.00000031  Duration: 1.0  Total: 26.1  Average: 8.7 *******
Test: 3  Generation=25  Evolve Result=0.00563839  Optimize Result=0.00000012  Duration: 8.8  Total: 34.9  Average: 8.7 *******
Test: 4  Generation=7  Evolve Result=0.00309658  Optimize Result=0.00000057  Duration: 2.3  Total: 37.2  Average: 7.4 *******
Test: 5  Generation=24  Evolve Result=0.00672121  Optimize Result=0.00000019  Duration: 7.9  Total: 45.1  Average: 7.5 *******
Test: 6  Generation=18  Evolve Result=0.00365621  Optimize Result=0.00000033  Duration: 6.2  Total: 51.3  Average: 7.3 *******
Test: 7  Generation=5  Evolve Result=0.00538185  Optimize Result=0.00000083  Duration: 1.5  Total: 52.8  Average: 6.6 *******
Test: 8  Generation=44  Evolve Result=0.00666690  Optimize Result=0.00000021  Duration: 16.2  Total: 69.0  Average: 7.7 *******
Test: 9  Generation=7  Evolve Result=0.00640744  Optimize Result=0.00000100  Duration: 2.1  Total: 71.1  Average: 7.1 *******
Test: 10  Generation=56  Evolve Result=0.00664330  Optimize Result=0.00000100  Duration: 20.0  Total: 91.1  Average: 8.3 *******
Test: 11  Generation=10  Evolve Result=0.00684324  Optimize Result=0.00000017  Duration: 3.5  Total: 94.6  Average: 7.9 *******
Test: 12  Generation=15  Evolve Result=0.00712794  Optimize Result=0.00000011  Duration: 5.1  Total: 99.7  Average: 7.7 *******
Test: 13  Generation=37  Evolve Result=0.00932842  Optimize Result=0.00000078  Duration: 13.5  Total: 113.2  Average: 8.1 *******
Test: 14  Generation=8  Evolve Result=0.00415611  Optimize Result=0.00000008  Duration: 2.5  Total: 115.7  Average: 7.7 *******
Test: 15  Generation=6  Evolve Result=0.00098318  Optimize Result=0.00000018  Duration: 2.1  Total: 117.8  Average: 7.4 *******
