CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
instructions = 32
registers = 30
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_OPTIMIZE
evolveSeed = 0
optimizeSeed = 0
tests = 256
streams = 1
units = 1
states = 1
generations = 0
population = 65536
passes = 384
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  2 *Result=0.00026601  Best=0.00026601   Time=0.2  Run Time=514.3
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  3 *Result=0.00001500  Best=0.00001500   Time=0.1  Run Time=514.8
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  4  Result=0.00162307  Best=0.00001500   Time=0.1  Run Time=515.2
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  5  Result=0.00005451  Best=0.00001500   Time=0.1  Run Time=515.6
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  6  Result=0.00009079  Best=0.00001500   Time=0.1  Run Time=516.1
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  7  Result=0.00003317  Best=0.00001500   Time=0.1  Run Time=516.5
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  8 *Result=0.00000144  Best=0.00000144   Time=0.1  Run Time=517.0
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation=  9  Result=0.00005412  Best=0.00000144   Time=0.1  Run Time=517.4
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 10  Result=0.00021744  Best=0.00000144   Time=0.1  Run Time=517.9
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 11  Result=0.00007750  Best=0.00000144   Time=0.1  Run Time=518.3
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 12  Result=0.00018451  Best=0.00000144   Time=0.1  Run Time=518.8
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 13  Result=0.00007923  Best=0.00000144   Time=0.1  Run Time=519.2
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 14  Result=0.00035784  Best=0.00000144   Time=0.1  Run Time=519.7
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 15  Result=0.00018629  Best=0.00000144   Time=0.1  Run Time=520.1
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 16  Result=0.00005078  Best=0.00000144   Time=0.1  Run Time=520.6
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 17  Result=0.00005263  Best=0.00000144   Time=0.1  Run Time=521.0
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 18  Result=0.00012165  Best=0.00000144   Time=0.1  Run Time=521.5
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 19  Result=0.00000263  Best=0.00000144   Time=0.1  Run Time=522.0
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 20  Result=0.00017267  Best=0.00000144   Time=0.1  Run Time=522.4
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 21  Result=0.00012246  Best=0.00000144   Time=0.1  Run Time=522.8
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 22  Result=0.00000310  Best=0.00000144   Time=0.1  Run Time=523.3
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 23  Result=0.00002233  Best=0.00000144   Time=0.1  Run Time=523.7
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 24  Result=0.00004921  Best=0.00000144   Time=0.1  Run Time=524.2
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 25  Result=0.00001568  Best=0.00000144   Time=0.1  Run Time=524.6
FIRESTARTER_OPTIMIZE: Seed=0  Test=151  Generation= 26  Result=0.00000199  Best=0.00000144   Time=0.1  Run Time=525.1
