CUDA devices = 2
Device 0: NVIDIA GeForce RTX 5090
Device 1: NVIDIA GeForce RTX 5090

variations = 1
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00085118  Best=0.00085118 BestError=0.00082532  Time=   2.4  Run Time=   2.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00001229  Best=0.00001229 BestError=0.00003608  Time=   2.4  Run Time=   4.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00013991  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=   7.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00057925  Best=0.00001229 BestError=0.00003608  Time=   2.4  Run Time=   9.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00006561  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=  11.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00002196  Best=0.00001229 BestError=0.00003608  Time=   2.4  Run Time=  14.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00101144  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=  16.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00037764  Best=0.00001229 BestError=0.00003608  Time=   2.4  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00383091  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  19.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00242370  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  19.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  20.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.22518103  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  20.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01414663  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  20.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  21.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01691359  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  21.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  21.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00382299  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  22.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00001229  Old Result= 0.00001229  Bad Result=0.68245006  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  22.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   5  Generation=  2  Age=  2  Evolution= 1  Weight=0.00002196  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  22.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   1  Generation=  3  Age=  3  Evolution= 1  Weight=0.00002459  Old Result= 0.00001229  Bad Result=0.22534129  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  22.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   1  Generation=  4  Age=  4  Evolution= 1  Weight=0.00003688  Old Result= 0.00001229  Bad Result=0.01414786  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  23.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation=  3  Age=  3  Evolution= 1  Weight=0.00004392  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  23.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   1  Generation=  5  Age=  5  Evolution= 1  Weight=0.00004917  Old Result= 0.00001229  Bad Result=0.02516377  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   1  Generation=  6  Age=  6  Evolution= 1  Weight=0.00006147  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  24.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00006561  Old Result= 0.00006561  Bad Result=0.00385538  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  24.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   5  Generation=  4  Age=  4  Evolution= 1  Weight=0.00006587  Old Result= 0.00002196  Bad Result=0.68245018  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  24.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   1  Generation=  7  Age=  7  Evolution= 1  Weight=0.00007376  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  25.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   1  Generation=  8  Age=  8  Evolution= 1  Weight=0.00008605  Old Result= 0.00001229  Bad Result=0.22519660  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  25.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   5  Generation=  5  Age=  5  Evolution= 1  Weight=0.00008783  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  25.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   1  Generation=  9  Age=  9  Evolution= 1  Weight=0.00009834  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  26.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   5  Generation=  6  Age=  6  Evolution= 1  Weight=0.00010979  Old Result= 0.00002196  Bad Result=0.06193365  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  26.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   1  Generation= 10  Age= 10  Evolution= 1  Weight=0.00011064  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  26.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.05672007  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  27.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation= 11  Age= 11  Evolution= 1  Weight=0.00012293  Old Result= 0.00001229  Bad Result=0.00251192  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  27.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   4  Generation=  3  Age=  3  Evolution= 1  Weight=0.00013122  Old Result= 0.00006561  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  27.7
