CUDA devices = 2
Device 0: NVIDIA GeForce RTX 5090
Device 1: NVIDIA GeForce RTX 5090

variations = 1
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.04459662  Best=0.04459662 BestError=0.00702983  Time=   1.2  Run Time=   1.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00011020  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00133680  Best=0.00011020 BestError=0.00004570  Time=   1.2  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.30758688  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04087594  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00009831  Best=0.00009831 BestError=0.00005980  Time=   1.3  Run Time=   1.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.50992918  Best=0.00009831 BestError=0.00005980  Time=   1.5  Run Time=   1.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.22978117  Best=0.00009831 BestError=0.00005980  Time=   1.2  Run Time=   2.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00000376  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   2.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.48746395  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   2.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01778798  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   2.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00003245  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   2.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00006365  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   2.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00101638  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   2.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00025311  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   2.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=   3.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   8  Generation=  7  Age=  7  Evolution= 1  Weight=0.00002253  Old Result= 0.00000376  Bad Result=0.00010294  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=   3.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   8  Generation=  4  Age=  4  Evolution= 1  Weight=0.00001127  Old Result= 0.00000376  Bad Result=0.00011969  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   4.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   8  Generation=  8  Age=  8  Evolution= 1  Weight=0.00002629  Old Result= 0.00000376  Bad Result=0.00015974  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   4.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00000376  Old Result= 0.00000376  Bad Result=0.00002235  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   4.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=   8  Generation=  6  Age=  6  Evolution= 1  Weight=0.00001878  Old Result= 0.00000376  Bad Result=0.00016141  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   4.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=   8  Generation=  5  Age=  5  Evolution= 1  Weight=0.00001502  Old Result= 0.00000376  Bad Result=0.00031435  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   4.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   8  Generation=  3  Age=  3  Evolution= 1  Weight=0.00000751  Old Result= 0.00000376  Bad Result=0.00020295  Best=0.00000376 BestError=0.00002700  Time=   1.5  Run Time=   4.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=   8  Generation=  9  Age=  9  Evolution= 1  Weight=0.00003004  Old Result= 0.00000376  Bad Result=0.00012904  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   5.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=   8  Generation= 14  Age= 14  Evolution= 1  Weight=0.00004882  Old Result= 0.00000376  Bad Result=0.00002825  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   5.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=   8  Generation= 15  Age= 15  Evolution= 1  Weight=0.00005257  Old Result= 0.00000376  Bad Result=0.00182873  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   5.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=   8  Generation= 10  Age= 10  Evolution= 1  Weight=0.00003380  Old Result= 0.00000376  Bad Result=0.00005609  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=   5.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=   8  Generation= 13  Age= 13  Evolution= 1  Weight=0.00004506  Old Result= 0.00000376  Bad Result=0.00001031  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   5.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=   8  Generation= 11  Age= 11  Evolution= 1  Weight=0.00003755  Old Result= 0.00000376  Bad Result=0.00018328  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   5.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=   8  Generation= 12  Age= 12  Evolution= 1  Weight=0.00004131  Old Result= 0.00000376  Bad Result=0.00015903  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   5.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=  10  Generation=  2  Age=  2  Evolution= 1  Weight=0.00003245  Old Result= 0.00003245  Bad Result=0.00003439  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   5.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=  10  Generation=  3  Age=  3  Evolution= 1  Weight=0.00006491  Old Result= 0.00003245  Bad Result=0.00008011  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=   6.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   8  Generation= 20  Age= 20  Evolution= 1  Weight=0.00007135  Old Result= 0.00000376  Bad Result=0.00086471  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   6.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   8  Generation= 17  Age= 17  Evolution= 1  Weight=0.00006008  Old Result= 0.00000376  Bad Result=0.00013334  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   6.6
