CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00607236  Best=0.00607236 BestError=0.00589426  Time=  55.7  Run Time=  56.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00092329  Best=0.00092329 BestError=0.00040855  Time=  55.7  Run Time=  56.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00491961  Best=0.00092329 BestError=0.00040855  Time=  56.0  Run Time=  56.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00086146  Best=0.00086146 BestError=0.00098152  Time=  56.0  Run Time=  57.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00061812  Best=0.00061812 BestError=0.00023021  Time=  56.2  Run Time=  57.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00049582  Best=0.00049582 BestError=0.00025520  Time=  56.3  Run Time=  57.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00060236  Best=0.00049582 BestError=0.00025520  Time=  56.4  Run Time=  57.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00026629  Best=0.00026629 BestError=0.00023638  Time=  56.4  Run Time=  57.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00026629 BestError=0.00023638  Time=   7.8  Run Time=  64.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.06303112  Best=0.00026629 BestError=0.00023638  Time=   7.9  Run Time=  64.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00519828  Best=0.00026629 BestError=0.00023638  Time=   7.9  Run Time=  65.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00308871  Best=0.00026629 BestError=0.00023638  Time=   7.7  Run Time=  65.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00026629 BestError=0.00023638  Time=   7.6  Run Time=  65.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00026629 BestError=0.00023638  Time=   7.8  Run Time=  65.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00026629 BestError=0.00023638  Time=   7.6  Run Time=  65.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.16979861  Best=0.00026629 BestError=0.00023638  Time=   7.6  Run Time=  65.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   5  Generation=  2  Age=  2  Evolution= 1  Weight=0.00026629  Old Result= 0.00026629  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.1  Run Time=  67.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00061812  Old Result= 0.00061812  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.4  Run Time=  68.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00086146  Old Result= 0.00086146  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.5  Run Time=  68.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   5  Generation=  4  Age=  4  Evolution= 1  Weight=0.00079887  Old Result= 0.00026629  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.6  Run Time=  68.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   2  Generation=  2  Age=  2  Evolution= 1  Weight=0.00049582  Old Result= 0.00049582  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.9  Run Time=  68.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   5  Generation=  7  Age=  7  Evolution= 1  Weight=0.00159773  Old Result= 0.00026629  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.4  Run Time=  70.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   5  Generation=  6  Age=  6  Evolution= 1  Weight=0.00133144  Old Result= 0.00026629  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.6  Run Time=  70.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   2  Generation=  4  Age=  4  Evolution= 1  Weight=0.00148746  Old Result= 0.00049582  Bad Result=10.00000000  Best=0.00026629 BestError=0.00023638  Time=   2.5  Run Time=  71.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00018713  Best=0.00018713 BestError=0.00011525  Time=   6.8  Run Time=  72.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   5  Generation=  3  Age=  3  Evolution= 1  Weight=0.00053258  Old Result= 0.00026629  Bad Result=10.00000000  Best=0.00018713 BestError=0.00011525  Time=   6.8  Run Time=  72.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00060236  Old Result= 0.00060236 *New Result=0.00010353  Best=0.00010353 BestError=0.00009623  Time=   6.8  Run Time=  72.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   5  Generation=  5  Age=  5  Evolution= 1  Weight=0.00106516  Old Result= 0.00026629  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   3.8  Run Time=  72.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   2  Generation=  3  Age=  3  Evolution= 1  Weight=0.00099164  Old Result= 0.00049582 >New Result=0.00041215  Best=0.00010353 BestError=0.00009623  Time=   5.4  Run Time=  73.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00092329  Old Result= 0.00092329  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   1.1  Run Time=  73.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   4  Generation=  3  Age=  3  Evolution= 1  Weight=0.00120471  Old Result= 0.00060236 >New Result=0.00035897  Best=0.00010353 BestError=0.00009623  Time=   2.4  Run Time=  75.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   3  Generation=  3  Age=  3  Evolution= 1  Weight=0.00123624  Old Result= 0.00061812  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   2.4  Run Time=  75.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=  16  Generation=  4  Age=  4  Evolution= 1  Weight=0.00056139  Old Result= 0.00018713  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   2.4  Run Time=  77.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   4  Generation=  7  Age=  4  Evolution= 2  Weight=0.00062121  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   2.7  Run Time=  78.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation=  6  Age=  3  Evolution= 2  Weight=0.00051767  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   5.1  Run Time=  80.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   4  Generation=  5  Age=  2  Evolution= 2  Weight=0.00041414  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   5.2  Run Time=  80.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=  16  Generation=  3  Age=  3  Evolution= 1  Weight=0.00037426  Old Result= 0.00018713  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   5.8  Run Time=  81.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00010353 BestError=0.00009623  Time=   7.3  Run Time=  82.7
