CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.85227418  Best=0.85227418 BestError=0.73087966  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.04457508  Best=0.04457508 BestError=0.01842920  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.14511314  Best=0.04457508 BestError=0.01842920  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.04457508 BestError=0.01842920  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.05962896  Best=0.04457508 BestError=0.01842920  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.04457508 BestError=0.01842920  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00429960  Best=0.00429960 BestError=0.00407095  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00281223  Best=0.00281223 BestError=0.00249502  Time=   8.1  Run Time=   8.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00041735  Best=0.00041735 BestError=0.00039208  Time=   7.3  Run Time=  15.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04993635  Best=0.00041735 BestError=0.00039208  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00050068  Best=0.00041735 BestError=0.00039208  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021785  Best=0.00021785 BestError=0.00046036  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.48746398  Best=0.00021785 BestError=0.00046036  Time=   7.6  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00325531  Best=0.00021785 BestError=0.00046036  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00728828  Best=0.00021785 BestError=0.00046036  Time=   7.6  Run Time=  16.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.27992284  Best=0.00021785 BestError=0.00046036  Time=   7.8  Run Time=  16.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   8  Generation=  5  Age=  5  Evolution= 1  Weight=0.00087142  Old Result= 0.00021785  Bad Result=10.00000000  Best=0.00021785 BestError=0.00046036  Time=   2.7  Run Time=  19.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=   8  Generation=  9  Age=  9  Evolution= 1  Weight=0.00174284  Old Result= 0.00021785  Bad Result=10.00000000  Best=0.00021785 BestError=0.00046036  Time=   2.5  Run Time=  22.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=   8  Generation=  4  Age=  4  Evolution= 1  Weight=0.00065356  Old Result= 0.00021785  Bad Result=10.00000000  Best=0.00021785 BestError=0.00046036  Time=   5.5  Run Time=  22.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00021785 BestError=0.00046036  Time=   7.3  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=  10  Generation=  2  Age=  2  Evolution= 1  Weight=0.00041735  Old Result= 0.00041735 *New Result=0.00015521  Best=0.00015521 BestError=0.00011599  Time=   7.4  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=  10  Generation=  3  Age=  3  Evolution= 1  Weight=0.00083470  Old Result= 0.00041735  Bad Result=10.00000000  Best=0.00015521 BestError=0.00011599  Time=   7.4  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021785  Old Result= 0.00021785 *New Result=0.00010097  Best=0.00010097 BestError=0.00015913  Time=   7.5  Run Time=  24.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   8  Generation=  3  Age=  3  Evolution= 1  Weight=0.00043571  Old Result= 0.00021785 *New Result=0.00009805  Best=0.00009805 BestError=0.00040859  Time=   7.6  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=  15  Generation=  2  Age=  2  Evolution= 1  Weight=0.00050068  Old Result= 0.00050068 >New Result=0.00016200  Best=0.00009805 BestError=0.00040859  Time=   7.6  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=  15  Generation=  3  Age=  3  Evolution= 1  Weight=0.00100136  Old Result= 0.00050068  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   1.7  Run Time=  25.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=   8  Generation=  8  Age=  8  Evolution= 1  Weight=0.00152498  Old Result= 0.00021785  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   4.0  Run Time=  26.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=   8  Generation=  7  Age=  7  Evolution= 1  Weight=0.00130713  Old Result= 0.00021785  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.1  Run Time=  26.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=  15  Generation=  4  Age=  4  Evolution= 1  Weight=0.00150204  Old Result= 0.00050068  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.1  Run Time=  26.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=  10  Generation=  5  Age=  5  Evolution= 1  Weight=0.00166941  Old Result= 0.00041735  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   4.1  Run Time=  28.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   8  Generation=  6  Age=  6  Evolution= 1  Weight=0.00108927  Old Result= 0.00021785  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   4.1  Run Time=  28.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=  10  Generation=  4  Age=  4  Evolution= 1  Weight=0.00125206  Old Result= 0.00041735  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   4.2  Run Time=  28.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=  15  Generation=  6  Age=  2  Evolution= 2  Weight=0.00080999  Old Result= 0.00016200  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.4  Run Time=  31.2
