CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10688785  Best=0.10688785 BestError=0.10497549  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00157154  Best=0.00157154 BestError=0.00145507  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00134990  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00356865  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04294157  Best=0.00134990 BestError=0.00119357  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00092669  Best=0.00092669 BestError=0.00137981  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04093932  Best=0.00092669 BestError=0.00137981  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021413  Best=0.00021413 BestError=0.00009826  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00219226  Best=0.00021413 BestError=0.00009826  Time=   7.4  Run Time=  15.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00034809  Best=0.00021413 BestError=0.00009826  Time=   7.6  Run Time=  15.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021413 BestError=0.00009826  Time=   7.6  Run Time=  15.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00090045  Best=0.00021413 BestError=0.00009826  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00196092  Best=0.00021413 BestError=0.00009826  Time=   7.5  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00086135  Best=0.00021413 BestError=0.00009826  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021413 BestError=0.00009826  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00028111  Best=0.00021413 BestError=0.00009826  Time=   7.7  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   4  Id=   6  Generation=  3  Age=  3  Evolution= 1  Weight=0.00042826  Old Result= 0.00021413  Bad Result=10.00000000  Best=0.00021413 BestError=0.00009826  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00149416  Best=0.00021413 BestError=0.00009826  Time=   7.4  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=   9  Generation=  3  Age=  3  Evolution= 1  Weight=0.00069618  Old Result= 0.00034809 >New Result=0.00029703  Best=0.00021413 BestError=0.00009826  Time=   7.6  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   2  Id=  12  Generation=  2  Age=  2  Evolution= 1  Weight=0.00028111  Old Result= 0.00028111 *New Result=0.00009835  Best=0.00009835 BestError=0.00011027  Time=   7.7  Run Time=  24.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=   6  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021413  Old Result= 0.00021413  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   7.8  Run Time=  24.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=   9  Generation=  2  Age=  2  Evolution= 1  Weight=0.00034809  Old Result= 0.00034809  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   7.8  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   6  Id=   6  Generation=  4  Age=  4  Evolution= 1  Weight=0.00064239  Old Result= 0.00021413 >New Result=0.00021122  Best=0.00009835 BestError=0.00011027  Time=   7.8  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=  12  Generation=  3  Age=  3  Evolution= 1  Weight=0.00056222  Old Result= 0.00028111  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   7.9  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   8  Id=  12  Generation=  4  Age=  4  Evolution= 1  Weight=0.00084333  Old Result= 0.00028111  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   2.3  Run Time=  26.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  15  Id=  12  Generation=  5  Age=  5  Evolution= 1  Weight=0.00112444  Old Result= 0.00028111  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   2.2  Run Time=  26.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  10  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00086135  Old Result= 0.00086135  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   2.4  Run Time=  26.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  12  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00092669  Old Result= 0.00092669  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   7.6  Run Time=  26.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  13  Id=   9  Generation=  4  Age=  4  Evolution= 1  Weight=0.00104427  Old Result= 0.00034809 >New Result=0.00012243  Best=0.00009835 BestError=0.00011027  Time=   4.9  Run Time=  29.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  11  Id=  13  Generation=  2  Age=  2  Evolution= 1  Weight=0.00090045  Old Result= 0.00090045 >New Result=0.00023526  Best=0.00009835 BestError=0.00011027  Time=   4.9  Run Time=  29.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   9  Id=   6  Generation=  5  Age=  5  Evolution= 1  Weight=0.00085652  Old Result= 0.00021413  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   5.1  Run Time=  29.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  14  Id=   6  Generation=  6  Age=  6  Evolution= 1  Weight=0.00107066  Old Result= 0.00021413  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   5.0  Run Time=  29.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   4  Id=   9  Generation=  7  Age=  2  Evolution= 2  Weight=0.00073457  Old Result= 0.00012243  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   2.4  Run Time=  32.3
