CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.07451279  Best=0.07451279 BestError=0.06425745  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00036490  Best=0.00036490 BestError=0.00035849  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00236094  Best=0.00036490 BestError=0.00035849  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00112707  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00039494  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01061678  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00015014  Best=0.00015014 BestError=0.00012023  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00632071  Best=0.00015014 BestError=0.00012023  Time=   7.0  Run Time=  15.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01633906  Best=0.00015014 BestError=0.00012023  Time=   7.5  Run Time=  15.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00091372  Best=0.00015014 BestError=0.00012023  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.12746048  Best=0.00015014 BestError=0.00012023  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01244267  Best=0.00015014 BestError=0.00012023  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00257328  Best=0.00015014 BestError=0.00012023  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.19230413  Best=0.00015014 BestError=0.00012023  Time=   7.6  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00226995  Best=0.00015014 BestError=0.00012023  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   0  Generation=  4  Age=  4  Evolution= 1  Weight=0.00045042  Old Result= 0.00015014  Bad Result=10.00000000  Best=0.00015014 BestError=0.00012023  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   0  Generation=  3  Age=  3  Evolution= 1  Weight=0.00030028  Old Result= 0.00015014  Bad Result=10.00000000  Best=0.00015014 BestError=0.00012023  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   1  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00015014  Old Result= 0.00015014  Bad Result=10.00000000  Best=0.00015014 BestError=0.00012023  Time=   5.3  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   7  Id=   5  Generation=  3  Age=  3  Evolution= 1  Weight=0.00072979  Old Result= 0.00036490  Bad Result=10.00000000  Best=0.00015014 BestError=0.00012023  Time=   7.5  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00031017  Best=0.00015014 BestError=0.00012023  Time=   7.5  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00039494  Old Result= 0.00039494 *New Result=0.00007796  Best=0.00007796 BestError=0.00001502  Time=   7.8  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   3  Id=   5  Generation=  2  Age=  2  Evolution= 1  Weight=0.00036490  Old Result= 0.00036490  Bad Result=10.00000000  Best=0.00007796 BestError=0.00001502  Time=   7.8  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   0  Generation=  5  Age=  5  Evolution= 1  Weight=0.00060056  Old Result= 0.00015014 *New Result=0.00007268  Best=0.00007268 BestError=0.00006733  Time=   7.8  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  13  Id=   5  Generation=  4  Age=  4  Evolution= 1  Weight=0.00109469  Old Result= 0.00036490  Bad Result=10.00000000  Best=0.00007268 BestError=0.00006733  Time=   7.2  Run Time=  26.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  10  Id=   0  Generation=  7  Age=  7  Evolution= 1  Weight=0.00090085  Old Result= 0.00015014  Bad Result=10.00000000  Best=0.00007268 BestError=0.00006733  Time=   7.4  Run Time=  26.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  12  Id=   0  Generation=  8  Age=  8  Evolution= 1  Weight=0.00105099  Old Result= 0.00015014  Bad Result=10.00000000  Best=0.00007268 BestError=0.00006733  Time=   2.6  Run Time=  27.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   9  Id=   3  Generation=  3  Age=  3  Evolution= 1  Weight=0.00078988  Old Result= 0.00039494  Bad Result=10.00000000  Best=0.00007268 BestError=0.00006733  Time=   6.7  Run Time=  28.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  15  Id=   3  Generation=  4  Age=  4  Evolution= 1  Weight=0.00118482  Old Result= 0.00039494 >New Result=0.00015104  Best=0.00007268 BestError=0.00006733  Time=   5.5  Run Time=  29.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   8  Id=   0  Generation=  6  Age=  6  Evolution= 1  Weight=0.00075071  Old Result= 0.00015014 >New Result=0.00010013  Best=0.00007268 BestError=0.00006733  Time=   5.5  Run Time=  29.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  14  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00112707  Old Result= 0.00112707 >New Result=0.00017738  Best=0.00007268 BestError=0.00006733  Time=   5.3  Run Time=  29.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  11  Id=  14  Generation=  2  Age=  2  Evolution= 1  Weight=0.00091372  Old Result= 0.00091372 >New Result=0.00028660  Best=0.00007268 BestError=0.00006733  Time=   5.4  Run Time=  30.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   1  Id=  16  Generation=  2  Age=  2  Evolution= 1  Weight=0.00031017  Old Result= 0.00031017  Bad Result=10.00000000  Best=0.00007268 BestError=0.00006733  Time=   2.8  Run Time=  33.1
