CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10243542  Best=0.10243542 BestError=0.10059024  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.10243542 BestError=0.10059024  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00228131  Best=0.00228131 BestError=0.00208052  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00067529  Best=0.00067529 BestError=0.00059947  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.11904435  Best=0.00067529 BestError=0.00059947  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.02198943  Best=0.00067529 BestError=0.00059947  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00067529 BestError=0.00059947  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00197938  Best=0.00067529 BestError=0.00059947  Time=   8.0  Run Time=   8.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00038334  Best=0.00038334 BestError=0.00021156  Time=   7.3  Run Time=  15.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00038334 BestError=0.00021156  Time=   7.6  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00008768  Best=0.00008768 BestError=0.00021528  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97353017  Best=0.00008768 BestError=0.00021528  Time=   7.8  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00205382  Best=0.00008768 BestError=0.00021528  Time=   7.7  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00148309  Best=0.00008768 BestError=0.00021528  Time=   7.8  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00083780  Best=0.00008768 BestError=0.00021528  Time=   7.8  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00277221  Best=0.00008768 BestError=0.00021528  Time=   7.6  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=  13  Generation=  2  Age=  2  Evolution= 1  Weight=0.00008768  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.4  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   4  Id=  13  Generation=  5  Age=  5  Evolution= 1  Weight=0.00035071  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.4  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=  13  Generation=  7  Age=  7  Evolution= 1  Weight=0.00052607  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.5  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  12  Id=  13  Generation= 10  Age= 10  Evolution= 1  Weight=0.00078910  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.4  Run Time=  21.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  15  Id=  13  Generation= 12  Age= 12  Evolution= 1  Weight=0.00096446  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.4  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   6  Id=  13  Generation=  6  Age=  6  Evolution= 1  Weight=0.00043839  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   6.8  Run Time=  23.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=  13  Generation=  4  Age=  4  Evolution= 1  Weight=0.00026303  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   7.1  Run Time=  23.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=  13  Generation=  3  Age=  3  Evolution= 1  Weight=0.00017536  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   7.1  Run Time=  23.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   5  Id=  11  Generation=  2  Age=  2  Evolution= 1  Weight=0.00038334  Old Result= 0.00038334 >New Result=0.00026306  Best=0.00008768 BestError=0.00021528  Time=   7.2  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00045615  Best=0.00008768 BestError=0.00021528  Time=   7.3  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   9  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00067529  Old Result= 0.00067529  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   6.1  Run Time=  25.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  11  Id=  11  Generation=  3  Age=  3  Evolution= 1  Weight=0.00076667  Old Result= 0.00038334  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   1.8  Run Time=  25.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  10  Id=  13  Generation=  9  Age=  9  Evolution= 1  Weight=0.00070143  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   1.8  Run Time=  25.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  14  Id=  13  Generation= 11  Age= 11  Evolution= 1  Weight=0.00087678  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   3.8  Run Time=  27.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   8  Id=  13  Generation=  8  Age=  8  Evolution= 1  Weight=0.00061375  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   3.6  Run Time=  27.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  13  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00083780  Old Result= 0.00083780 >New Result=0.00040960  Best=0.00008768 BestError=0.00021528  Time=   3.6  Run Time=  27.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   4  Id=  11  Generation=  5  Age=  2  Evolution= 2  Weight=0.00105224  Old Result= 0.00026306  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.4  Run Time=  30.3
