CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00023317  Best=0.00023317 BestError=0.00022721  Time=   7.2  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00164735  Best=0.00023317 BestError=0.00022721  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00010255  Best=0.00010255 BestError=0.00016545  Time=   7.6  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.07555139  Best=0.00010255 BestError=0.00016545  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00021291  Best=0.00010255 BestError=0.00016545  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00010255 BestError=0.00016545  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01739931  Best=0.00010255 BestError=0.00016545  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00019982  Best=0.00010255 BestError=0.00016545  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00177288  Best=0.00010255 BestError=0.00016545  Time=   7.6  Run Time=  15.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00064047  Best=0.00010255 BestError=0.00016545  Time=   7.2  Run Time=  15.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.10223168  Best=0.00010255 BestError=0.00016545  Time=   7.4  Run Time=  15.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00926219  Best=0.00010255 BestError=0.00016545  Time=   7.3  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00016531  Best=0.00010255 BestError=0.00016545  Time=   7.3  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00701767  Best=0.00010255 BestError=0.00016545  Time=   7.7  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00021324  Best=0.00010255 BestError=0.00016545  Time=   7.4  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00113146  Best=0.00010255 BestError=0.00016545  Time=   7.5  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=  15  Generation=  2  Age=  2  Evolution= 1  Weight=0.00016531  Old Result= 0.00016531  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   2.5  Run Time=  18.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   2  Generation=  2  Age=  2  Evolution= 1  Weight=0.00010255  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   2.8  Run Time=  19.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   2  Generation=  3  Age=  3  Evolution= 1  Weight=0.00020510  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   3.0  Run Time=  19.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  10  Id=   7  Generation=  3  Age=  3  Evolution= 1  Weight=0.00039963  Old Result= 0.00019982  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   2.4  Run Time=  21.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   9  Id=  15  Generation=  3  Age=  3  Evolution= 1  Weight=0.00033063  Old Result= 0.00016531  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   2.4  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  12  Id=   5  Generation=  3  Age=  3  Evolution= 1  Weight=0.00042582  Old Result= 0.00021291  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   2.4  Run Time=  22.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   6  Id=  14  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021324  Old Result= 0.00021324  Bad Result=10.00000000  Best=0.00010255 BestError=0.00016545  Time=   6.8  Run Time=  23.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   3  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00019982  Old Result= 0.00019982 *New Result=0.00008535  Best=0.00008535 BestError=0.00013423  Time=   6.7  Run Time=  23.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00188649  Best=0.00008535 BestError=0.00013423  Time=   6.7  Run Time=  23.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   7  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00023317  Old Result= 0.00023317 >New Result=0.00013196  Best=0.00008535 BestError=0.00013423  Time=   6.8  Run Time=  23.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   5  Id=   5  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021291  Old Result= 0.00021291 >New Result=0.00014001  Best=0.00008535 BestError=0.00013423  Time=   6.8  Run Time=  23.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  11  Id=   2  Generation=  5  Age=  5  Evolution= 1  Weight=0.00041020  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   1.6  Run Time=  25.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  15  Id=  15  Generation=  4  Age=  4  Evolution= 1  Weight=0.00049594  Old Result= 0.00016531  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   1.6  Run Time=  25.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  14  Id=   1  Generation=  3  Age=  3  Evolution= 1  Weight=0.00046635  Old Result= 0.00023317  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.6  Run Time=  27.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   8  Id=   2  Generation=  4  Age=  4  Evolution= 1  Weight=0.00030765  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.5  Run Time=  27.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  13  Id=  14  Generation=  3  Age=  3  Evolution= 1  Weight=0.00042648  Old Result= 0.00021324  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.5  Run Time=  27.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=   7  Generation=  6  Age=  3  Evolution= 2  Weight=0.00042677  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.5  Run Time=  29.8
