CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.85227418  Best=0.85227418 BestError=0.78000921  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00110316  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00210881  Best=0.00110316 BestError=0.00146174  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00087377  Best=0.00087377 BestError=0.00099460  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00032717  Best=0.00032717 BestError=0.00033039  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00062169  Best=0.00032717 BestError=0.00033039  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.00032717 BestError=0.00033039  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00065703  Best=0.00032717 BestError=0.00033039  Time=   7.3  Run Time=  15.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00060614  Best=0.00032717 BestError=0.00033039  Time=   7.4  Run Time=  15.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00173521  Best=0.00032717 BestError=0.00033039  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00032717 BestError=0.00033039  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00540328  Best=0.00032717 BestError=0.00033039  Time=   7.5  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00043692  Best=0.00032717 BestError=0.00033039  Time=   7.5  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01633735  Best=0.00032717 BestError=0.00033039  Time=   7.5  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00680466  Best=0.00032717 BestError=0.00033039  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=  11  Generation=  2  Age=  2  Evolution= 1  Weight=0.00060614  Old Result= 0.00060614  Bad Result=10.00000000  Best=0.00032717 BestError=0.00033039  Time=   2.3  Run Time=  18.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   1  Id=   2  Generation=  2  Age=  2  Evolution= 1  Weight=0.00032717  Old Result= 0.00032717  Bad Result=10.00000000  Best=0.00032717 BestError=0.00033039  Time=   2.5  Run Time=  18.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=  13  Generation=  2  Age=  2  Evolution= 1  Weight=0.00065703  Old Result= 0.00065703  Bad Result=10.00000000  Best=0.00032717 BestError=0.00033039  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  14  Id=  12  Generation=  4  Age=  4  Evolution= 1  Weight=0.00131075  Old Result= 0.00043692  Bad Result=10.00000000  Best=0.00032717 BestError=0.00033039  Time=   2.6  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   2  Generation=  3  Age=  3  Evolution= 1  Weight=0.00065434  Old Result= 0.00032717 *New Result=0.00015070  Best=0.00015070 BestError=0.00019143  Time=   7.3  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00087377  Old Result= 0.00087377  Bad Result=10.00000000  Best=0.00015070 BestError=0.00019143  Time=   7.3  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00519211  Best=0.00015070 BestError=0.00019143  Time=   7.4  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   2  Id=  12  Generation=  2  Age=  2  Evolution= 1  Weight=0.00043692  Old Result= 0.00043692  Bad Result=10.00000000  Best=0.00015070 BestError=0.00019143  Time=   7.6  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   4  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00062169  Old Result= 0.00062169 >New Result=0.00032889  Best=0.00015070 BestError=0.00019143  Time=   7.5  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   9  Id=   2  Generation=  4  Age=  4  Evolution= 1  Weight=0.00098151  Old Result= 0.00032717 >New Result=0.00016942  Best=0.00015070 BestError=0.00019143  Time=   6.6  Run Time=  25.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  11  Id=  11  Generation=  3  Age=  3  Evolution= 1  Weight=0.00121227  Old Result= 0.00060614 *New Result=0.00007161  Best=0.00007161 BestError=0.00008464  Time=   7.0  Run Time=  26.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   8  Id=  12  Generation=  3  Age=  3  Evolution= 1  Weight=0.00087383  Old Result= 0.00043692  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.1  Run Time=  26.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  13  Id=   2  Generation=  5  Age=  5  Evolution= 1  Weight=0.00130868  Old Result= 0.00032717  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.2  Run Time=  26.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  15  Id=  13  Generation=  3  Age=  3  Evolution= 1  Weight=0.00131406  Old Result= 0.00065703  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.1  Run Time=  28.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  12  Id=   4  Generation=  3  Age=  3  Evolution= 1  Weight=0.00124338  Old Result= 0.00062169 >New Result=0.00010694  Best=0.00007161 BestError=0.00008464  Time=   4.0  Run Time=  28.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  10  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00110316  Old Result= 0.00110316  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.0  Run Time=  28.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   4  Generation=  7  Age=  3  Evolution= 2  Weight=0.00064161  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.4  Run Time=  31.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   4  Generation=  6  Age=  2  Evolution= 2  Weight=0.00053468  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.6  Run Time=  31.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   2  Id=  11  Generation=  6  Age=  3  Evolution= 2  Weight=0.00035807  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.9  Run Time=  33.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=  11  Generation=  9  Age=  6  Evolution= 2  Weight=0.00057291  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   5.0  Run Time=  33.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  15  Id=  11  Generation= 14  Age= 11  Evolution= 2  Weight=0.00093098  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.4  Run Time=  33.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   1  Id=  11  Generation=  5  Age=  2  Evolution= 2  Weight=0.00028646  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   5.4  Run Time=  34.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00014159  Best=0.00007161 BestError=0.00008464  Time=   7.1  Run Time=  35.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=  11  Generation=  7  Age=  4  Evolution= 2  Weight=0.00042968  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   7.4  Run Time=  35.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   4  Id=  11  Generation=  8  Age=  5  Evolution= 2  Weight=0.00050130  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   7.6  Run Time=  36.2
