CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.45582074  Best=0.45582074 BestError=0.47709805  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.45582074 BestError=0.47709805  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00396626  Best=0.00396626 BestError=0.00440867  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00198424  Best=0.00198424 BestError=0.00293820  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00058426  Best=0.00058426 BestError=0.00092683  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00114870  Best=0.00058426 BestError=0.00092683  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00144268  Best=0.00058426 BestError=0.00092683  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.19015110  Best=0.00058426 BestError=0.00092683  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.25469613  Best=0.00058426 BestError=0.00092683  Time=   7.0  Run Time=  15.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00038838  Best=0.00038838 BestError=0.00249315  Time=   7.3  Run Time=  15.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00194493  Best=0.00038838 BestError=0.00249315  Time=   7.4  Run Time=  15.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00287540  Best=0.00038838 BestError=0.00249315  Time=   7.5  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.48746395  Best=0.00038838 BestError=0.00249315  Time=   7.5  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00452362  Best=0.00038838 BestError=0.00249315  Time=   7.7  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00098637  Best=0.00038838 BestError=0.00249315  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00088334  Best=0.00038838 BestError=0.00249315  Time=   7.6  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=  14  Generation=  2  Age=  2  Evolution= 1  Weight=0.00098637  Old Result= 0.00098637  Bad Result=10.00000000  Best=0.00038838 BestError=0.00249315  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00019647  Best=0.00019647 BestError=0.00019437  Time=   7.6  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00038838  Old Result= 0.00038838  Bad Result=10.00000000  Best=0.00019647 BestError=0.00019437  Time=   7.6  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   2  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00058426  Old Result= 0.00058426  Bad Result=10.00000000  Best=0.00019647 BestError=0.00019437  Time=   7.6  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   3  Id=   8  Generation=  3  Age=  3  Evolution= 1  Weight=0.00077675  Old Result= 0.00038838 *New Result=0.00017366  Best=0.00017366 BestError=0.00010487  Time=   7.7  Run Time=  24.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   6  Id=   6  Generation=  2  Age=  2  Evolution= 1  Weight=0.00114870  Old Result= 0.00114870  Bad Result=10.00000000  Best=0.00017366 BestError=0.00010487  Time=   7.7  Run Time=  24.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   8  Generation=  4  Age=  4  Evolution= 1  Weight=0.00116513  Old Result= 0.00038838 *New Result=0.00016991  Best=0.00016991 BestError=0.00055082  Time=   7.7  Run Time=  24.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   4  Id=  12  Generation=  2  Age=  2  Evolution= 1  Weight=0.00088334  Old Result= 0.00088334  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   8.1  Run Time=  24.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   8  Id=   3  Generation=  3  Age=  3  Evolution= 1  Weight=0.00116853  Old Result= 0.00058426  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.6  Run Time=  26.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  13  Id=   8  Generation=  6  Age=  6  Evolution= 1  Weight=0.00194188  Old Result= 0.00038838 >New Result=0.00032132  Best=0.00016991 BestError=0.00055082  Time=   7.6  Run Time=  26.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  11  Id=   3  Generation=  4  Age=  4  Evolution= 1  Weight=0.00175279  Old Result= 0.00058426  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.5  Run Time=  26.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  10  Id=   8  Generation=  5  Age=  5  Evolution= 1  Weight=0.00155351  Old Result= 0.00038838  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   5.7  Run Time=  30.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  15  Id=  14  Generation=  3  Age=  3  Evolution= 1  Weight=0.00197273  Old Result= 0.00098637 >New Result=0.00047273  Best=0.00016991 BestError=0.00055082  Time=   5.6  Run Time=  30.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   9  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00144268  Old Result= 0.00144268 >New Result=0.00132658  Best=0.00016991 BestError=0.00055082  Time=   5.9  Run Time=  30.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  14  Id=  15  Generation=  2  Age=  2  Evolution= 1  Weight=0.00194493  Old Result= 0.00194493  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   5.8  Run Time=  30.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  12  Id=  12  Generation=  3  Age=  3  Evolution= 1  Weight=0.00176668  Old Result= 0.00088334  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   5.4  Run Time=  30.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   6  Id=  16  Generation=  7  Age=  7  Evolution= 1  Weight=0.00117885  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.7  Run Time=  33.3
