CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021689  Best=0.00021689 BestError=0.00014874  Time=   7.6  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01479495  Best=0.00021689 BestError=0.00014874  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00061760  Best=0.00021689 BestError=0.00014874  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00637629  Best=0.00021689 BestError=0.00014874  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021689 BestError=0.00014874  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01991081  Best=0.00021689 BestError=0.00014874  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00021689 BestError=0.00014874  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021689 BestError=0.00014874  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00109694  Best=0.00021689 BestError=0.00014874  Time=   6.6  Run Time=  14.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00021689 BestError=0.00014874  Time=   7.4  Run Time=  15.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00283730  Best=0.00021689 BestError=0.00014874  Time=   7.6  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00122675  Best=0.00021689 BestError=0.00014874  Time=   7.4  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00112343  Best=0.00021689 BestError=0.00014874  Time=   7.5  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04748686  Best=0.00021689 BestError=0.00014874  Time=   7.5  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.02122927  Best=0.00021689 BestError=0.00014874  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00093529  Best=0.00021689 BestError=0.00014874  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   2  Id=   0  Generation=  3  Age=  3  Evolution= 1  Weight=0.00043377  Old Result= 0.00021689  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   2.5  Run Time=  18.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   3  Id=   5  Generation=  2  Age=  2  Evolution= 1  Weight=0.00061760  Old Result= 0.00061760  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   2.5  Run Time=  18.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   7  Id=   0  Generation=  6  Age=  6  Evolution= 1  Weight=0.00108443  Old Result= 0.00021689  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   2.6  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=  12  Generation=  2  Age=  2  Evolution= 1  Weight=0.00093529  Old Result= 0.00093529  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   2.6  Run Time=  19.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  11  Id=   5  Generation=  3  Age=  3  Evolution= 1  Weight=0.00123519  Old Result= 0.00061760  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   2.4  Run Time=  21.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00231296  Best=0.00021689 BestError=0.00014874  Time=   7.3  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=   0  Generation=  5  Age=  5  Evolution= 1  Weight=0.00086754  Old Result= 0.00021689  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   7.3  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=   0  Generation=  4  Age=  4  Evolution= 1  Weight=0.00065066  Old Result= 0.00021689  Bad Result=10.00000000  Best=0.00021689 BestError=0.00014874  Time=   7.4  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   1  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021689  Old Result= 0.00021689 *New Result=0.00011047  Best=0.00011047 BestError=0.00024051  Time=   7.4  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  10  Id=  10  Generation=  2  Age=  2  Evolution= 1  Weight=0.00122675  Old Result= 0.00122675 >New Result=0.00018543  Best=0.00011047 BestError=0.00024051  Time=   6.8  Run Time=  25.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  15  Id=   5  Generation=  4  Age=  4  Evolution= 1  Weight=0.00185279  Old Result= 0.00061760 >New Result=0.00043946  Best=0.00011047 BestError=0.00024051  Time=   6.7  Run Time=  26.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  14  Id=   0  Generation=  9  Age=  9  Evolution= 1  Weight=0.00173508  Old Result= 0.00021689 >New Result=0.00020076  Best=0.00011047 BestError=0.00024051  Time=   6.8  Run Time=  26.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  13  Id=   0  Generation=  8  Age=  8  Evolution= 1  Weight=0.00151820  Old Result= 0.00021689  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   2.2  Run Time=  26.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   9  Id=  15  Generation=  2  Age=  2  Evolution= 1  Weight=0.00112343  Old Result= 0.00112343  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   3.1  Run Time=  27.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   8  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00109694  Old Result= 0.00109694 >New Result=0.00102956  Best=0.00011047 BestError=0.00024051  Time=   3.8  Run Time=  27.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  12  Id=   0  Generation=  7  Age=  7  Evolution= 1  Weight=0.00130131  Old Result= 0.00021689  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   3.7  Run Time=  27.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   7  Id=  10  Generation=  8  Age=  6  Evolution= 2  Weight=0.00129801  Old Result= 0.00018543  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   2.6  Run Time=  30.8
