CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00739241  Best=0.00739241 BestError=0.00605810  Time=   7.4  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00739241 BestError=0.00605810  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00005990  Best=0.00005990 BestError=0.00009436  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00067213  Best=0.00005990 BestError=0.00009436  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00022479  Best=0.00005990 BestError=0.00009436  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00041965  Best=0.00005990 BestError=0.00009436  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.11153221  Best=0.00005990 BestError=0.00009436  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00005990 BestError=0.00009436  Time=   8.3  Run Time=   8.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00641036  Best=0.00005990 BestError=0.00009436  Time=   7.6  Run Time=  15.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00029421  Best=0.00005990 BestError=0.00009436  Time=   7.5  Run Time=  15.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00074847  Best=0.00005990 BestError=0.00009436  Time=   7.4  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00038934  Best=0.00005990 BestError=0.00009436  Time=   7.5  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.17573003  Best=0.00005990 BestError=0.00009436  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04007373  Best=0.00005990 BestError=0.00009436  Time=   7.7  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01634416  Best=0.00005990 BestError=0.00009436  Time=   7.3  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00480616  Best=0.00005990 BestError=0.00009436  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   5  Id=   4  Generation=  5  Age=  5  Evolution= 1  Weight=0.00023958  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.4  Run Time=  18.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   3  Id=   4  Generation=  4  Age=  4  Evolution= 1  Weight=0.00017969  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   4  Generation=  3  Age=  3  Evolution= 1  Weight=0.00011979  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.6  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   6  Id=  10  Generation=  2  Age=  2  Evolution= 1  Weight=0.00029421  Old Result= 0.00029421  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.5  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   5  Generation=  2  Age=  2  Evolution= 1  Weight=0.00022479  Old Result= 0.00022479  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.6  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   7  Id=   4  Generation=  6  Age=  6  Evolution= 1  Weight=0.00029948  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.6  Run Time=  19.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  13  Id=   4  Generation=  9  Age=  9  Evolution= 1  Weight=0.00047916  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.3  Run Time=  21.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  14  Id=   4  Generation= 10  Age= 10  Evolution= 1  Weight=0.00053906  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.5  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  15  Id=  10  Generation=  3  Age=  3  Evolution= 1  Weight=0.00058841  Old Result= 0.00029421  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.5  Run Time=  21.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  12  Id=   5  Generation=  3  Age=  3  Evolution= 1  Weight=0.00044958  Old Result= 0.00022479  Bad Result=10.00000000  Best=0.00005990 BestError=0.00009436  Time=   2.6  Run Time=  22.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00005990  Old Result= 0.00005990 *New Result=0.00002933  Best=0.00002933 BestError=0.00006351  Time=   6.4  Run Time=  22.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01490164  Best=0.00002933 BestError=0.00006351  Time=   6.4  Run Time=  22.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  10  Id=   4  Generation=  8  Age=  8  Evolution= 1  Weight=0.00041927  Old Result= 0.00005990  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   3.7  Run Time=  23.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  11  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00041965  Old Result= 0.00041965 >New Result=0.00031634  Best=0.00002933 BestError=0.00006351  Time=   4.6  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   9  Id=  12  Generation=  2  Age=  2  Evolution= 1  Weight=0.00038934  Old Result= 0.00038934  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   0.9  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   8  Id=   4  Generation=  7  Age=  7  Evolution= 1  Weight=0.00035937  Old Result= 0.00005990 >New Result=0.00005899  Best=0.00002933 BestError=0.00006351  Time=   1.5  Run Time=  24.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   7  Id=   4  Generation= 18  Age=  8  Evolution= 2  Weight=0.00049853  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.5  Run Time=  27.5
