CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00378499  Best=0.00378499 BestError=0.00365422  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00015180  Best=0.00015180 BestError=0.00036009  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00040007  Best=0.00015180 BestError=0.00036009  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00021301  Best=0.00015180 BestError=0.00036009  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00009278  Best=0.00009278 BestError=0.00070956  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00014308  Best=0.00009278 BestError=0.00070956  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00009278 BestError=0.00070956  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.60469371  Best=0.00009278 BestError=0.00070956  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01005885  Best=0.00009278 BestError=0.00070956  Time=   7.2  Run Time=  15.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00009278 BestError=0.00070956  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00244987  Best=0.00009278 BestError=0.00070956  Time=   7.8  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00126025  Best=0.00009278 BestError=0.00070956  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00242245  Best=0.00009278 BestError=0.00070956  Time=   7.8  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00173128  Best=0.00009278 BestError=0.00070956  Time=   7.7  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04753685  Best=0.00009278 BestError=0.00070956  Time=   7.7  Run Time=  16.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00009278 BestError=0.00070956  Time=   7.7  Run Time=  16.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   7  Id=   4  Generation=  3  Age=  3  Evolution= 1  Weight=0.00028617  Old Result= 0.00014308  Bad Result=10.00000000  Best=0.00009278 BestError=0.00070956  Time=   2.5  Run Time=  19.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   4  Id=   0  Generation=  3  Age=  3  Evolution= 1  Weight=0.00018556  Old Result= 0.00009278  Bad Result=10.00000000  Best=0.00009278 BestError=0.00070956  Time=   2.6  Run Time=  19.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   1  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00009278  Old Result= 0.00009278  Bad Result=10.00000000  Best=0.00009278 BestError=0.00070956  Time=   5.1  Run Time=  21.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  12  Id=   4  Generation=  4  Age=  4  Evolution= 1  Weight=0.00042925  Old Result= 0.00014308  Bad Result=10.00000000  Best=0.00009278 BestError=0.00070956  Time=   2.7  Run Time=  22.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   5  Id=   6  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021301  Old Result= 0.00021301  Bad Result=10.00000000  Best=0.00009278 BestError=0.00070956  Time=   7.4  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   2  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00014308  Old Result= 0.00014308  Bad Result=10.00000000  Best=0.00009278 BestError=0.00070956  Time=   7.4  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01608173  Best=0.00009278 BestError=0.00070956  Time=   7.5  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   6  Id=   0  Generation=  4  Age=  4  Evolution= 1  Weight=0.00027833  Old Result= 0.00009278 *New Result=0.00003967  Best=0.00003967 BestError=0.00009623  Time=   7.5  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   3  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00015180  Old Result= 0.00015180  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   7.5  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  15  Id=   0  Generation=  7  Age=  7  Evolution= 1  Weight=0.00055667  Old Result= 0.00009278 >New Result=0.00005279  Best=0.00003967 BestError=0.00009623  Time=   6.9  Run Time=  26.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  10  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00040007  Old Result= 0.00040007  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   2.2  Run Time=  26.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   8  Id=   3  Generation=  3  Age=  3  Evolution= 1  Weight=0.00030360  Old Result= 0.00015180  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   2.2  Run Time=  26.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  11  Id=   6  Generation=  3  Age=  3  Evolution= 1  Weight=0.00042602  Old Result= 0.00021301  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   2.2  Run Time=  26.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  14  Id=   0  Generation=  6  Age=  6  Evolution= 1  Weight=0.00046389  Old Result= 0.00009278  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   2.3  Run Time=  26.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   9  Id=   0  Generation=  5  Age=  5  Evolution= 1  Weight=0.00037111  Old Result= 0.00009278  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   5.2  Run Time=  27.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=  13  Id=   3  Generation=  4  Age=  4  Evolution= 1  Weight=0.00045539  Old Result= 0.00015180  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   3.3  Run Time=  27.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 4  Index=   4  Id=   0  Generation= 12  Age=  5  Evolution= 2  Weight=0.00043635  Old Result= 0.00003967  Bad Result=10.00000000  Best=0.00003967 BestError=0.00009623  Time=   2.5  Run Time=  30.3
