CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.03495392  Best=0.03495392 BestError=0.03482315  Time=   7.8  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.03495392 BestError=0.03482315  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.03495392 BestError=0.03482315  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00105667  Best=0.00105667 BestError=0.00327408  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00022402  Best=0.00022402 BestError=0.00017577  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00011335  Best=0.00011335 BestError=0.00003402  Time=   8.1  Run Time=   8.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00011335 BestError=0.00003402  Time=   8.1  Run Time=   8.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.15761077  Best=0.00011335 BestError=0.00003402  Time=   8.1  Run Time=   8.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00011335 BestError=0.00003402  Time=   6.7  Run Time=  15.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00649430  Best=0.00011335 BestError=0.00003402  Time=   7.3  Run Time=  15.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00301277  Best=0.00011335 BestError=0.00003402  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00040146  Best=0.00011335 BestError=0.00003402  Time=   7.5  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00039089  Best=0.00011335 BestError=0.00003402  Time=   7.5  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01637116  Best=0.00011335 BestError=0.00003402  Time=   7.6  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.38298401  Best=0.00011335 BestError=0.00003402  Time=   7.5  Run Time=  16.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00016443  Best=0.00011335 BestError=0.00003402  Time=   7.7  Run Time=  16.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   4  Id=   7  Generation=  3  Age=  3  Evolution= 1  Weight=0.00022671  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.5  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   1  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00011335  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.7  Run Time=  19.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   5  Id=   8  Generation=  3  Age=  3  Evolution= 1  Weight=0.00032886  Old Result= 0.00016443  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   5.1  Run Time=  21.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   6  Id=   7  Generation=  4  Age=  4  Evolution= 1  Weight=0.00034006  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   5.2  Run Time=  21.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   7  Id=  15  Generation=  2  Age=  2  Evolution= 1  Weight=0.00039089  Old Result= 0.00039089  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   5.1  Run Time=  21.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  12  Id=   7  Generation=  6  Age=  6  Evolution= 1  Weight=0.00056677  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.4  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   2  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00016443  Old Result= 0.00016443 >New Result=0.00014672  Best=0.00011335 BestError=0.00003402  Time=   7.2  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   3  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00022402  Old Result= 0.00022402  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   7.3  Run Time=  23.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.63153708  Best=0.00011335 BestError=0.00003402  Time=   7.5  Run Time=  24.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  13  Id=   8  Generation=  5  Age=  5  Evolution= 1  Weight=0.00065773  Old Result= 0.00016443  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   4.4  Run Time=  26.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  10  Id=   7  Generation=  5  Age=  5  Evolution= 1  Weight=0.00045341  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.3  Run Time=  26.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   9  Id=   4  Generation=  3  Age=  3  Evolution= 1  Weight=0.00044803  Old Result= 0.00022402  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   6.9  Run Time=  26.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  14  Id=   4  Generation=  4  Age=  4  Evolution= 1  Weight=0.00067205  Old Result= 0.00022402  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   5.8  Run Time=  27.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  15  Id=   7  Generation=  7  Age=  7  Evolution= 1  Weight=0.00068012  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   5.9  Run Time=  27.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  11  Id=   8  Generation=  4  Age=  4  Evolution= 1  Weight=0.00049330  Old Result= 0.00016443  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   4.3  Run Time=  28.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   8  Id=  13  Generation=  2  Age=  2  Evolution= 1  Weight=0.00040146  Old Result= 0.00040146  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   4.2  Run Time=  28.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   3  Id=  13  Generation=  3  Age=  3  Evolution= 1  Weight=0.00080291  Old Result= 0.00040146  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.4  Run Time=  31.2
