CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021137  Best=0.00021137 BestError=0.00087534  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00033587  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00095320  Best=0.00021137 BestError=0.00087534  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00026155  Best=0.00021137 BestError=0.00087534  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00374547  Best=0.00021137 BestError=0.00087534  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00133048  Best=0.00021137 BestError=0.00087534  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021137 BestError=0.00087534  Time=   7.5  Run Time=  15.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00010868  Best=0.00010868 BestError=0.00027756  Time=   7.4  Run Time=  15.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00321060  Best=0.00010868 BestError=0.00027756  Time=   7.5  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00119859  Best=0.00010868 BestError=0.00027756  Time=   7.7  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00150648  Best=0.00010868 BestError=0.00027756  Time=   7.7  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00010868 BestError=0.00027756  Time=   7.6  Run Time=  16.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.02093053  Best=0.00010868 BestError=0.00027756  Time=   7.7  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00006521  Best=0.00006521 BestError=0.00003883  Time=   7.6  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00021137  Old Result= 0.00021137  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.4  Run Time=  18.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=  12  Generation=  5  Age=  5  Evolution= 1  Weight=0.00026083  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=   9  Generation=  3  Age=  3  Evolution= 1  Weight=0.00021736  Old Result= 0.00010868  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.6  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=  12  Generation=  3  Age=  3  Evolution= 1  Weight=0.00013041  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.6  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   1  Id=  12  Generation=  2  Age=  2  Evolution= 1  Weight=0.00006521  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.6  Run Time=  19.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   4  Id=  12  Generation=  4  Age=  4  Evolution= 1  Weight=0.00019562  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   4.8  Run Time=  21.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   2  Id=   9  Generation=  2  Age=  2  Evolution= 1  Weight=0.00010868  Old Result= 0.00010868  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   4.8  Run Time=  21.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   9  Id=  12  Generation=  6  Age=  6  Evolution= 1  Weight=0.00032604  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.5  Run Time=  21.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  15  Id=  12  Generation=  8  Age=  8  Evolution= 1  Weight=0.00045645  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.9  Run Time=  22.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00006521 BestError=0.00003883  Time=   6.8  Run Time=  23.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  11  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00033587  Old Result= 0.00033587 >New Result=0.00018024  Best=0.00006521 BestError=0.00003883  Time=   6.2  Run Time=  25.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  13  Id=   3  Generation=  3  Age=  3  Evolution= 1  Weight=0.00042274  Old Result= 0.00021137  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   6.5  Run Time=  25.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  14  Id=   9  Generation=  5  Age=  5  Evolution= 1  Weight=0.00043472  Old Result= 0.00010868  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   6.6  Run Time=  26.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  12  Id=  12  Generation=  7  Age=  7  Evolution= 1  Weight=0.00039124  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   5.1  Run Time=  26.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  10  Id=   9  Generation=  4  Age=  4  Evolution= 1  Weight=0.00032604  Old Result= 0.00010868 >New Result=0.00007586  Best=0.00006521 BestError=0.00003883  Time=   5.1  Run Time=  26.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   8  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00026155  Old Result= 0.00026155 >New Result=0.00014067  Best=0.00006521 BestError=0.00003883  Time=   3.4  Run Time=  27.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=  12  Generation= 10  Age= 10  Evolution= 1  Weight=0.00058687  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.5  Run Time=  29.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   7  Generation=  4  Age=  2  Evolution= 2  Weight=0.00054073  Old Result= 0.00018024  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.7  Run Time=  30.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=   0  Generation=  5  Age=  3  Evolution= 2  Weight=0.00056267  Old Result= 0.00014067  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.8  Run Time=  30.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   2  Id=   9  Generation=  7  Age=  2  Evolution= 2  Weight=0.00045518  Old Result= 0.00007586  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   5.0  Run Time=  32.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=  12  Generation=  9  Age=  9  Evolution= 1  Weight=0.00052166  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   5.0  Run Time=  32.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00006521 BestError=0.00003883  Time=   7.3  Run Time=  34.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  10  Id=  12  Generation= 11  Age= 11  Evolution= 1  Weight=0.00065207  Old Result= 0.00006521  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   2.6  Run Time=  35.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   1  Id=   0  Generation=  4  Age=  2  Evolution= 2  Weight=0.00042200  Old Result= 0.00014067 >New Result=0.00013995  Best=0.00006521 BestError=0.00003883  Time=   7.8  Run Time=  35.1
