CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00020730  Best=0.00020730 BestError=0.00045645  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00019872  Best=0.00019872 BestError=0.00012076  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00215551  Best=0.00019872 BestError=0.00012076  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00086171  Best=0.00019872 BestError=0.00012076  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00375527  Best=0.00019872 BestError=0.00012076  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00067744  Best=0.00019872 BestError=0.00012076  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00019872 BestError=0.00012076  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00019872 BestError=0.00012076  Time=   8.0  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00007219  Best=0.00007219 BestError=0.00014642  Time=   7.1  Run Time=  15.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00183922  Best=0.00007219 BestError=0.00014642  Time=   7.2  Run Time=  15.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.46906865  Best=0.00007219 BestError=0.00014642  Time=   7.3  Run Time=  15.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00007219 BestError=0.00014642  Time=   7.5  Run Time=  15.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00007219 BestError=0.00014642  Time=   7.4  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00410476  Best=0.00007219 BestError=0.00014642  Time=   7.5  Run Time=  16.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.00007219 BestError=0.00014642  Time=   7.8  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00007219 BestError=0.00014642  Time=   7.6  Run Time=  16.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   6  Id=   8  Generation=  5  Age=  5  Evolution= 1  Weight=0.00028876  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00007219 BestError=0.00014642  Time=   2.5  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   8  Generation=  6  Age=  6  Evolution= 1  Weight=0.00036095  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00007219 BestError=0.00014642  Time=   5.0  Run Time=  21.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   8  Generation=  3  Age=  3  Evolution= 1  Weight=0.00014438  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00007219 BestError=0.00014642  Time=   5.1  Run Time=  21.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   5  Id=   8  Generation=  4  Age=  4  Evolution= 1  Weight=0.00021657  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00007219 BestError=0.00014642  Time=   5.1  Run Time=  21.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  14  Id=   0  Generation=  4  Age=  4  Evolution= 1  Weight=0.00062191  Old Result= 0.00020730  Bad Result=10.00000000  Best=0.00007219 BestError=0.00014642  Time=   2.5  Run Time=  21.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00079156  Best=0.00007219 BestError=0.00014642  Time=   7.3  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   3  Id=   2  Generation=  2  Age=  2  Evolution= 1  Weight=0.00019872  Old Result= 0.00019872 *New Result=0.00004897  Best=0.00004897 BestError=0.00004187  Time=   7.2  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   8  Generation=  2  Age=  2  Evolution= 1  Weight=0.00007219  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   7.4  Run Time=  23.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  10  Id=   8  Generation=  7  Age=  7  Evolution= 1  Weight=0.00043314  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.2  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   4  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00020730  Old Result= 0.00020730  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   7.5  Run Time=  24.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  15  Id=   8  Generation= 10  Age= 10  Evolution= 1  Weight=0.00064972  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   4.0  Run Time=  25.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  11  Id=   8  Generation=  8  Age=  8  Evolution= 1  Weight=0.00050534  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   1.9  Run Time=  25.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   9  Id=   0  Generation=  3  Age=  3  Evolution= 1  Weight=0.00041461  Old Result= 0.00020730  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   1.9  Run Time=  26.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  12  Id=   8  Generation=  9  Age=  9  Evolution= 1  Weight=0.00057753  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   1.8  Run Time=  26.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   8  Id=   2  Generation=  3  Age=  3  Evolution= 1  Weight=0.00039744  Old Result= 0.00019872  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.6  Run Time=  26.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  13  Id=   2  Generation=  4  Age=  4  Evolution= 1  Weight=0.00059617  Old Result= 0.00019872 >New Result=0.00014508  Best=0.00004897 BestError=0.00004187  Time=   4.8  Run Time=  26.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   3  Id=   2  Generation=  8  Age=  4  Evolution= 2  Weight=0.00034276  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.5  Run Time=  29.4
